,UKF259,ZH1019T1,ZH8811Abulk,ZH8811Bbulk
BMP1,0.06637309330329814,0.061611188774243424,-0.026950390609724977,0.012945427209550012
NDP,-0.0024082874486932794,0.01913899750320263,0.012097609262445288,0.026552968993181
TNFSF18,,0.04908353687788597,,
RTN4,0.0006232074111438894,0.017254977878916822,-0.03297776554716924,-0.052964307184013425
HEBP1,-0.05624664107137988,0.1170190156443212,0.06349735515075418,0.03795441898026648
WNT7B,0.0648103306199426,,-0.021387813452689794,0.00902990541797518
PTMA,-0.0002162071043107807,-0.04593851361320077,-0.023069274528955797,-0.04386524649422384
CEACAM1,-0.02430815120295386,-0.02968948546211915,0.01444009354777258,0.01567775740425604
PDAP1,-0.04833271692147729,-0.025137285888589763,-0.0338227040846981,-0.04410921052996332
QDPR,0.030292366804768395,-0.05024699475760908,-0.02037153177307769,0.016177551284491606
POMC,0.09342739910929371,0.0931925423500241,-0.010330879332857623,0.07447128764843712
CCL18,,,0.13507261270156645,0.00021167136989686897
CCL17,-0.014089305090690465,,-0.016758088376969175,-0.005405787787218319
VEGFD,-0.015697041749051985,0.057580530613597226,,0.11154245210183816
TNFSF13,0.019553752713353252,,0.022154720897032125,-0.022421819569283415
WNT5A,-0.027925415479258267,0.062116215686880985,0.07529191363204353,0.0009899009635711204
CXCL8,-0.02479112813973389,0.0306731281723418,-0.05315002088057999,-0.12523012854373847
GRN,0.007585353347208476,0.0026002519420285836,-0.021447517300392353,-0.0740365664889726
MIA,-0.020022525270611265,-0.08281210229380394,0.14133461938564,0.1567135526222236
COL4A4,0.000339174142615644,-0.03160440132010343,0.141306306141338,-0.035114744840467574
TAC1,-0.008966774606039701,,,
RARRES2,0.01629755242045771,0.05669162635828444,-0.01834648617757122,-0.012897124439756985
FGF7,-0.000441661686319736,0.06289463195612414,0.041529489577756276,-0.02091043146585363
EFNA2,,,,-0.020843820029387655
HBEGF,-0.004929761493916083,0.024280176493243155,0.06021206280692324,-0.03410883486071699
CSF3,-0.016793223178797983,,-0.016639019082198555,-0.0689880439822233
PI3,-0.008943155642459852,,-0.05736167616173223,-0.15171532281463151
PCSK1N,-0.030014615557575106,0.05993530432664164,0.008280464595448591,0.0005370460136576341
NTS,,,-0.002358104333874547,0.007149914828202905
SFRP1,-0.012293463293856681,-0.027822414445476073,0.032934127388175624,0.04428951019701291
CXCL13,,,-0.03764210238420241,0.012022180879218873
MICA,0.039792119915634035,0.012587807952815168,0.02353548169003357,0.05955116263106505
TG,-0.013266594599628985,-0.06446303094910684,-0.022267309690774884,-0.01811555454050587
ADA,0.018816365563883334,-0.052592829196109483,-0.013020777014829413,0.06734094164351616
LAMC3,0.024696005546884427,-0.07220818489187837,0.05598586748291716,0.07347135313100656
CCL7,-0.009591726699104774,,-0.007513159785675305,
NGF,0.004544364746153155,0.05715062240534644,0.016808270586798253,-0.020563644020852475
TNFSF15,-0.010680856804796603,-0.002631132464465558,0.011323959550170756,
HMGB1,-0.022393674301674216,-0.018504663286998072,-0.06223991258090361,-0.04674459747396249
ITGB3BP,0.022599768286670697,-0.014192160220268792,0.03510873182757689,-0.010665072207754237
AANAT,-0.009718488360834871,,0.0169697016026405,-0.028050136301899488
RELN,-0.01686911938712868,0.057444727369551,,
IL15,0.010823568968711198,-0.024530979615580262,0.036714636005435716,0.05113971918145275
UTS2,,,0.0268353461065455,
BSG,0.019951928873250077,0.01603918816095706,0.07343945317533747,-0.033933316112121775
ADAMTS3,0.009451409020271825,,0.054024966803632606,0.06328612934249608
CD34,0.004727534630273392,0.12167548560196265,0.10574194813528179,0.025460241591736484
PLAT,-0.02171387281892256,0.041785846524444996,0.05997289677956231,0.08327458528189806
NTF3,,,-0.033920313563381495,0.11321924800666619
LTA,0.03460606296278161,,,
CKLF,-0.0019779151687640975,0.015992290282506674,0.07022097874958781,0.08973065499178796
CD24,0.00038719427709411604,0.020002770977630892,0.009141984929334445,0.03933916464569142
HSP90AA1,-0.04171663482513846,0.008274439148341466,-0.13698311309066313,-0.18789997888403595
BMP4,0.003484558010751306,0.010210294868484451,0.03311629960241113,-0.0030875431168440825
SCGB3A1,,0.02491116304465597,0.010089315452958804,0.11911688590011615
IGFBP4,-0.011580621932635118,0.09589968334892471,0.0222068593228431,-0.04023798927696553
RSPO4,0.044930971569996536,0.007599729824840463,,
LEFTY2,-0.006305646197165688,,-0.001169962735331089,0.04517787924166382
PF4,-0.008368592576685194,,,-0.01910480414182122
ANGPTL2,-0.038382941187165474,0.054068263762506036,0.04789560253902107,0.0514611236625963
LRIG2,-0.016636098241626367,-0.04815963486778567,0.013954957819190142,0.06482693261169586
ICOSLG,0.007251590021674838,-0.02446302322346402,-0.004867561513529575,0.07068957762594778
NPPC,-0.012981750835140454,-0.00832278477865645,0.056820545218526426,0.008397797001015917
LYZ,0.0076897343046813515,0.01097021936031777,0.015170155286234251,0.01670494970644341
EREG,,,-0.01452076453171274,-0.004808845309801762
SPTAN1,-0.02748036345269521,0.0825195563203294,0.015771367711673367,0.06924388989181458
LIPC,0.0037622221118755505,0.015307489656037707,,
