,UKF248,UKF266,UKF275,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1
BMP1,0.007024190679689136,0.034917340225706375,0.03429403838438475,-0.01253861583773288,0.04810459211032875,0.0501208710853143,-0.05305209807569897,-0.013136266552346315
NDP,-0.014888236720120086,-0.04427337532442302,0.040010310919329946,0.0347829389300658,0.035762128920267464,0.05208718639957076,0.057874219467679455,0.01276418559102891
TNFSF18,0.022017687248992144,-0.01258238987375054,-0.011245537599956288,-0.0011210199709808222,,,,
RTN4,0.022165993623421608,-0.04118040775165191,0.006897749489575117,0.0790301149552497,-0.06848857763435233,-0.03213771684788634,-0.06703870917868023,0.08572858435544635
HEBP1,0.06666768468984934,0.007163741355626584,-0.029251373609199917,0.044139196998422094,-0.026610356077954703,0.08709216805852127,0.009261061668304938,0.005331064695132461
WNT7B,-0.04030055994375023,0.05295342244051915,-0.02368580012442314,,0.018335270875433116,0.080847493311855,-0.00036021886108003506,-0.019769035572333265
PTMA,0.013755444790710154,0.05915777315675139,-0.028430152096819657,-0.11299912639383171,-0.11379328826098922,-0.04628741798281398,-0.036536776808942996,0.0018966263935640305
CEACAM1,-0.017332502116302488,,-0.017686551574905843,-0.045302121124914996,0.026304909344334607,0.02861435785990434,0.022471353896491936,-0.01312099642428908
PDAP1,0.05359039958901432,-0.0010758694766012105,0.026485944087088507,0.024874186309415063,0.014304176355804991,-0.053265754145037765,0.011407703867296323,0.017661743241000675
QDPR,0.014174982643163695,-0.03621198995128963,0.03662241375581497,0.02247427588202869,-0.17202737622846292,0.04906132643360401,0.07736228774086812,0.01759085813447397
POMC,-0.04107996608673886,-0.03319488223435296,-0.01304843255482338,-0.043691982801586614,-0.015112968848634898,-0.04439547219827646,0.056987947676986235,-0.02146422650215537
CCL18,0.09118956524904055,,,,-0.018763866846402338,-0.03383625706666382,0.02050997446016248,0.05495136234998661
CCL17,,,-0.01402537482606531,,,-0.013117676271656735,-0.02823735468175675,
VEGFD,-0.021629331864868394,,-0.014942850594648534,-0.06158724092644,,,0.06267916194529236,
TNFSF13,-0.01632218790641788,-0.01220229334294341,,,,0.046583750295619036,-0.003419440267828227,-0.014733999582031252
WNT5A,0.0370034826225138,0.05920467624583769,-0.01550859122969295,-0.012700464587515888,0.06013354390243823,-0.02166114738317445,-0.03453150676585618,-0.06938216328289723
CXCL8,-0.01245632584281468,-0.01735697084989447,-0.00205215099748763,-0.037562947661445294,-0.033036741826955394,0.009759646935577205,-0.0772147146807189,-0.0377698928879432
GRN,-0.0074479197754450475,0.05525347233170259,0.018558208721670893,0.09471184496580447,0.03204932384819337,-0.04443327907267486,0.0261355168760179,-0.042415715227659495
MIA,-0.01186786357263939,-0.005037265009096655,-0.027567059747009844,-0.02624694752876336,0.07965228497898562,0.05249631627035795,0.04389299612461047,-0.03751280887132467
COL4A4,0.0010934192692718407,-0.011609943013416365,0.023450432940897235,0.013577760975537041,-0.023723390525434346,-0.020742016790660064,-0.018021967375418394,0.032871831395278266
TAC1,0.029537861378630986,-0.0744235675451248,-0.007036641919824124,,,,,-0.0065929853569175806
RARRES2,-0.01496115594956822,0.06849918230397727,0.02628304160600643,-0.0408023090535614,0.08861751756478312,0.034809447313091414,-0.020862521956074912,-0.0548790267664715
FGF7,,-0.021600686152224116,-0.01538709326543531,0.014789512087816382,0.006159512968531601,-0.03378804001947567,0.02183876060684966,0.028296562604131013
EFNA2,,,,,,,0.1379469014138597,
HBEGF,-0.03704603817546959,0.01704725318406198,0.017614362521991427,-0.07339117672175151,-0.0006353926942438407,-0.0033968485616105507,-0.019130865447806438,-0.060976771531902
CSF3,,,,,,-0.06151688525901224,-0.08785628100205137,0.06257193920158208
PI3,-0.022754961826649038,,,,,-0.04626428309915378,-0.11725662852597428,-0.04701645530346676
PCSK1N,0.02198847379598926,-0.01605890019254601,0.0017578314895623389,-0.02908797356355647,0.039079401772227046,0.019316825853486628,0.020209753883264254,0.10087568570879285
NTS,,-0.014173102545385417,0.10231484286714117,,,0.026107164919472407,0.013390200552322222,0.04924921743206908
SFRP1,0.014511668772655783,0.009758320367854354,0.07774312876506566,-0.059553960762845734,-0.042158596600492426,-0.024224549354542286,0.0006174031736573363,0.007522512196787057
CXCL13,,,,,,0.1407090279713623,-0.014207904978633668,-0.03068423249438631
MICA,-0.060068681219893165,-0.030082875038527936,0.054211865763417376,0.10381669618377949,0.053836279898013664,-0.036043372392498996,-0.022131421234570306,-0.045457444461737585
TG,0.03097756127961691,0.030522679328432997,-0.01413003436808199,-0.03304146862283629,0.15350471891191064,-0.01743011215800363,0.09032977240193228,0.08108355828815406
ADA,-0.016155747567007963,0.015770535826638763,0.03353353229458555,0.10249318145807329,0.024325975796930525,-0.023617175376628843,0.01636503467802444,-0.004038890138481165
LAMC3,-0.014216444481438583,0.027622240540659922,-0.007542725390518235,0.05578195804010741,0.09589449075754243,-0.029025674024092247,-0.029521629538123637,0.07490751856958097
CCL7,-0.013758077894841413,,,,,0.0028249865914786064,,
NGF,-0.023621936531866113,-0.015611347609281867,,0.05025889260962672,0.022478664791620973,-0.02270615699709956,-0.01834140656613685,-0.00693254198863936
TNFSF15,,-0.018955598521137648,,-0.06930091041424301,0.07281297117932949,-0.019166656101714866,,-0.011681147024704993
HMGB1,0.012751220558634554,0.057713888092008704,0.026003087761429705,-0.04065778743400874,-0.06744429007010762,-0.08616551014648591,-0.048371831629750006,-0.0018228460261780178
ITGB3BP,-0.03739616273026993,0.06545228155261407,0.017920274919182043,0.0292955698907153,0.037542169479482905,-0.018605704987537067,-0.00806681540445257,-0.027292123997477012
AANAT,-0.019960877880002052,,-0.012707222483394015,,-0.01954335386693166,0.08247821963367669,0.15161241570245296,
RELN,0.019404515225007263,0.01449575792699045,0.11338172655378716,-0.05408974598052761,,,,-0.014109559692747266
IL15,-0.015440330558612965,-0.013488035245100137,0.01859772876134981,0.10274763293689755,-0.03303682817141229,-0.03159848331221408,0.043726994301791326,0.023159288669448885
UTS2,,,,,,-0.014687674333180625,,
BSG,0.006614317487847494,0.07286696331473569,-0.022319197762888092,0.02812041811175937,0.03578785360868023,-0.01291866893545392,-0.013811095289175672,-0.044153571621792724
ADAMTS3,0.020691716594196014,-0.021725322861094444,0.04563260758769656,,-0.02340117665975455,0.020084583725815966,0.022418810780921797,0.08533140829491298
CD34,0.00382624202174422,-0.028095503344806743,0.018173774963437382,-0.005849180302584794,0.032933106279046324,-0.01298477100345418,0.1007827328239739,0.011199655621864384
PLAT,-0.02207447590299933,-0.014978359529560706,-0.023305496681764234,0.009340476779765136,0.10863049685960471,0.03705953435083037,0.02316618896512079,-0.005187055262607435
NTF3,,,,,,0.018001339598068922,0.09196351690900538,-0.014521475835179811
LTA,,,-0.012238379551201144,,,,,
CKLF,-0.02850141107157375,-0.006089534850892769,0.033417298080738116,-0.08187794761499134,0.06018673884786143,-0.024527136361504536,0.035860875989866293,0.03526047134932919
CD24,-0.05043782435575278,0.005618459206470806,0.011777989764140757,0.02841797081003454,0.06286529817123566,-0.03865398035435179,0.07712005995322291,0.04755265207973665
HSP90AA1,0.050208022032294145,-0.04869046876199573,0.05185166519367263,-0.032203364972172695,-0.044819989712622174,-0.027311826625721167,-0.11936508239301288,-0.004397051549124197
BMP4,-0.008250409477024323,0.10860427356818128,-0.010651451109558781,-0.034161760024342555,0.06280026761514476,-0.00663884393608479,0.034674924352267836,-0.020453519681384896
SCGB3A1,-0.013758076519052007,0.06899760945951944,,0.009803129607605586,,0.0003072779003831583,-0.0016687360051842143,-0.024258056454151668
IGFBP4,-0.06234255861737703,0.024974038108562066,-0.009611764522509683,0.03527327379245389,-0.0023962326002092,-0.09791540065162452,-0.07623652538397109,0.010762653441732575
RSPO4,,,0.004746600152483298,0.0007254088867941152,,,,0.028077748064122894
LEFTY2,-0.023645798727788627,-0.01573798326278576,-0.03505332159430916,,-0.024974749945963586,-0.016689430399337415,0.056187795876443215,0.02976532587169078
PF4,0.009616273126171748,,,,,,-0.017040218152785936,
ANGPTL2,0.006777685049126433,0.0855519556281428,-0.0458399651535768,-0.012660912694525234,0.020929714746649137,0.02232612373296834,0.03424897199826914,0.018401153979971014
LRIG2,0.005758566550029416,0.04519840069315766,-0.008924605854331673,0.03813102361776189,0.07216403381327338,0.01370071636179136,0.024015052874934054,-0.02292404364566961
ICOSLG,0.008379326480965527,0.08745726783901996,-0.015217360997639928,0.14714409757559982,0.00917820707249386,0.017893697761913036,0.015106435701542234,-0.038748169819529416
WIF1,-0.012306237655344714,-0.013493221316646245,-0.010984025588413512,,,,,-0.01518660887605762
NPPC,0.011197675552920415,-0.008211864641704456,0.003989063053642047,0.031631714329824215,-0.02340113171639347,-0.029349391609580437,0.032028774771387186,-0.020588616189571772
LYZ,0.0008274580354899107,0.0203129115158442,-0.04028043468159021,0.05450582527573432,0.0035704999851825167,-0.06323947850459795,0.07033065590682684,0.009851802386653551
EREG,,,,,,-0.039907032076273476,-0.016476942170960233,-0.020347720799789977
SPTAN1,0.042013491629802745,-0.024276846611081693,-0.012699675341733985,-0.06759289086752818,0.0883094680845245,0.04998571104131375,0.06566271897461826,0.05947156176802826
PTH2,,,,,,,,-0.025980904625449237
LIPC,-0.017472429441713542,0.04956032913305896,-0.026611876047567505,-0.010581496070016407,0.09378136839169819,,,
COL8A1,-0.025697612061512005,0.053789441742443066,0.014227787125376474,0.04719673490993265,0.02972719106262278,0.05691165135280314,0.0045447915605520296,-0.02800804472803725
GSTM2,-0.004005064260732122,-0.011405949998899385,0.027649587987736726,-0.09423916966117572,-0.003879462540699483,0.02710097140361929,-0.01210704260795849,0.03145729319005261
SPX,-0.004609739607274093,0.02905641560252189,-0.020659793470454012,,-0.04119981949378578,-0.019822493801460415,-0.021157608893291747,-0.00325696613437973
MFGE8,-0.003095981279184974,-0.004952169531963818,-0.02964685333938089,0.051216193455831165,0.01750340447630722,0.04056060248829485,-0.013116083255519537,-0.02292463819841547
TGFA,0.055358644752448366,0.08357417542800497,0.0004904655279605282,0.012102969413679299,0.036425380906512046,-0.007608405694505134,0.05409037745970792,0.01829540555057792
SLIT2,-0.02420668269071227,-0.048037649502240404,-0.036629260994332065,-0.011873053899039665,0.0006168813091165385,-0.02057943642025645,0.03856772767635391,-0.024307985840009764
PLTP,0.004853837595385252,0.05680098486538344,0.026182982315489444,-0.01445984985934255,0.06801768745010478,-0.12590648043810956,0.011608795311393796,-0.04046977651729153
APOD,0.051790645573588076,0.0022932114945613266,0.024267498803149268,0.0036675899851604213,-0.13545628835808265,0.023531315398448025,0.04823215094462507,-0.05693621151504275
B2M,-0.05036109783715162,-0.013558101637447088,0.05008171964069946,-0.006351077790495181,0.03189051068857977,-0.05647149558634457,0.062378158989937336,-0.05422966701019259
