,UKF248,UKF251,UKF255,UKF259,UKF260,UKF269,UKF296,UKF313,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.01569721421423478,,,,,,-0.01586387859226409,,0.007230505430744798,
BMP1,0.06841388406944454,0.07497971540236453,-0.04041598902347612,0.021008145018770134,0.022455680604877407,0.07876191804942313,-0.005954001612986404,0.08392827221145939,0.024284590605490177,0.0352679436640291,-0.08081354690355877,-0.08278127377278112,-0.03135807991737426,-0.07058575001006799,0.05878906756438756
NDP,-0.0023660570473348795,0.029501098137388805,0.10158429591676404,-0.030441377489555915,0.023460546069466626,0.034478681728055766,-0.042512859691340533,0.02050526383889141,-0.011795332188782275,0.014646785457415854,0.04694526838594871,-0.0024340458669354645,-0.005918369789325975,0.01943872054545628,-0.0468717309140201
TNFSF18,-0.014431186030353031,-0.015837262199729862,,,,-0.02330989186485444,,,,,,-0.016360137978300975,,-0.04299305233056915,-0.026674485847310435
IL36G,,,,,,,,,-0.01745644020080346,,,,,,
RTN4,0.021442952129652103,-0.002264275482155944,-0.004319878988893405,0.044640449620313986,0.00977997600627873,-0.08062661653942138,0.01738302319221691,0.00011164828387482984,-0.05037361785463957,0.013984528601251309,-0.0704507663318713,-0.005613230909492607,0.05902192824552454,-0.0018953525186275343,0.04468385708581619
HEBP1,-0.003673200543263284,-0.01663703852881089,-0.0011880116448634835,-0.020501573819741485,0.004220267222248821,0.04314346950035923,-0.036420857568956806,0.018551223866609214,0.03928331246716017,0.031216487782971356,0.028755694814350894,-0.02495484105619581,0.009356517510670495,0.011077027083639434,-0.009625125762775083
WNT7B,-0.013776718542830677,-0.01722763696686439,0.020720250724583077,0.09011696631933962,0.05468830888031381,-0.025583333180949346,0.05387583494706316,-0.028018515262670848,-0.01918663948528177,0.0361435569721462,0.055644756907253186,-0.03421037201335184,-0.03447285790240366,0.069067513920448,0.12296634064582317
PTMA,0.06734399552735659,0.05174680934176523,0.02397646493758034,-0.02721076175039146,0.0063836106130891026,-0.04271053824418746,-0.0019108013053025757,0.08180439826783635,0.04149190114610695,0.014618080906196257,-0.01649917949229668,-0.04109878371548424,-0.03493099937009803,-0.06036323305192063,0.04249960279495183
FASLG,,,,,,,,,,,,,,-0.02210540110199178,
CEACAM1,0.002896765717780944,-0.013221175199477332,,-0.03180262936101772,0.057263049376961375,-0.03067449006197847,,,,0.051655511324461216,0.0661344871174338,-0.0017463940614706782,-0.0228801371527442,-0.016900739670754367,
PDAP1,-0.04047839840836782,-0.030177181084184077,0.05182445746427325,-0.02988463887701044,0.025458749915982966,0.06957020314056427,-0.01738368382134465,0.026829423148616537,0.034868102424724566,0.033816677985141194,-0.001939045703846179,0.016925469430071147,-0.016162069503745113,0.03991059906336307,0.030178657526422077
QDPR,-0.01380122749625462,0.02592294643839148,0.0029300589943646017,0.03637313286037909,-0.05344959480942893,-0.04785227047215212,0.03331877207268084,0.08570259926590237,-0.003284264630488169,0.008171720136313898,0.029767448985070014,-0.004172313700776275,-0.023630860688142737,0.05244791647079329,0.018707829391788576
POMC,-0.032141824944072896,-0.023491918988836902,,0.02930177484942265,0.05050500882567361,-0.039541118275779115,-0.017774824533942617,-0.022595481671890558,0.11401439030470673,0.09792326192538746,0.04188902803415883,0.018531347316708514,0.023746065532118422,0.05326188776166546,0.006894293693621611
CCL18,-0.02136672919317777,,,,,,,-0.016324062879530813,,0.019830566316009036,-0.009523904519289436,,-0.017555399883090392,,
CCL17,,,,-0.01942454901949266,,,-0.020351397861373688,,0.005347745246472363,-0.01992102883343566,0.03307262699375987,-0.02091560754665032,,-0.020036063228727658,
VEGFD,-0.021366735978115045,-0.018936680917251696,,0.01211650931311927,-0.01827490206513862,0.033553654707596685,-0.014927996449432334,-0.015266420804920695,0.023420110955641192,,0.0016035782534716497,-0.022059510373694465,,,
TNFSF13,0.004505398385317597,,,0.03804422614470275,,,,,,0.09234933212562367,-0.0024744681114909697,-0.022429284222359635,-0.025692860537732856,0.018199055645685646,-0.011020414537086498
WNT5A,0.03124259559834585,-0.022936418800405665,0.014003004313007014,-0.04052381066205207,0.002062760096101471,0.007803228788659894,0.025405723323394334,-0.013174985766672134,0.031914573051397915,-0.011579438475924844,0.02697885362309058,0.004835522193872207,-0.021459230635659528,0.032712254003624784,-0.012262260476615654
CXCL8,0.011992197097257441,-0.01773118559804074,-0.02837900139200992,0.022221059797197087,0.012688514481188124,0.029556333406987947,-0.013901599384576213,-0.05880213562284429,-0.015467507892173295,-0.05546379107691202,-0.060854829282732274,-0.01097931219339562,-0.029869522385880927,0.012070441696698816,-0.01759341652906315
GRN,0.040200523508632784,-0.033523862679858706,0.018517464701089194,-0.02706747817798754,0.008585082557354991,0.026092042534690003,0.009776151042980146,0.032849063945411046,-0.02708075332253485,0.037625212964297744,-0.028347593442986374,0.04151309175408336,-0.05181273011541236,-0.043994805916505064,-0.06677055577324333
MIA,0.021481449619661117,-0.016840959712239822,0.012733288285247174,-0.026580799146841656,-0.03171744373152564,-0.017881361285478247,-0.016977452154449867,-0.020704009268537018,0.033333405812803155,0.0760040400664617,0.09340832568931072,-0.026623017276458015,0.010672488881688804,-0.03725775888946187,0.045475088363813976
COL4A4,-0.025661268161331508,-0.02832147821449923,-0.031037212997002545,-0.020314308867606105,-0.0032800879450693783,0.08203220186377057,-0.01812585170574623,,0.008072027982021735,0.10316960151807056,0.022248585218288076,0.0358310071626073,0.030197609899569353,0.08180040572530682,-0.015861169939514527
TAC1,-0.011660125754087688,0.007572255505138996,-0.06970813553991922,0.06294919452260425,0.007848368693759081,-0.015102915327019722,0.032028498078907994,,-0.02359152555443379,,,,0.016696271166502047,0.021010972074003032,0.029198045671506103
RARRES2,-0.012593192719642257,0.06855671039585173,0.06924102505389763,0.04892091077043422,0.03860523008972137,0.05825401229060009,-0.007907449097555815,-0.09847269962243978,0.009640356263031355,-0.005586164265671529,0.0033327155969835242,-0.03073947105735785,-0.01315962824881903,0.06462220709295126,0.046371245706447815
FGF7,,-0.02137354595762841,0.05023545390837006,-0.05209668512135668,-0.013459603751558098,0.03868849273570422,0.0412509434863078,0.01640525871059941,-0.01413919799477944,0.02538163907893747,0.040754054874638804,0.04352749478479908,0.0018745024959707117,0.04058795294814845,0.027388678721918122
EFNA2,,,,,,,,,,,-0.01824902154838145,,,,
HBEGF,0.08313255451423911,0.03566899491554019,0.009045488994197824,-0.01165381068925526,0.017692193490953228,0.06796275852801296,-0.03833652621736304,0.028652182267907517,0.03304203226717465,0.047175611309834865,-0.02259341093728726,-0.00032885995932575856,0.018324377876080843,0.051664846103697246,0.09368934442014706
CSF3,,,-0.02172486929374596,-0.02679044139996757,-0.0012907299184949752,-0.016365311239118413,,-0.022935144554609155,,-0.005084914588136308,-0.01932594660331605,,0.013740440951206401,0.05708028948119418,0.0752545217364397
PI3,-0.02247869997000736,,0.05293697462766824,0.044176927647401824,-0.00015537129234918052,-0.01842755645397586,,,,-0.06448803290668825,-0.07795190555689872,-0.01777121986940329,0.04416395793113545,-0.03620462983324492,0.036740978751805244
PCSK1N,-0.05974254010140204,-0.011147101927141911,-0.03684215808777583,-0.009710880882770197,-0.06445016556999676,-0.013108835138165055,-0.06842634889281606,-0.009922805120445995,-0.04678604716696588,0.03270075330375929,-0.06731317135541869,0.0503775005401882,0.059339444144416845,0.04188398216592125,-0.02424407624176877
NTS,,,,,0.036111177715591226,-0.0005757766234282375,0.07425432685754278,,,-0.02712438513482338,-0.022232969759892262,,0.032481202328323584,-0.03123864616500727,
