,UKF248,UKF260,UKF266,UKF269,UKF275,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1
IGFL3,,,,-0.015200528412828786,,,,,,
BMP1,0.012501098303074751,-0.010761414292439401,0.06295559156582135,-0.13039825879929054,-0.04309404178678569,-0.017386681791960627,0.017272832408101402,0.047000909952529556,-0.047420163808747,-0.0472105272463617
NDP,0.06708046521875227,0.12360063818229738,0.002574295606802566,-0.05689846357986207,0.025946271162075547,0.01408090002252528,0.08579528932820207,0.060210275686364535,0.06195725394042431,0.009487825623040173
TNFSF18,-0.026566997853793833,,0.026331821953300808,-0.022572328360682903,-0.011390331627774931,,,,,
IL36G,,,,,,,-0.015263923215223756,,,
RTN4,0.03893845764447624,0.15354683723280585,0.0191895994062064,0.14100494392591612,0.06099017338065146,0.10763155849971558,0.03416505398344168,0.030854499506586613,-0.03923304117075982,0.1369262243592216
HEBP1,0.06672303826010823,0.006182563110869826,0.026205220955787863,-0.05701550315112129,0.028593159334925986,-0.04316004348538313,0.03837944237756337,0.08933843619896642,-0.0029389839319741242,0.05159053084236233
WNT7B,-0.03931624270385936,0.006313446628032914,0.05843966002684207,0.08031146058310965,-0.015072760537014193,,-0.016776810649403864,0.0266907615979772,-0.007001922977097273,0.00808370447351443
PTMA,0.009978830735026202,-0.1378618821672349,-0.0349277651704537,0.04747213908702332,0.07269795595667787,-0.13608608603175534,0.015363690880787819,-0.052769908889159674,0.045303526738276395,-0.01543916784659335
CEACAM1,-0.016909166046845038,-0.01561002740586586,,-0.02970389849896483,-0.01791427808579873,,,-0.024697624393179712,0.055255806756908186,0.003355571351015489
PDAP1,0.054388396962989465,-0.056984715226691365,0.015009944832113173,-0.09674633464977721,0.025633591046117926,0.034818439923716527,0.0030821327349193684,-0.004511338741588751,0.01208010006997845,0.024250049636578515
QDPR,-0.022845380341880973,0.11290547763276523,-0.000878999069627345,0.06522174241086019,0.018848013918986398,-0.09856110794627179,-0.06455755908698961,-0.002224471510875198,0.07109030779844833,-0.0015760280151638098
POMC,0.025109857314494676,0.06545390730060495,0.010364739589407106,-0.02747143888580946,0.06966150892256234,0.028482154485026275,0.008185091925756663,0.02857321221750557,0.0346902204450692,0.02093928362110047
