,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007nec,ZH1019T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.0799673709587137,,,,,,,-0.0325762178304245,
BMP1,-0.008121766661648376,0.14140612569712285,0.020680232034036378,0.06107835757707723,-0.006108676459662846,-0.07095931653636423,-0.017679051129622956,0.3586270195321245,-0.0006203925921443343,-0.008464265040774436,0.01970959244094472,-0.041960085566622965,0.12425876637669812,-0.02856638512748105,0.09806003436658937,-0.019980811633173334
NDP,0.014890953739896604,0.04103595966825597,-0.0030395631296050714,-0.009656611499074078,-0.05868720789519082,0.060817893839785496,-0.0006922882099165184,0.09351724657056926,0.017069602100012623,-0.0009476975068418358,-0.0014727271251673084,-0.02992864834719867,0.11751548343304546,-0.13480225348003883,0.030671731510272807,0.06574611243275372
TNFSF18,0.00939924558051884,0.07727377767945065,0.001668617912865593,-0.017185735061264057,,,0.019029037993480578,0.07312074077908251,-0.05324022956367553,,,,,-0.03580596522531925,0.037062429809309363,-0.032893239430073384
IL36G,,,,,,,,,,,,-0.015620003775526263,,,,
RTN4,-0.04720538414911896,-0.10091196990703889,0.02448163535990868,-0.025069894320691698,0.0014451116702813935,0.015753640858005985,0.05313039683110419,-0.3467230742722466,-0.04226020265383244,-0.03445744552613299,0.0033698297731370526,-0.011910456737430457,-0.02403929691842082,-0.0744972216096053,-0.09794758581554247,0.044827110651040954
HEBP1,-0.00199024700817985,0.03135692958024231,0.06852624508301575,0.003951730390784454,-0.0036915037591751946,0.017563348136385794,-0.024556787054782717,0.2060328213940104,0.0465013959703999,0.03013137512556099,-0.015460306237725086,-0.023347321253019117,-0.02996402517630207,-0.02946604841312969,0.04991395232701826,0.04619919788338898
WNT7B,-0.01076902753890586,0.04730437299878553,-0.0704220383937167,0.011400022758762559,0.024641435331121554,0.022345144373637684,0.06280794458521399,-0.13136974829507836,-0.038528208022365396,-0.017542919188122053,,0.021159832086350142,0.01606393609209599,,0.035931118018911995,0.09036091064461695
PTMA,-0.016256195228646016,-0.14592306409954084,0.034374920498038156,0.03613892660637629,-0.05689546379005658,-0.020593177748467164,-0.07065724741760245,-0.23184939526238113,-0.0015327022286686124,0.07973264792657467,0.003671588449394103,0.001692988781710364,0.08888036473888185,0.05077536305333975,-0.003853593999312146,-0.16331168288868325
FASLG,0.02497699685042785,,,,,,,,,,,,,,0.03025184061179645,
CEACAM1,-0.003955567602408355,,0.03343030375839299,-0.023869431201218705,0.009679511232676158,-0.019925271556735395,,0.09422837085282319,0.002031054412925788,,,,-0.04382962795334,0.05767618582097522,0.0758000757814788,
PDAP1,0.04947576707596453,0.02490609543077989,0.003583806527777986,0.03310335495936296,0.03372208856589779,-0.07171224871007867,-0.04944116109406493,0.1986261929240382,0.04836324393667913,-0.055126793798325226,-0.03349050409090839,-0.016083767886363863,0.11359563223410313,0.08402031598139803,0.0135843176176035,-0.05867383713816207
QDPR,-0.09869167153642967,0.039914211181185044,-0.017178244136492386,0.02946163556197282,-0.017479323417144914,0.062369481847216524,0.04694625344026103,-0.31122742927549313,0.018340231825970457,-0.006064889905629657,0.02373337611516247,0.0005590434064009243,0.12489933806817914,0.015625431030169036,-0.0028670632980785597,0.1154319133445103
POMC,0.059135082273309436,0.11674676318821603,0.01921451545326714,0.0136606787786223,0.01776570047427337,0.09403099423787942,0.032822676578813624,0.014532798900336116,-0.007973349791206964,-0.04718349193763956,-0.0024010792156788792,0.021904822265827878,-0.04177470009527799,-0.073941670714173,-0.021035468978264294,0.1454974009918733
CCL18,,-0.03422106715604671,0.0403026210177719,,,,,,,,-0.030472902408407946,,-0.03758161456268072,,,
CCL17,,,,,0.08524601995015342,,,,0.03454012110442003,0.16654783975755727,,-0.014269316900700074,,,0.1713044624186775,
VEGFD,,0.01572654771565452,0.002945859158909086,-0.034188171286894345,0.005049683400372261,-0.01906337169330047,,0.04540715200776375,0.05741608960800199,-0.015926906658260423,-0.020426082548197937,-0.015292868890837974,0.03974088609769251,-0.07914370164601017,,
TNFSF13,,,0.045460898802575776,,-0.011827618164029847,,-0.018599312165199958,,,,,,,,0.10923586091209142,-0.03714356225072053
WNT5A,0.12665111205607735,0.06671749627518303,0.03784061995337883,-0.017877991697297826,0.03247219303346728,-0.031070971882698552,-0.0405737937316258,0.2706710805037635,0.03234529177354096,0.038804451726951066,-0.00286950741383355,0.03116995270401034,-0.07623263860373158,-0.0667361824834759,0.012092600286155183,-0.049482416368920576
CXCL8,,-0.13244070436257824,0.07464649383820253,-0.02117578529588463,0.0005858364720858051,-0.05756150326933293,-0.02645631521931528,0.11909703168122832,0.02383391261411684,-0.01483182800509679,0.0042728766089121795,0.004626621948583464,-0.026497760164003504,-0.02120708357461909,0.012736299839953304,-0.058616779924527775
GRN,-0.08554592314030805,0.032749730000381096,0.07698416064184446,0.036965016279327294,-0.003927105739676077,0.018135850898459382,-0.06676352718990135,0.3075461803764043,0.07877147982538438,0.026282688895907222,-0.006037571097470622,-0.059331275266467046,-0.07894270392578756,0.01980766530324456,0.06810150692983169,0.05780873133259999
MIA,0.0018246314061382705,0.005827065061808929,0.02664167865334875,-0.0304045686672162,0.0682551903746612,-0.02883272624875098,-0.033631143480579495,0.17972461672466844,-0.02116331225578202,-0.018113502148460643,,0.04247209571607839,-0.05722213466253851,0.028281360652451175,0.030737053554699488,0.013459414652559957
COL4A4,-0.009043105502980747,0.042628536545841,0.0005758773668463957,-0.026069283233045817,0.05539209996015408,-0.0426445800625058,-0.017696423799841664,-0.03683897230989721,-0.05405912790675931,0.01868026793965406,,-0.02031673325152909,,-0.03767570528381631,0.04418481863194475,0.015208914048224257
TAC1,0.0323484089939021,-0.0409623045830376,0.05346334562211524,0.012685260713595445,0.08168126406712174,0.12560292558947778,0.05435788897269573,-0.24365197200475416,-0.059442098161396534,0.056716505900784114,-0.005760033513121918,-0.036005503253448895,,,-0.03366495313786963,0.04649121425405424
RARRES2,0.11129951918495731,-0.06932849360645589,0.04348274460460691,-0.026092658508903806,0.05328978917631941,-0.01889831038689457,-0.02100849546850564,0.34530321678694825,0.07582649505915161,-0.03898026036468097,-0.03242578491486853,0.0036296776183327418,-0.004747432940991433,-0.013394295220863469,-0.02896473616589481,-0.045614069901580484
FGF7,-0.009106177242007766,0.038504896013568865,,0.05671483117384995,0.06279164143225946,0.016626213950008076,-0.005002575580909358,0.1287959269200972,-0.015739701186142197,0.03298062670414402,0.0011780647238513408,-0.00472014324728894,-0.006353190701570174,-0.11742919863917704,-0.02481528196093166,0.040500710367537426
HBEGF,-0.009847720144227775,0.1141558144610986,-0.012759433576076454,0.06617479248894963,0.038678001472449035,-0.06430684379299627,0.033365888931000835,0.2386033790431457,0.10329770026586793,0.03129424489031191,-0.002817406162679717,-0.00624140578095516,0.05287958793722635,-0.029207062304016356,-0.018952277302157965,-0.062186527798468665
CSF3,,-0.07002247313300027,,,-0.021762496834388845,-0.015498843028826259,,0.1191169105994183,,,,,,,0.03575241411671426,0.09397323317444085
PI3,,-0.09891314984032756,0.05076462525505175,,0.027128707198240988,-0.020938650094787317,,0.17602246384323955,,,,,0.0898021228188515,,-0.05857899212688643,0.003689256595832296
PCSK1N,0.12539182143420735,0.05263939768191425,0.006016457835805671,-0.005332519847016765,-0.07330351875454516,-0.03801609588279993,-0.023790084583809948,-0.07767163219848365,0.021865352174119838,-0.06616209560021297,0.017824991838441686,0.0013259219588154553,-0.035623701753896286,-0.08369357922302462,-0.021478733373981193,0.07294561352018686
NTS,,,,,,-0.03685826554085166,-0.021603312687402256,-0.022550920467362873,0.03883661976496477,0.02028347272755849,0.009987128330604356,,,,0.07030401740988095,
SFRP1,-0.046034914335191655,0.038470982435689374,0.0507273108167118,0.0009227357830974647,0.03470286158062356,0.07907034687985223,0.043845880156978795,-0.041905847586611276,0.07591787059062327,-0.021713216402851516,0.025912818596730527,-0.005708582240689174,-0.029930590017073686,0.12321153474170105,0.048443120631804684,-0.027849805668767495
CXCL13,,,,-0.0577183324797939,,0.04466881588732726,,,,,,,,,,0.0773763143850281
MICA,0.0175653690613806,0.018256086805022886,-0.019912071435030106,0.017971005311608248,0.04934037466914008,-0.009860269803463249,-0.036913200204016526,0.18804151599044958,0.037491067588042576,0.021000597858685275,-0.010587625993691736,0.0034863056942033917,-0.014649064831407389,-0.01934436592546554,0.021612657668588633,-0.020240318848085654
TG,0.0009443947129487421,-0.03433679701015217,0.011044412748093013,-0.032457617117896596,-0.002612050496800845,0.024224501409548002,-0.024935917761267894,0.008434173404649397,-0.057267323833059776,-0.015713760260220852,,-0.021434527427400738,0.024302935867177737,-0.007798002913897515,-0.0207964943362341,-0.00274786396496986
ADA,0.023634011961305657,-0.008071418326206656,-0.03332479666628001,-0.001989130936562571,0.047567851793683606,0.039425605755079834,0.07634427700534688,0.2684646563023755,0.006096024040436896,-0.02552041036403989,-0.024283446297733796,-0.015074410713074847,-0.02748187507977946,0.061670547585548095,0.03847549061306263,0.03589845579249804
LAMC3,0.01283750199589044,0.044787913020176956,0.009120100124997413,-0.020446673544040332,-0.009455846666616145,-0.03695715604658409,0.022634874297232484,0.3130836260361204,0.047281138504329155,0.015688628787093307,0.028479803698958066,0.014379244715864872,0.007289365567965354,-0.04928646327268775,0.09003428069202044,-0.057259297719958746
CCL7,,,0.0412294446669635,,0.0011168146388309719,-0.028574704038305535,,,,,,,,,0.000560156749797965,-0.022382058468287277
NGF,,0.11939332509526593,-0.04237228553739605,,-0.04523403897374527,-0.017983096602246906,-0.023795553781896003,,,,-0.018390047813197544,,,-0.10827231893421337,0.013471632993090746,-0.01952734129339462
TNFSF15,,-0.05216715149301283,,,0.014780022770707436,-0.02115661390391525,-0.02889301906323437,,,,,,,0.07834222345192723,0.03641122447422949,-0.05296587450812001
HMGB1,0.005106592994482681,0.19839314394065682,-0.06177231830120175,-0.01941013689348341,0.035859197881261407,0.02841780066630877,-0.08020330777410359,0.18369804648764904,-0.059739953411923445,-0.003288666460325215,-0.06293416850279203,0.03972450467065245,0.09157996423355909,0.06539025054441533,-0.0707455736085535,-0.01870812482964288
ITGB3BP,0.005517994431813178,0.02665537313496005,0.024123028448939977,-0.014704124008735362,-0.006156616638165607,0.01601164747052442,-0.03426261538344343,0.26105401738886,0.008253094601750543,-0.021982720447248316,-0.06896552708718341,-0.012278188510208897,-0.020403941715714396,-0.04627895140726044,-0.020705194967256698,-0.05319749995071367
AANAT,,0.0357441573945664,-0.00028049592183165226,,0.012116364038283702,-0.019063374414704216,,0.04772979034823027,-0.0155395588945329,-0.002109907805116583,-0.017289349498791868,-0.01914092374738525,-0.029589783707712126,,-0.02989320407847353,0.009032448675122724
RELN,-0.004627735534560137,0.06972534817792415,-0.018364066288563397,-0.07149103134414525,0.10301965549554346,-0.02396788235096542,0.054055224323065545,-0.11425907955690008,-0.017914310747032876,-0.02304189542908753,-0.018268029729127496,0.04178337572403144,,0.09007531722577691,,-0.00870437878035812
IL15,0.13264822551474104,0.01619028917171533,0.043973594488924635,0.030241149282596556,0.09647249891898016,0.015455238335699499,-0.02055910073362676,0.13711795053054893,-0.006236628496420795,-0.009178658438180663,0.029880111048992606,0.021439158482295648,0.028063626686009494,-0.04189356916329168,0.05682648009187238,0.023290522996055222
UTS2,,,,,,,,0.20606807602154892,,,,,0.007294149396952323,,,
BSG,0.09740438316672102,-0.021935034371039157,0.020817700903287002,0.01116624871080982,-0.042192386851973136,-0.01553449709650996,0.0031872181970087603,0.04296895067622469,-0.11315643384867421,-0.0211115996946253,0.008306287079629843,0.03821844721382712,-0.06444492929230118,0.10402933364877925,0.007752007462412127,-0.08595464133575921
ADAMTS3,0.09715226721777383,0.03481379917277464,0.04500188283948302,0.0125245886389311,0.039131526360635584,0.013921438408404955,-0.02126000875079461,0.3735893334385804,-0.04784563841940318,-0.051804726603946825,-0.027762632744128272,0.01841728737862372,0.03922969127662448,,0.006059838671576235,-0.027884810379992245
CD34,0.01932847649952004,0.07379909246221032,-0.021060232749086624,-0.020084844791192328,0.032791961712050254,0.055420309486748046,-0.03225337185744027,0.2565097102019243,0.04707808580927956,0.02559982724283512,-0.025616036209963767,0.02262819713723125,0.1021831039171576,-0.051566901449339175,0.10933335677256255,-0.03125471287296511
CCL23,,,,,,,,0.03828583125163761,,,,,,,,
PLAT,0.04288968841176196,0.05573023080321235,0.022057435964056474,-0.0604390842606164,-0.021076206970050353,0.03361780654964793,-0.05792303403950529,0.3603792418435509,-0.010808475806108674,-0.00585062313878106,0.00687418071194685,0.021289697043848078,0.028761973882971754,0.06497219759194746,0.046886048092527985,-0.07324540051638623
NTF3,,,,,,,,,,-0.01957564082903888,,,,,,
LTA,,,,0.03326918268854144,0.12973075732333103,,,,0.09127642852195364,,,0.0014653286403509018,,,0.0027533553241273095,
CKLF,0.024224888242219862,0.13701690757771506,-0.05787392010278547,0.02313847989502884,-0.027366930143198392,-0.029887807103221344,-0.061000477852887466,0.2982543399622378,0.14045395522458126,0.03843180110433419,0.06589879613606982,0.04037129577796473,-0.04118880304599371,0.033173946307841554,0.0016456909785945084,0.0024745319523237917
CD24,-0.06946608225268841,-0.13894338784554286,0.0402713586285118,0.004111235357883394,-0.017643018924271683,0.01313053080473503,-0.05274923341459035,0.04847440202521096,0.14230219625131638,0.033722150326712566,-0.024622340257719446,-0.03572516697521113,0.04252717654272091,-0.10003181882995014,-0.04133036761639274,0.03025990415566502
HSP90AA1,-0.03166305937891753,-0.020294728324286172,-0.008772714695386688,-0.034650305163251856,0.010465906616264566,0.059361897624520675,0.05875760256248048,-0.35104320847365583,0.1800370326812236,0.015214023994444258,0.00022645212667125303,0.04267542429977806,0.10368792947831479,-0.032604965962408555,-0.09419454356573696,0.06441687858269939
BMP4,0.034141005393642676,0.047017128644202884,0.0075827754810229245,0.000810419500560616,0.03396123547262531,-0.03699555751956119,-0.04936991077176024,0.03448883612353204,-0.0036717421095683726,-0.0010173136743733928,0.012886279130241405,-0.015126813831948513,-0.038681571561924734,0.01885877083218901,0.017171900013804302,0.06818120236361135
SCGB3A1,,,-0.0418399455163451,,,-0.022702125561921582,-0.012351297792577765,,,0.0038416663384924898,-0.011994714638909514,-0.012387337123461512,-0.04233984857088024,-0.07073436546546316,0.0310008242851178,-0.018846460364413384
IGFBP4,0.033183280111543735,0.023039734976847144,-0.010999170108546332,0.058131588990333244,-0.010872394520469243,-0.004641381828734266,0.04862806933427336,0.40225205928694197,0.09248860846425656,0.00964596626746982,-0.0011330895662920023,-0.025806690816304483,0.1462830619640325,-0.12229720766590386,0.09355274372039701,-0.08348733990200852
RSPO4,,0.04118424528625753,,0.004149943831282316,0.021501506065627157,-0.026201943246178097,,,-0.033578632907723706,0.05787258742429621,,0.03219490180728482,,0.03810119418691232,-0.05306146384795524,0.008830221403392954
LEFTY2,0.08308695151966279,0.020571736459426032,0.07479466004053743,-0.024162586612587092,0.04401655285496208,-0.0019358253378873368,-0.05893130845018278,0.3008404871211856,0.03654294175390521,-0.016753516986999586,-0.018390047813197544,0.009695330935648257,0.058970325950297026,,0.03903999110493608,0.014401865030358046
PF4,,,-0.008524758531100372,0.03884449079347535,0.029357375423892162,,,,,,,,,,0.04853911278688414,-0.013213405298374678
