,UKF248,UKF260,UKF266,UKF269,UKF275,UKF334,ZH1007nec,ZH8811Bbulk,ZH916T1
IGFL3,,,,-0.013977901351484329,,,,,0.09929553352089425
BMP1,0.07031152200271158,-0.029460555338241243,-0.038052429121378586,0.04450397789793199,-0.007559870785880012,0.08129120486636429,0.03405703050171771,0.007690747871641973,0.10958996237068404
NDP,0.012481575317043421,-0.023942091716522756,-0.006458825499642546,0.0029217578332170827,-0.008111319775545219,0.05186823666624936,-0.020875028104427526,0.0016944665232620768,0.01328215552604561
TNFSF18,-0.02435088456009817,,-0.016966905129695165,0.016289379161255384,-0.013506324320069252,,,,-0.045043897015041884
IL36G,,,,,,0.044935831545480094,,,
RTN4,0.06723436714293976,-0.02890948694815212,0.036374473979592745,-0.020039807350424377,0.01493810518486963,-0.03258232266503897,-0.04506868838231282,-0.0034959822904630376,-0.0451506236161945
HEBP1,-0.03649911549063458,0.020304811173905545,-0.020607150676663685,0.04666365698199578,0.022545017796746742,0.09086684256058745,0.1661645749534568,0.038053875375010794,0.032748648215231095
WNT7B,0.004245122753801664,0.006254039577539431,0.019878490944392268,-0.00518478929258376,-0.03128761798994806,-0.02242561742949579,-0.02738621104573962,0.05249675976483017,-0.0493728759726863
PTMA,0.029636796872876018,0.0626800434704233,-0.006405859712178784,-0.04758830787222677,0.02510403398796301,0.05991486340990402,0.05551025627963028,-0.05039016677981884,0.020363819831033143
FASLG,,,,,,,,,-0.023159867856284617
CEACAM1,0.010005363879183195,-0.002924854234750802,,0.059011282152570566,-0.02124223048929547,,-0.0018064886979835119,0.007450015234437722,0.07684080106223407
PDAP1,-0.04365943781627124,-0.010868233409112365,-0.01708487678603479,-0.012550346453062133,-0.0003313558877783885,-0.050478408173796264,0.0805803305528413,0.007124776669502608,0.03448867523110681
QDPR,-0.028807858874542073,0.0016329964652070433,0.023435042840177236,-0.05555378728179423,0.018830418420453403,-0.005922800132834783,0.15816811150303323,0.058351353826777086,-0.008359316714381542
POMC,0.005089964476842825,-0.022681670575875015,0.01749891788469592,0.05807783045836999,0.05530194051345856,-0.043714365785954126,0.1648174563333614,-0.028080240825429894,0.012949908058131837
CCL18,0.022324954519528987,,,,,,-0.04035739313490858,-0.021621184387083707,
