,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,-0.03201445811335765,,,,,,,,,,,0.12835957980052617,,-0.014227406105991694,
BMP1,0.07752022670832782,-0.007812167808236387,0.025575870821213036,-0.040353215208098855,0.018356319447868665,-0.011733503615584168,0.03605962453060898,0.08180811739675377,0.12099499119986307,0.019707869262371797,-0.014297481471796004,0.016707223638963098,-0.04785137158244456,0.004392659393535364,0.10738488192041283,0.02687162473536914,0.05176220582942091,0.0832523538877177,0.1391374096531564,0.09272811994073699,0.009871534073989545,-0.0074366503793607125,0.03670159028258253
NDP,-0.043650581745987835,-0.038644092917377436,0.038056557275893424,-0.04904982331812244,0.005193335213324265,0.010676411161296733,-0.019433190509937654,0.015200397495544136,0.02727705214225526,0.007032211947022233,0.03228538095889723,-0.01910752569294518,-0.01399231569185019,0.023712488907742895,0.037855771892605215,-0.06216446335220568,0.12819429186427606,0.050597415591421564,0.12733963217017913,0.04799907395841394,0.004769844740882586,0.1450543549085387,0.007764009974114629
TNFSF18,0.07335865920917028,-0.040626833978835306,0.014978923932285044,0.08234999145895154,,,,-0.013800794640879611,0.04438459693283868,0.07959104736413375,,,,,-0.028742976295356718,,-0.07027637556353582,,,0.03576316930322023,,0.04576026156003662,0.08180507462993501
IL36G,,,,,,,,,,,,,,-0.018686343403680396,,,,,,,,,
RTN4,0.0056995180234924074,0.04530011984177131,0.013063104996195982,-0.03830299250528209,-0.00454695817332121,0.04129082164003023,-0.0265752556933495,-0.11480396299823663,-0.08316676234881065,-0.001470420319852987,0.0064734625570858385,-0.0030299617688002143,0.045304179824244104,0.0035157448832960686,-0.012526294214434235,-0.0557667655611323,-0.02123811350472348,-0.09608087291339946,-0.05334140570951093,-0.07537425181333396,0.01808253389213879,0.03850392619552345,-0.026399233826331202
HEBP1,-0.06697953035945042,-0.02135853723843731,0.03551586802678963,0.013098410265897895,0.04520184209753867,-0.04320630383121876,0.037957019389708975,0.022695606543571487,0.09378658966196858,-0.011067096101483742,0.053817451910224384,-0.006132568322487412,-0.021773003523489872,0.024497207011922387,0.08419047984854172,0.017470651930603917,0.03417889234669104,0.058834237215671145,0.07348966954041428,-0.0171204966645121,0.013743003465480502,0.07190207651344022,-0.04496312584937589
WNT7B,0.051707351565660656,0.025241158341550916,-0.005801045398415828,-0.021509831008192325,0.019017431802757015,-0.03018079572787328,0.02609986146781769,0.019935934242392227,-0.002313000943858026,0.06951237658840496,-0.023905961444508215,,0.01653209332975661,-0.02053844484100986,0.06300583590359601,-0.021808794931992777,,0.1091818523702804,0.01362213623233881,0.0022002735178368988,-0.011192201259176757,0.044627563498621764,0.09285313108829701
PTMA,0.09038493669420133,0.09363843371190081,-0.0013767493722779507,0.018146484060969206,-0.02756827866812983,0.0038198643308368827,0.09556108538417099,0.14627926122479434,-0.07541982612354496,-0.01259900905327266,0.02438862205785867,0.05192600903893976,-0.11848436044608093,-0.001379572709185851,-0.0030968480479796165,-0.04015117953407821,-0.011599720406140712,-0.06262875698320879,-0.04135030951524432,-0.10606247682773214,0.0009003725697373407,-0.11709694240827447,8.409557083325348e-05
FASLG,-0.024033755076752004,,,,,,,,,,,,,,,,,,,,,0.015822577067394938,
CEACAM1,0.06873766802697319,,0.043625607169785786,-0.016507501569567956,,0.07472797394826584,0.009221532511925767,,-0.042268632612371265,-0.025333651831497092,,,,,,0.022982675452340402,0.032446261902462185,0.009462340691149288,-0.008044435935716998,-0.03215311886603258,-0.029861722632857208,0.04584511182581981,
PDAP1,0.01778392295919145,0.023262641316984516,-0.04689543116531105,0.0218203771684526,0.04616093835892361,0.02891113180488724,0.041223105574358584,0.027950081545670982,0.0856243639050974,-0.031552046205453835,0.01794760177631248,-0.05130876801496757,-0.0606716140524765,-0.006416085399600196,0.07376266534460384,-0.1325902792794592,0.0431512015554041,-0.058588749435878704,-0.014420002763466921,0.03102988312723083,0.07222801351822984,0.09255409850792787,0.08441900914999349
QDPR,0.055086381132158364,-0.04286343764313094,-0.043516242184271144,-0.05287206578354234,0.06648207224393128,0.028712782411752524,-0.011861540682385157,-0.008826013133269396,-0.07866343384029281,-0.0005104183776953313,0.05816809230576985,0.004342982800495991,-0.027917434876275297,-0.004663714437792635,-0.09079713456909475,0.02381838852075136,-0.010331564463292694,-0.04321474563748682,-0.008706782290322549,-0.08064279301376683,-0.041490404302085414,0.07035196125483319,-0.019382793420661577
POMC,0.06538028977183344,-0.0008990241503955175,-0.002941444954844502,0.026894367733052208,,-0.007580018503686575,-0.020979717973711478,0.03721558516019875,0.03283812171172874,0.027851530153217178,-0.024476414210186898,-0.018037651148454136,-0.059470982138688455,0.09032824262252352,0.05910312815364284,0.037468410599845806,0.014855727478500346,-0.022773910877518077,0.05564638408203593,-0.013986437963892286,-0.016611018375447487,0.07053682084242907,0.018349690081470492
CCL18,,0.07031532960497927,-0.034826146255417044,,,,,,,,,-0.045866729949073044,-0.008333780540434547,,,-0.07705765591803283,,-0.040309850229601714,0.1583120494772837,,0.03598338655169533,,
