,UKF269,UKF296,UKF334,ZH8811Abulk
IGFL3,-0.014158629843370322,,,
BMP1,0.09161517161551457,0.029783711415683412,0.025021766571556657,0.06246225512597687
NDP,0.03870142301928876,0.01882018894092121,-0.034349704649939056,-0.025022511135055735
TNFSF18,-0.021025140263689266,,,
IL36G,,,0.025431294198077554,
RTN4,-0.08432767990067706,-0.0006368593442565815,-0.028052532081822252,0.0270513812607896
HEBP1,-0.009812996140853077,0.04885297911459646,0.019806024085214254,0.04899840224283035
WNT7B,-0.045598296453839594,-0.012031755630836942,-0.017551328949605455,-0.005838864411649673
PTMA,-0.01961282836924194,0.013233581545365976,0.04528093574561678,-0.008319273200305321
CEACAM1,-0.014035778585749684,,,-0.01876377932372706
PDAP1,0.06318633696609303,0.04013232822871714,0.06900654500617266,-0.03360303888770465
QDPR,-0.06347684392513714,-0.043053574923443666,0.023333221962036525,0.01650585531219408
POMC,0.07544210263140916,0.02628219370468406,0.016361684452605565,-0.04505311866603421
CCL18,,,,0.05833668651047172
CCL17,,0.06344582883368088,-0.014587767209113714,-0.013311993237736432
VEGFD,0.009166511994579612,-0.010923418549239346,-0.015634161949833518,
TNFSF13,,,,0.027451532936053333
WNT5A,0.03612448791102632,0.01915826212892718,-0.04512403355786445,-0.030637629038457084
CXCL8,0.021616890457221483,0.017608591218742056,-0.01513681120403834,-0.02351368076183722
GRN,0.06796139249480565,0.04349679749906507,0.02724172949157207,0.022346779609644006
MIA,0.10862268559413539,-0.012423088149233406,-0.021411701265795745,0.04932803306597715
COL4A4,-0.013952278783974979,-0.02086980011528563,-0.020770144582634202,-0.010893077104471793
TAC1,-0.07616214567233301,-0.03214618632642717,-0.036809043023112754,
RARRES2,0.052332811570636455,-0.015405269386942255,0.050466188490572966,-0.006177440234487696
FGF7,0.020054233224164532,0.012562037229283911,0.05129393875990584,-0.025948672752250934
HBEGF,0.03988015922608109,0.01575892732285069,0.02122584682565686,0.0575391435482877
CSF3,-0.014761242405426474,,,-0.0006832914794418494
PI3,-0.016621353775821742,,,-0.03604970231166479
PCSK1N,-0.026337345299197762,-0.02481251017543093,0.017270199178389983,0.03071503608841956
NTS,-0.01814334256626417,0.03387343244000018,,-0.003902632493130276
SFRP1,-0.053244710564439565,0.06148270657245709,-0.03266094070156928,0.014340503744462198
CXCL13,,,,-0.02990146615298558
MICA,0.04375433339807607,-0.0348704378986878,-0.009198137258629767,0.02462423745163031
TG,0.09023484334033277,-0.01077723276639987,-0.021912884724912398,-0.017688310823897706
ADA,0.09287599402888118,-0.017503092718269327,0.012515932580923672,0.03928164628185233
LAMC3,0.10149159927031377,-0.04002132649243174,-0.06350064689752846,0.018250428655971866
CCL7,,,,-0.019951609440647403
NGF,,,,0.13135360992660863
TNFSF15,,,,-0.019450578832116858
HMGB1,0.04885309606462231,0.014469965368659994,0.02378995560611187,0.010625219179951285
ITGB3BP,0.05641978008141615,-0.005988604614513997,0.07980261285974317,0.025020182278603115
AANAT,-0.0133150401172641,0.01073098125027211,-0.019568094376021142,0.0319643183267218
RELN,-0.039070505431655175,-0.029238501717797856,-0.021663569465751417,
IL15,0.0017021349834733216,0.005616365394208349,0.05538119205831278,-0.002946718432326411
UTS2,0.07637586345071119,,,-0.014905248258324445
BSG,0.018710648793686408,0.001653605828837641,0.07937522540874463,0.05783818264552304
ADAMTS3,0.11604465693146063,0.024366844982028884,0.016632055843069225,-0.00812540683158519
CD34,0.0897577579565283,-0.02324326190722662,0.0009263221226287233,0.03157918284855283
CCL23,0.010339849062635907,,,
PLAT,0.08677131046937119,-0.025891078512089504,-0.041608690416804255,0.07793292991148074
NTF3,,-0.02005382897217158,,0.08912887656464427
LTA,,,-0.01814850535140959,
CKLF,0.09494616898534772,0.03607492852142395,0.03949053885311261,0.0017387684218826678
CD24,0.03663948795412725,0.0684441591771448,0.020421785255395772,0.005232506428094627
HSP90AA1,-0.08744961669048298,-0.03051802341263418,-0.030257055256582763,-0.02917948240068755
BMP4,-0.002566451354018927,0.03917157399398783,0.07043277624004919,-0.007089913067465066
SCGB3A1,,-0.010478996943114306,-0.012663787030267952,-0.016212234441509193
IGFBP4,0.1484522972077837,0.0032639857856281403,-0.0038268664514729002,-0.003986198961654203
RSPO4,,-0.010478995410323953,-0.0251748340747964,
