,MGH258,UKF248,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,,,,,-0.01586388878746936,,-0.02486049070319031
BMP1,0.01473170694037693,0.08249748928570907,0.16839398115946205,0.11347790107541053,0.1537278824124281,0.031730735525952306,0.06442509870966133,-0.03122714888723308,0.14028515196756622
NDP,0.0005290222419661347,0.018564514249915436,0.010694171003162523,-0.0011794694385871235,-0.04787736885237363,0.047858783143851405,0.03561971729732741,-0.03333732188152255,0.027218970237363315
TNFSF18,0.08263539579453687,0.10423896026476183,0.1316311814908493,0.07306360586130121,,,0.2007736146538973,,0.12554993159723873
RTN4,-0.042722295952736106,0.036383053606434415,-0.03741091078410818,0.019482832900044215,-0.05089120314132154,-0.02993633572261275,-0.024796576795214815,0.05682429551042862,-0.056584496945943356
HEBP1,0.02623848705045312,0.010640570348426581,0.07517679837766776,0.03493194333410323,-0.043978717167261545,0.039211994933052066,-0.030557159611969118,-0.06108014742907119,0.04291816941793852
WNT7B,-0.015970525702443845,-0.025232883528088862,0.005516119896264628,,0.05931225398748349,0.009060053610407846,0.1517484624964847,-0.02036666850899357,0.08845086041376846
PTMA,0.05780405010598575,0.07906280873952289,0.07335436806373061,0.022302379463929642,-0.02229950478049268,-0.0039952903802163205,-0.11089628761597488,-0.008654531575591987,0.09150594036149269
FASLG,0.012684073304921772,,,,,,,,-0.021561495105598
CEACAM1,-0.02217522097576516,-0.022149908683319033,,0.06483599866672654,-0.03876866446695113,0.009505284246015527,0.060584182425430934,0.013696166283058277,-0.0014184576507453377
PDAP1,-0.003123191070383997,0.0412812960425894,0.0588481292331973,0.10724966619093629,-0.0033653770633466527,0.0440778153444872,-0.045929565133092654,0.020968722273981336,-0.009460407799508885
QDPR,-0.007106571722943444,-0.0645212003943196,-0.07342044770578415,-0.007753209105780196,-0.17713115020500897,0.006874700827940748,-0.09114872608169644,-0.006499120269826277,-0.032880564025083873
POMC,0.025983391379072265,0.007353084648055306,0.08268674623760644,0.04781091763017041,0.05619843294647832,0.08088565512366723,0.013982127755251829,0.04452441728628102,0.08981787481797536
CCL18,,-0.027640993224208342,,,-0.027487620525057266,0.01681179791100517,,-0.020684823819557975,
CCL17,,,,,,-0.017521771376263838,0.07304237069052125,,-0.01954307353431094
VEGFD,,0.023703031465480574,,-0.05162054864324892,,,-0.022059524550633293,,
TNFSF13,,0.12747662943757965,,,,0.05457402419554327,-0.00023033721382615066,-0.01517941956252258,-0.031843807130090496
WNT5A,-0.01770506746721105,0.0471185298114756,0.1355755652970638,-0.024727275600432457,0.046840823897684444,-0.029647623593076763,-0.005245209331683516,-0.025444460829693667,0.06462423994418287
CXCL8,,-0.047953844773112396,,0.014662836612629819,-0.03384740174105589,-0.08999519683114961,-0.029695622519944474,-0.07066515226004924,-0.03286692448436574
GRN,-0.025613418380331408,0.10740359872527565,0.10693107088718891,0.11587802448845604,0.16421745815714356,0.06242449550624891,0.1040257369222557,-0.00477447594090651,0.06917699457177984
MIA,0.08933018585494729,-0.016960744577988376,0.17738195765925713,0.03048418075907027,0.07311295927782183,0.06965961268036047,0.027048194652316816,-0.014894031332533898,0.14360407246574747
COL4A4,-0.01849581999034067,0.03922248272758869,,-0.040419906214695135,0.1882190483887269,0.010295235781265288,0.08801319999720997,0.000403875305005402,0.0759295929131998
TAC1,-0.015970521528362182,-0.013930453083206703,,,,,,0.0899253910909588,-0.025691357384211095
RARRES2,0.05449686797838714,-0.08324338504355494,-0.014958101846878529,-0.18273325988626737,-0.0363507302324027,-0.08062646640618593,-0.010984548131432039,-0.04043256530292385,-0.05848023585952528
FGF7,0.049265332041779276,,0.002535772477972584,0.0169149507742841,-0.03869045619544486,-0.024073268595964686,-0.05274304126683957,0.04675943301762041,0.001794022114550957
HBEGF,0.07872690713379629,0.11417274948030386,0.056619475303255534,-0.02412022070841145,0.11201130924085127,-0.006555843431805572,0.04320140808622827,-0.03209567518529718,-0.01126560569187856
CSF3,,,,,,-0.04722235044365458,,-0.019379403640339212,-0.020575841556694705
PI3,,-0.029079490264629398,,,,-0.1130753338703275,-0.01777123129039554,-0.025075773380294587,-0.04470446804946791
PCSK1N,0.05370760390061259,-0.05877846582252173,0.008702304538678145,-0.01430255827636165,-0.08065327049207546,-0.019295579421766303,-0.010310459851690785,0.04021812233428774,-0.04891098604909175
NTS,,,,,,0.022656124990605587,,0.07606131671093805,-0.03047001559865939
SFRP1,-0.0036019421659316125,-0.06257134616192331,-0.027744213095520602,-0.005404387666906234,-0.0013151010092635983,0.056197036848752324,-0.04867180452596105,0.04715385997516891,0.028318166510621526
CXCL13,,,,,,-0.017159892981090445,,0.02859296084509219,
