,UKF248,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916bulk
IGFL3,,,,-0.01710694064174997,,,,,,,,,
BMP1,0.03458225899903716,-0.03434159914689145,-0.004591297057965013,-0.11224590004027078,-0.045847552055949585,0.03059068357965615,-0.023887817605248742,-0.17188788230708688,0.11252977095913148,0.02444596373295161,-0.04951031178896837,0.005613756561586034,0.04000784123421378
NDP,-0.0587400633209619,0.046962158619397835,0.07490672735403003,-0.016588073658657092,-0.027311565751346165,-0.010753371344110174,0.0128807096881781,-0.06253088840694815,-0.04077299192780907,0.029140676521847358,0.07186125836983458,-0.022597860561266274,0.023239673389148282
TNFSF18,-0.003994221811466637,,0.060039088521006485,-0.02540329328856742,-0.014105908494951757,,,,,,,,-0.007329649942221213
IL36G,,,,,,,,-0.022758848694912088,,,,,
RTN4,-0.02944726176174319,0.10095251443750476,0.07321578827092295,0.13999018764368182,-0.004111161553149065,0.04114910002713717,0.08229348868978278,0.20959808710761665,0.08641513975733142,-0.10060962276492669,-0.08405096270652034,-0.02905329519683945,-0.014643908351812797
HEBP1,0.044248873355200474,-0.00039055333014188917,-0.03663189400356541,-0.08408176030668202,-0.028273140783916448,0.005487017547169974,-0.013059453708473537,-0.04094009410491924,0.019137761431398892,0.06761851711425002,0.010789998321412461,0.010604446408756435,0.0324205444208026
WNT7B,-0.018029806740190186,0.020223608915666998,0.02777537950536841,0.023041432871786144,0.011319054488596998,-0.022485014835009504,,0.0969529563145229,-0.038511393075351806,0.04559936152127686,-0.02111244346866826,0.005651022628456939,0.007198292193455803
PTMA,0.08008619889806749,-0.025914964221239265,-0.10386792061900937,0.040351815851480594,0.020960707281602188,0.02037004081922032,-0.08535851648365168,-0.24656719879127642,-0.003482884751584472,-0.10164443805792235,-0.028126047962347203,0.016793609586758133,0.022187171907379954
CEACAM1,0.02873025990452622,-0.017345624381608058,,0.01383630280289573,-0.022185233555026895,,,,-0.044493219311622464,-0.0018746811591376848,0.04460528599938477,-0.01684851627297036,
PDAP1,0.01414856502200114,-0.002032745312568538,-0.010007311982360967,-0.0986802251304483,0.030729892250965823,-0.014012912954229921,0.018609667274452655,-0.13169850526287766,0.00816983289323913,-0.026631861368628402,-0.029486569578255916,0.03161897901353325,-0.04131829995278497
QDPR,-0.025800071318235442,0.01753962945657492,0.029843947428960578,0.06513409362586974,0.030983367853426654,0.08329842313511632,-0.036858489381023395,0.04569327282223936,0.0636340936286949,0.04272102397574673,0.06390491909492581,-0.010750701797277629,0.10320451982285728
POMC,0.03458340528154445,0.05421902751665618,0.020303989770485163,0.05492988011429222,-0.016367380748573877,-0.01582343962721021,-0.038708804636157404,0.06378024756729705,0.015356160134147034,0.05774495100098771,0.04035853011682611,0.01351362404508022,0.10307867493706092
CCL18,-0.03136437699688381,,,,,,0.00696190730771142,,-0.03815060945993713,0.04835271795368384,0.07087485913380935,-0.058022005631509194,
CCL17,,,,,-0.01759281422923225,-0.027830145187447287,,0.043947095578112334,,0.019180777018176533,-0.04692662288942279,,
VEGFD,0.026114372019910955,0.09156359077299642,,-0.028658714405090713,0.04128731417655856,0.034714811452447376,-0.01856410748028755,-0.006386180149611772,0.06145139624835528,,0.059616601137007494,,
TNFSF13,0.1076469229403905,,0.006395476457622657,,,,,,,0.09191198237352985,-0.024691156973343627,0.0011369013501658766,0.05686504791015544
