,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.01288701505792127,,,,,,,,,-0.005510024231287494,
BMP1,0.13308386682194812,0.03684249998554468,0.09768872117558976,0.018052013006628505,0.00897527601258981,-0.016115998509127823,-0.05385133877057898,0.057845760599510396,-0.043326873660436936,-0.0453254807614876,-0.05233303337152884,-0.042887926279892116,-0.006123273155835324,0.010362167978707952,-0.01756574838767797,-0.03306855058762107,0.1051758853805765,-0.04481354147725795
NDP,0.03508798085276466,0.008791671785709587,0.0421500113600897,0.04437843367794253,-0.01630006053384471,0.036094457330241934,0.023444941753120313,0.028042679936179007,0.02281612761803548,0.023037195935695347,-0.02960152642833548,0.04191022965350743,0.03307766776175741,-0.006257314796028979,0.021250724601050118,-0.006146426802405064,-0.03031399023014293,0.033563924750217154
TNFSF18,-0.028871937580761828,-0.02335742951989585,-0.0350618435071655,-0.015360940289843222,,,0.0006039892901745503,0.05207231156079836,-0.01588254074616364,,,,-0.03003660191012896,,,,0.0041994159274054196,-0.04657273285212197
IL36G,,,,,,,,,,,,0.028623176508020966,,,,,,
RTN4,-0.056294612450087676,0.04819204634348528,0.04238578587978354,-0.002383409272597427,-0.02290844759060606,0.11297383470173973,0.09742717631403927,-0.11430406917148814,0.047039682373681946,0.02841076127646407,0.12249349932693032,0.04924373380893546,-0.020187606857698808,-0.14633684490745644,-0.06698447873961964,-0.09241175105822451,0.030852948094446418,0.13686453124185105
HEBP1,-0.04336723508852057,0.019816422395108352,0.02394229295138082,0.0954284104471194,-0.0023876369253700482,0.05937621581178126,-0.04574302379894194,0.004394247693878446,0.01114900232971218,0.022938908767377728,-0.04443603254977523,0.04291610193345147,-0.0007808142549882431,-0.02148890877127144,0.04896559111961301,0.008854601688943385,0.023200722729169083,0.09458851903205848
WNT7B,-0.025435272714419588,0.12764719574947453,0.05817375175449619,0.06711997767130436,0.053642279049636254,-0.016183853621071873,0.11316667080323972,0.034720244584331185,0.08515037397150553,-0.023824362504411792,,-0.016776808526702033,-0.03306736696821163,-0.06496681216106187,-0.04519254708472114,-0.033581885310870786,0.0014279702602365085,0.151440701772577
PTMA,-0.0519985429821089,0.014205968661284072,-0.06738534657384998,0.02243358738475001,0.0359256577695624,-0.081674265552658,-0.04274870393096646,-0.008199251787688936,0.00022812344985288853,-0.033248294434680636,-0.17397878134011224,-0.11947314761442646,0.0019135025476978782,-0.058185651922045147,-0.0028837405073288617,-0.040857729981358455,0.02046187251252033,-0.12002375997450222
FASLG,-0.02543527990490603,,,,,,,,,,,,,,,,-0.020435879485573998,
CEACAM1,-0.03531710874957578,,0.039785757470022075,0.047675406351039604,0.0838999444773841,-0.006382237877076754,,0.01289933318105639,0.054616721207901,,,,,-0.048921638719826695,-0.025323613112359922,-0.01626885998656869,-0.028433524819816248,
PDAP1,0.008091941758792725,0.024390152633066767,0.03900131679100803,-0.033752243107983596,-0.008623787420157158,-0.07962496483383784,-0.05704961906699658,0.05965620229167206,-0.001575625304026315,-0.05975190031821481,-0.0020320011642571906,-0.020622108662145956,-0.017128616745826324,0.015878128049256833,0.017885766495652756,-0.023030217490560143,0.025160500545174904,0.07671591347787367
QDPR,-0.12964661929496335,0.024047334520504747,-0.03257016439386715,0.018803525549025802,-0.050412561871996296,0.07648855055549804,0.017748509278075194,-0.15750654986315707,0.06148658252791374,0.005954978796858399,-0.10635717257015977,-0.048074340399032356,0.08352648714268134,0.07364736330702322,-0.013580482270020922,0.061052061830202314,0.033003531697702725,0.13356398934273345
POMC,-0.06976705764041514,0.01070088921588544,0.041852849650754344,-0.03385070314974179,6.921565051059559e-05,0.1017263492733177,0.022887284014697144,-0.04225443114332008,-0.018428844320111118,0.020597340667301945,-0.008358089174429968,-0.021651895117815376,0.018898725152555283,0.031335642655660745,0.03998968091870135,0.006519276348542183,0.032274985929009785,0.09180659219246609
CCL18,,-0.03132423353275721,0.04890222532695554,,,,,,,,-0.008722490224162624,,,-0.04194774758527556,-0.02724371793527159,-0.039727478769355715,,
CCL17,,,,,-0.015228933061595151,,,,0.008900293388594539,-0.009139509639303711,,0.010187002569228963,,,-0.01796587780589124,-0.023485120740431943,-0.018522829403476673,
VEGFD,,0.03122580664718259,0.04554398984648014,-0.027286828490932252,0.03359245253173259,-0.005278561754665222,,0.05409081413977905,0.03301524047030835,-0.021629718163282817,-0.00941230263908758,-0.014944243952176833,,0.29320524719191676,,0.05775902142652917,,
TNFSF13,,,-0.021015105114677454,,-0.01050457719230214,,0.040324571877886746,,,,,,,,0.004595310807643216,0.05591426784028817,-0.00290055984345705,-0.01753386919249137
