,UKF248,UKF255,UKF260,UKF275,UKF296,UKF313,ZH1007inf,ZH1007nec,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,,,,,,,,,0.07973499277992946
BMP1,0.0026369124147617947,0.05556057462159594,-0.0033577219794305264,0.03989749472774902,0.029694000329296383,-0.03592104298609652,0.02339990925024153,0.07007270611538113,0.06094052596839361,-0.04091040371962704,-0.000846220547416511
NDP,-0.03958482070145843,-0.02591368014675614,0.020283421635891405,0.05688599037914166,-0.007519518084455533,0.07826913548468913,0.0007192150864186215,-0.016043861197080265,0.03207185440385273,-0.00985646893521281,0.048316102415877936
TNFSF18,-0.03017276181451385,,,-0.029798457900219146,,,-0.041561995517717214,,,,0.045801685926835936
RTN4,0.0018618464451790229,-0.05664217327712515,0.04537132220655551,-0.018632041640935956,0.025073077244783745,0.003712520303835548,0.06174755227507505,0.009073732583922354,0.040650830260620906,-0.007715094059623439,0.008339194955473559
HEBP1,-0.0016833098051366015,0.06997659706045477,-0.007868495592204948,0.02496197100614934,-0.005281857915788612,-0.05970613959167913,-0.04586210352957641,-0.06501850134475842,-0.00720952084899855,-0.020495848701672162,0.019638452571788693
WNT7B,0.012991847260856188,0.045624583629162815,-0.02421697924401092,0.006597189262356338,-0.01775549787735162,0.003993516901561297,0.12678379518232372,0.016884182544905653,-0.03692434349276553,-0.020366673885378588,0.04367047191053649
PTMA,0.00960887825742175,0.07210620817471325,0.018277277038034265,-0.029934480145563543,0.06767200595508055,-0.016887974117159116,-0.014585925934888137,-0.004587035686753166,-0.030811430101276596,0.02162600734398741,-0.01952314953068896
FASLG,,,,,,,,,,,-0.0208642494999654
CEACAM1,0.028547342404967677,,0.051090635251998154,0.03779933266987082,,,,0.11092184890862099,0.07305797579294974,-0.01351765766452986,-0.029029538778738886
PDAP1,0.0047647894691024715,0.01997699730585683,-0.0015274350791723006,0.03193242595282489,0.025435224712313194,0.04350384290671534,0.030091114975361533,-0.026995856728544772,-0.03949193779576278,0.06256842637253864,-0.05013030799766701
QDPR,0.028608284280180824,-0.017280873072115014,0.05326324284773512,0.02372485354201459,0.016304800074627528,0.05512652566102511,0.017219545627826367,-0.033833179705158825,-0.00578651764950569,0.0006340076872794476,0.02731935299948414
POMC,0.05809059857926053,,0.05804395400984704,-0.009759583379806626,0.007602488687814445,0.019877601866756262,0.04960205911519042,-0.04610490255751632,-0.041905491071621566,0.012583693357135878,-0.010099039136809368
CCL18,-0.009657223614145538,,,,,0.027815793204493656,,0.08045685990610887,-0.024350895851024446,0.012292342845818526,
CCL17,,,,-0.007247117112592995,0.016765054328572632,,,,0.05553008539112896,,-0.01891109870716571
VEGFD,0.002235625615467834,,-0.023671985773693987,-0.03959560851547282,-0.016119903097712024,0.07303522039108601,,0.03230236951519131,-0.017888125363387897,,
TNFSF13,0.020507332666314652,,,,,,,,0.029234871810627176,-0.015179423569579693,-0.01742009508392738
WNT5A,0.0021859760338676236,0.13407941446628246,0.019095617481905088,0.07328343058859234,0.030102460680521054,0.09247745972783727,0.07668493887231977,0.048421360225101774,-0.0008450751187063982,0.04560597308996921,0.022410578775371913
CXCL8,-0.013716926010501049,-0.10248916459909957,0.004700827897381787,-0.055843353617244774,0.0037724310254865262,0.05732336321076108,,0.09380673005872221,-0.03427600830984918,-0.022954852822569483,-0.005150697544666742
GRN,0.023506162488179435,0.023652053160391737,-0.05792499848648927,0.033300133832587044,-0.020862830687320186,-0.013845216697226957,0.10485592455968488,0.11370371458426441,0.054652617613871884,-0.02316042998117917,-0.019339320276723002
MIA,-0.023945508675993567,-0.0038972052543834452,-0.024714121194620645,-0.017452437589269072,-0.002692974611584504,0.06874907177997465,0.10301039467316415,0.14301511650450524,-0.04666571176657027,0.011514876174152644,0.055833740253288786
COL4A4,-0.037668356520799536,-0.02816515793851299,-0.0027430756184124625,0.03977186560648634,-0.03079797354743402,,,,-0.028641685674615617,-0.027242752328947763,-0.030711376423402326
TAC1,-0.04569959439215643,0.047522179125483545,0.04205289600248652,0.000653548488034748,0.07563822196587124,,,,,-0.02332181041532054,0.026291770383511513
RARRES2,0.045336266045096774,0.08365515974607628,-0.02512749992464013,-0.03379917656069336,0.01324678361805966,0.09114445506464908,0.07505966670941332,0.1415302551338229,-0.03731615934020262,0.016013169971447257,-0.0001694436161431163
FGF7,,0.036386175258039936,0.004148562516526916,0.023191191631735338,0.03316982767764896,0.10183284097209731,0.021364240630879782,-0.05289515826629253,-0.0006323534173481433,-0.014450315156299132,0.05044787884656646
EFNA2,,,,,,,,,-0.017001466029505943,,
HBEGF,0.03430476656901103,0.0312198082216077,-0.016670208223081483,0.017917461644788777,0.0011238465746633132,0.05533543264162666,0.05500960351551527,0.035791308201632024,-0.04070215187184476,0.008720896704786547,-0.0027742786377879915
CSF3,,0.02018507552017169,-0.030000423578087337,,,0.006808715592622988,,,-0.04898337048781528,-0.019379408756106446,-0.019910469557334914
PI3,-0.03299664222636719,-0.05413754016751343,-0.012400185290817623,,,,,0.0514487782983226,-0.04372544078230943,-0.010192449391044241,-0.004034685565220563
PCSK1N,0.005834233812286228,0.007394139889346533,-0.05825341888034288,-0.013929533760018972,-0.007865914572006959,0.04039603260878456,-0.007561953714144097,0.018525421934972988,0.08534412533382794,0.02519185595567893,0.015316686189181942
NTS,,,0.01626677753062611,0.07295147944171344,-0.013136926935051123,,,,-0.02071306010054914,0.0024291265178984106,0.01448503176930036
SFRP1,0.01497711784872467,,0.014087879974770278,0.063326059043516,-0.021976329231017618,0.09240695883277787,0.06681478921542656,0.021705022013085246,0.009409403707408698,0.04926926629018251,-0.02879954089143072
CXCL13,,0.07290238492902201,-0.026762930479152625,,,0.024613887773193694,,,0.10057714352658946,-0.03161184845612294,
MICA,0.01722719238892301,0.033374688809139484,-0.05274975465366701,-0.050020668240354456,0.04339055193407213,0.06555602422209737,0.09095626927071036,-0.05235777567490968,-0.0014550997252399179,-0.013593616295430008,-0.034071556359579536
TG,-0.025704397779349207,,0.053163304023339034,0.04239275532481112,-0.01590417386944771,0.0033769726426825766,0.0448975904833845,0.050206833911552035,-0.025510397791529797,0.007282784490432462,-0.03882921340714335
ADA,0.0473770408393996,0.09548365179962842,0.002046058049421078,0.07700913081266221,-0.02582965737849695,0.06562279048001912,0.06207171437780929,0.04626224766571558,0.0520324412721412,0.008928968354308413,0.03242086419694351
LAMC3,-0.02239583291131142,0.015021711432874124,0.010857138353757042,0.011200743726564238,0.011698456610830531,-0.042544905431317344,0.11410589026575546,-0.07720957406979277,0.03475393806811006,0.027052203788152224,-0.010012853774314942
CCL7,-0.019950390489643203,,0.006568159789580642,,,,,,,,-0.020864242080887316
NGF,-0.03425382975255565,,-0.00852986612292332,,,0.07892511951393114,,,-0.016772937723049757,0.027593068385580892,-0.06246691195190099
TNFSF15,,,0.01617267884214778,,,0.16015597942159973,0.07915070503828099,,,-0.012034280134144542,-0.05512693986975126
HMGB1,0.010958074032486626,0.04676830361039292,-0.011631447274400391,0.015203330680802344,0.07175134134185855,0.062171137133732055,-0.03806915191490792,-0.07481890797148545,0.03894008058083011,0.04703799579492875,0.06374744860184103
ITGB3BP,-0.045831011534123986,0.04011370421110309,0.03400743288225184,0.009930516367135244,-0.005194154639332269,0.006946969160533154,0.05639796461316615,0.019602781211306423,0.048871116292884535,0.026622026355369942,0.07812290017213996
AANAT,-0.02894498136047315,,0.02295135934703564,-0.007533574984585135,-0.018332995973393128,,,0.1566528652325915,-0.022879368502864858,,-0.02207523820591997
RELN,-0.0015355017414441035,0.0006148290614010674,-0.003028015596724407,-0.015323781887087875,-0.031582379823580184,,,,,-0.014536106219093087,
