,UKF243,UKF248,UKF255,UKF259,UKF260,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,0.011647382023500678,,,,,,,,,,-0.01799641701851111,,0.038055367064629295,
BMP1,0.059271046284007776,0.02281206314875252,0.010366454611047703,-0.010300809458410116,0.07213410384645855,0.24301281464080576,0.03470005788795322,0.008450090731327142,0.046909313188525,-0.002945391149911328,-0.03672094312483828,0.009896184606160608,-0.0039028032391919187,-0.019170584339851533,0.030636333105190212,0.1252363740839626,0.03667369370683143,0.09373421895179654,0.05799645793299369
NDP,0.03559418871956714,0.004755960311465702,0.012791784592543954,-0.03844184461234229,-0.02585221562630084,-0.011179870662818185,-0.018604710242472164,0.008840075914434623,0.03935491834379,0.027053788453768032,-0.002362808063173721,-0.01763469811587239,0.06800977809030609,-0.0010459139404659901,0.05452785740647809,0.08716786653110761,-0.04375131679308092,0.04822484235120665,0.06153104453253318
TNFSF18,-0.022337915483708896,0.039644323447012166,,,,0.1325947646673214,0.025730572620393553,,,,,0.008980851050115535,,,,-0.018559387215775804,,0.09877055245976848,-0.0038110064002637484
IL36G,,,,,,,,,,0.001980843807793069,,,,,,,,,
RTN4,-0.03721241458753773,0.033482796991246004,-0.04782745595025392,-0.01548952267434004,-0.006268240002804555,-0.2931706296231775,0.039090299839178,0.0033815929494752997,-0.038007801470198777,0.031227697387067512,0.1172445593749502,0.06923161289542389,-0.06345534406874968,0.06310512144468594,0.03300141678820168,-0.10721465873874797,0.06419209600063744,0.005345815054586932,-0.04606119157738534
HEBP1,0.061278787359719755,0.010509333109261748,0.010542358624699452,0.07903946328164203,-0.006392352116773876,0.14233940737255968,0.0220066828003631,-0.016073041177660615,0.04459480295808288,0.01825576813241238,0.03783224942621298,-0.00548323190989451,-0.044955304497058445,0.028008099827426264,0.02491771646498065,0.017786082676110898,-0.03971604643698171,0.054496770698793565,0.010689076067968574
WNT7B,-0.00362387153374042,0.003512100689602031,-0.028520670356292903,-0.019727101249622923,0.03196082271179922,-0.05822149908065231,0.10490287130448307,-0.02770672968940694,0.0369135510132535,0.035314823662112686,0.08689811133258275,,-0.05739320579865294,0.007721860201285266,-0.011423939779495821,-0.01334847884731039,-0.03124349930817798,0.132098551702344,0.022049242576526785
PTMA,-0.10503922949611874,-0.08791221756832036,0.06813330437751959,-0.02807231247308823,0.0008572570600044801,-0.1336698939334112,0.010620326716605713,0.04816305200232634,0.07580515623068435,0.07799173418517863,0.00752442686691041,-0.04717254035918495,-0.06476122039795397,0.0034475968353620203,0.05214560385068687,-0.11020964118107072,-0.004821462804648566,0.014233336750746313,0.05128353241373748
FASLG,,,,,,,,,,,,,,,,,,-0.022637930118560717,
CEACAM1,,-0.0030665046367650863,,0.015590806106501992,-0.01519908034818862,0.14031536461332475,-0.020768968664678766,,,,-0.017442637888572338,0.1158025011261454,0.06285213645258793,-0.031650033395208485,-0.008492736394376404,0.010402587901197224,-0.02073676488693258,-0.031497354853249296,
PDAP1,0.05636286060585345,-0.02393688363589395,-0.011954365775634569,0.012428498227467118,0.0051010610553790005,0.20876100430005448,0.013932471782241251,-0.04444775882486784,0.05622724075561712,-0.002123057104261845,-0.020580644083099932,-0.05410548331568042,0.055244169138332834,0.009179990297979392,-0.006628321792139849,-0.029952552913908845,0.0685712920988079,-0.04479998327773554,0.015415852947652329
QDPR,0.07790278910236252,-0.04322056605797482,0.03226157925063773,0.006065466646289307,-0.016556790487017962,-0.2765126809329746,-0.09205446039958842,0.07093343874709049,0.04187610123849677,0.0617553949498995,0.09094542699240993,-0.001527656424514574,-0.05427077006880027,0.09930289375156628,0.03674709818803437,-0.12814295952166607,-0.08930303901398637,-0.019959816109441725,-0.06760569515393801
POMC,-0.042177712333939604,-0.008813558400631897,,-0.0115182966191988,-0.03058414381953085,-0.0006252001717375653,-0.004965890221797923,-0.030581934028573465,0.058541533378080164,0.0104051790809217,0.07709422280137722,-0.007228089172127899,0.03607210921989792,-0.011181619198233197,-0.007621545355659772,0.0885745958956414,0.011566152517971757,0.013377341102492923,0.003645852304641247
CCL18,-0.0299569813814774,-0.005832717366669057,,,,,,,-0.020573640731467748,,-0.037004975649923735,,-0.036493888956084915,-0.04278964858289651,0.04037943790949465,,-0.03222734221790687,,
CCL17,,,,-0.03325198666192104,,,-0.009431846219607914,0.024767467531025725,,0.006065379276988513,,,,-0.02245416678922334,-0.0252778487682895,0.05966925467924059,,0.0005296632971537183,
