,MGH258,UKF243,UKF248,UKF255,UKF259,UKF266,UKF269,UKF275,UKF296,UKF334,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.01244341161420832,,,,,,,,-0.019712692662795666,,0.019377034667392965,
BMP1,0.04553034233945821,0.05404980788322141,0.05069840365449374,0.15975148652949672,0.004753368960558423,0.21000181753063712,0.014557381091757825,0.058760741676916146,0.03660191639111387,-0.012187156930881595,0.12082213296784194,0.06879293712528121,-0.0069549182226463615,-0.042001107881648854,0.026351879748381563,0.0016619931122763096,0.0632812556585237,0.030784531521425608
NDP,0.07980601164457454,0.010299600784644812,0.012839905310149313,0.027773164948489693,-0.002509226325594819,0.0666504281226439,-0.01825091680015075,0.014968149039692425,-0.016961286669738892,0.054268330173376254,0.057410808520663194,0.09034957667211899,0.041316464020879066,0.035386466300213006,0.0897301129812155,0.004895928261465908,0.03594547268928633,0.06304612880701804
TNFSF18,-0.023591419860721146,-0.026202663575612278,0.06406064150382386,,,0.06868976997488593,-0.01847809268564598,-0.02352892183475315,,,,,,,-0.020329351993682326,,-0.02221551777976399,-0.003843643442419859
IL36G,,,,,,,,,,0.003580838557320982,,,,,,,,
RTN4,-0.0022203910834776995,-0.018497960825492446,-0.07247053044403666,-0.041851917757768184,0.003982860585713198,-0.28227427685394313,-0.013045336928856467,-0.034476508157176594,-0.026814367411321073,0.032881798950995134,-0.05441779066539817,-0.03395377509570724,-0.06109065027606636,-0.009629734089196573,-0.03779609197063188,0.010824217858876954,0.011721718376068672,-0.08855624084776607
HEBP1,0.007709486520843462,-0.044894835377905104,-0.01975950467657448,0.0008569993433870398,0.03797914030193351,0.08915162157998208,-0.06370791342404283,0.00796367148264433,0.00491306952954817,0.05550093729473182,0.13962430616231558,0.018948889809732597,-0.017708734794848854,0.046858835494521786,0.008668274083803657,-0.021069979248767887,0.031776454182805246,0.044269047735658984
WNT7B,-0.020783301993477905,-0.0005370502518881351,-0.02086777249823105,0.030859370643236166,0.04608730872978848,0.03558327738992895,-0.0335314021241651,-0.0016899157757932718,-0.0163288989542868,0.000705542797124927,0.002829530262560144,-0.03925395270840828,0.049148908019970135,0.060676466486741285,0.03437460701743244,0.01100027833172151,-0.02548052611552954,-0.025629203814892903
PTMA,-0.014596790502431388,-0.09476321764965531,-0.006579550396126796,0.28871853684459564,0.04166221062548126,0.3694747414079859,-0.006264105028389165,-0.04614724780207581,0.008220526240677734,-0.018541939851313794,-0.11285376859521387,-0.0778318008076106,-0.057942617869330026,-0.024341658695283066,-0.1347764942262265,0.029252308395576552,-0.0015922734649017841,0.0163921426787401
FASLG,-0.020783307868864138,,,,,,,,,,,,,,,,0.013812341856152276,
