,UKF248,UKF275,ZH8811Abulk,ZH8811Bbulk,ZH881T1
BMP1,0.0830766599432001,0.013148435162698103,0.015511923634417047,-0.038609252085014395,0.08798909487319098
NDP,0.017984910426229243,0.02468028763136673,0.04831470334978185,0.014409372866764103,0.02379013425324152
TNFSF18,0.029527365058005198,0.09134733630537269,,,
RTN4,0.007027938626536939,0.05235986560239928,-0.009118888600321501,-0.030656074933670598,0.015609091049920623
HEBP1,0.03190743479791904,0.009470713149455183,0.016156932021442125,-0.003157202761104088,0.06069630682389985
WNT7B,-0.026892964674021826,0.02081793434383308,-0.04735576838265303,-0.031787887038221406,-0.020366671197185545
PTMA,0.04770624156515724,0.002202692180089054,-0.001345204626847128,-0.029085322626287494,0.020998666116751115
CEACAM1,0.0268883302725955,0.01762847220736797,-0.026535772699704016,0.09259682313366753,-0.013517655880337041
PDAP1,0.0599203254301614,0.04226655578170301,-0.10304904365381226,-0.04784584077930064,-0.00895426568218713
QDPR,-0.03873492739356833,-0.007504175714790794,0.05664150336985263,0.0813453205397693,0.00028472681494323763
POMC,0.011152216465752405,0.14039668475722714,0.04737835371474227,0.10355087985198069,-0.02211310926482989
CCL18,-0.019721818518551773,,-0.02136661115236757,-0.015829369628125364,-0.011851833804808174
CCL17,,-0.013279517579130084,-0.018825846362938672,-0.022230507854607503,
VEGFD,-0.019721824781152864,0.025401557599494144,,-0.015399751345296819,
TNFSF13,-0.01488272184950288,,0.09611647919641836,-0.024163802001075468,-0.01517942156605074
WNT5A,0.03632272973889278,0.007576463409172553,-0.044349564467344074,0.05869742649938657,0.08191605251928405
CXCL8,0.04378829650985757,-0.04713198899266893,-0.014313032899869797,-0.034562288553466075,-0.027198841397707906
GRN,0.024705053676472126,0.06543136158458451,-0.056619047838727385,-0.03557296369532705,-0.007642924265003908
MIA,-0.001029429212094102,0.019538875318784284,0.14530790977444621,0.08109390516972247,-0.059920104216896954
COL4A4,-0.023685743805620017,-0.013864227203243833,0.0032382116423395656,0.04036740506064156,-0.0004943345057987715
TAC1,0.0004929279513869408,0.06417424418928094,,,0.03897262224348171
