,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.03667511821284384,,,,,,,,,,,0.04923063136573583,,,0.09250382114012312,,
BMP1,0.08923989900962846,0.037268992363797306,-0.024273889969653475,0.030340868614404604,0.058268926644321116,-0.03127337706180659,0.06406341867263546,0.02649416111461731,0.017359303889304744,0.07630801980823791,0.09120211211163527,-0.016927717167992216,-0.01979779919506335,-0.0009512951363352528,0.11125715402858595,0.26983612903940873,0.29131774200370586,0.051319726743289655,0.12387996859597061,0.04325934348457879,0.13828741245828674,0.06389076025856037,0.01781161654655795
NDP,-0.042925082584781615,0.040364644427539044,-0.009798548714767754,0.09985878639254572,-0.03788079363590842,-0.02345089673019746,-0.022133445052317537,-0.04717900682109094,-0.010175079407571624,0.03653520858683189,0.0944891373901789,0.033786554581549735,-0.02712107981299889,0.027271483518331942,-0.057269281467462484,0.10157692737751849,0.0991501829712788,0.04171121505111823,-0.0021518261620644356,0.0016302507419297353,-0.015965043569406555,-0.039854314553918344,0.08681062717194443
TNFSF18,-0.04102078358007783,-0.029754454112548817,8.510284674859626e-05,,,,0.005268011088405887,0.06291129071114804,,,,,-0.027050309343288483,,-0.05948305587418357,,,-0.029255386573409748,,0.01552189105755866,-0.008930322281132594,0.14139845358153805,
IL36G,,,,,,,,,,,,0.07325342946362458,,,,,,,,,,,
RTN4,0.08888621863994291,-0.012386480887367069,-0.08949806997629942,-0.013721047194002297,-0.07129223263279617,-0.026569686061372076,-0.11779018144724729,-0.03668823239736309,-0.003377540335663045,-0.12618006832146728,-0.1682164330785203,-0.016377810791928106,-0.02829510640246869,-0.07611213183792283,0.06025883184813309,-0.08956776600050406,-0.05869987076411059,-0.09512437433408233,-0.13140393742247167,0.004101386484270056,-0.008551119921798765,-0.1254518415119686,-0.05060291612869686
HEBP1,0.0966954832157359,-0.05075350884500678,-0.016221723261395884,-0.01730191860498172,-0.032879531249792315,-0.04038820505111923,0.08432154737890865,-0.023087244606947905,-1.8770516744838395e-05,0.056561628311483834,-0.032015131366910345,-0.0033287349335768177,0.033464500791701185,0.08843407642371304,0.05007813169022048,0.02791990406586678,0.09431606343814435,-0.005131755449598361,-0.014225288433895252,-0.0664321063795065,0.0474500352851138,-0.03977904342130847,-0.05382782900349217
WNT7B,-0.006716759135798434,0.020953497326096252,0.09602967796907211,0.15346578512229309,-0.02357417903375386,0.013086140247058009,0.015791455284197595,-0.029120799845838877,-0.012626033852175991,,0.01984833436184415,-0.020208321120469563,0.09672831263120509,-0.014597344642792567,,0.02912994799726357,-0.0006110819933513543,0.04704757155853475,-0.04444957605392507,-0.056548329800886574,0.06735381564696608,0.06332408030067828,-0.038609829781046705
PTMA,-0.06417512048990004,0.09263602010016295,0.017752630967796095,0.004764598128597456,0.05560507667765433,-0.012322135987983674,-0.046202806361753154,-0.06341658168953111,0.04001058940546728,0.13590541293034764,0.33636391827557893,-0.011277082159320634,-0.007629881958141392,0.09401248706495433,-0.04341797270447875,-0.2672026803994243,-0.0551113640302814,0.008081826846237535,0.022953253671596834,0.0428839430135337,0.03586485418011565,0.15059332212975488,0.05372709159389858
FASLG,,,,,,,,,,,,,,,,,,,,,-0.007873946238398958,,
CEACAM1,,-0.021021408039824135,-0.017144216228333283,,0.002355715861611256,-0.0017788832683585981,-0.0357513496096402,0.00144707470233071,,,,,,-0.04108320412977007,-0.019792894028901685,-0.054432709763539,-0.004436232228509215,-0.01789787697024145,-0.03855941509949833,,0.032206703990445465,,
