,UKF260,ZH1007inf,ZH1007nec,ZH916T1,ZH916bulk
IGFL3,,,,-0.020377997908168275,
BMP1,0.044258093721588114,0.16101679414877015,0.06831959381602509,0.022785286209642992,0.07929066336967414
NDP,-0.01237197506870486,0.08013783254512583,0.05551646030954793,0.05137591573537372,0.04977252287048894
TNFSF18,,-0.01440708765506691,,0.0029764387402620427,0.03740697386559081
RTN4,0.034064290562771805,-0.04108719173185062,0.01873568026855959,-0.03177726429589117,-0.08665318180288328
HEBP1,0.03455270322359652,0.02442036653169239,-0.09039941029683443,0.023282836904348396,0.009729004932645976
WNT7B,-0.0412936700894127,-0.019034505489026257,-0.07118789899322399,-0.0053233871691604475,-0.07649864445377554
PTMA,-0.0033105017723846194,0.06490939712813996,0.05266439211615006,-0.04180273939868268,-0.052389004550715754
FASLG,,,,-0.0176738306336999,
CEACAM1,0.049296511876989496,,-0.03164274884590807,0.0425776707836724,
PDAP1,0.06893708394720265,0.00824159864093608,0.08681486130853569,-0.04692281550732933,-0.02978844936649883
QDPR,0.011525321831655557,0.045048241546475215,0.006741966613463767,0.026156628765692653,-0.04757760708238114
POMC,0.07551548894582497,0.0010484045140419218,-0.023352005942828186,-0.018958321975711064,0.01164582104470447
CCL18,,,0.05457810657485679,,
CCL17,,,,-0.016019342351527292,
VEGFD,-0.019823145389977304,,0.04514554627496161,,
TNFSF13,,,,-0.02610218128163592,0.004388629476172263
WNT5A,-0.008223800021794861,0.026116545819253777,-0.027402320473118993,0.07386111789530563,-0.013946528742042443
CXCL8,-0.024747866390261813,,-0.06190797516934967,0.02914592835195187,-0.015953410021513587
GRN,0.016822055611363435,0.036182267966001276,0.0053305953906320385,0.006945748016646825,-0.010979438433107043
MIA,-0.03510111034434377,0.06867752293734407,-0.038210237824267176,0.03418007103049807,-0.047484687859728536
COL4A4,-0.025564260158177157,,,-0.04704377259382694,-0.031107374528788256
TAC1,0.03182981976626099,,,-0.021059054436374108,-0.07987415774958663
RARRES2,0.010784921494818345,0.0391709982223556,0.003492835698504013,0.012678936777195842,-0.07803358329995605
FGF7,0.10130428965330764,0.1016467215733182,-0.018231270891028238,0.056575633579033724,-0.006266996171350939
HBEGF,0.017676852775704865,0.04699406207395734,-0.0786518770227841,-0.01685468364934563,-0.014081500332536943
CSF3,0.02280973599784233,,,-0.016865896220918882,0.02604205950564382
PI3,0.03433894741979813,,-0.07357727101928432,-0.03664398934333692,-0.04903092933901245
PCSK1N,-0.0032529813265492077,0.010558005094881142,-0.010545692685360465,0.05809872316806688,-0.05067921871906529
NTS,0.0013140549233741075,,,0.008368318159542728,
SFRP1,0.04158888048802746,-0.024346536285184406,0.06313269319010963,-0.024395711336001095,0.01983058756551437
CXCL13,0.04154773917257329,,,,-0.009099038325173637
MICA,-0.01573434124563227,0.04430006458935933,-0.061519020998803846,0.05195465378184167,0.05586302407057087
TG,0.04501727396114522,0.036850832381912633,-0.03940740307831642,-0.005835949820106111,-0.04022131253592855
ADA,0.07670586643581327,0.13173424537496417,0.07805834159448159,-0.029113454804647335,0.09429244130428026
LAMC3,0.08334982358008058,0.008911038068913498,0.10386460415809415,0.01767117301204242,0.06418339403167955
CCL7,0.01832456400112207,,,-0.017673824349096687,0.01204327984392655
NGF,-0.00800477522812102,,,-0.02764905677152182,-0.027950128860895377
TNFSF15,-0.005337881578974573,0.03054999180465432,,-0.0013629134834525828,0.010639871463719662
HMGB1,0.041920384342605616,0.0028401203568188555,0.07701090918989663,-0.0014251695436151189,-0.0070244726411278005
