,MGH258,UKF248,UKF255,UKF259,UKF266,UKF275,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,,,,-0.03586901758671301,,,-0.02112308481362664,,
BMP1,-0.024046019267036034,-0.00878175473649141,0.09034871714669347,0.014059184835839605,0.08522427136117838,-0.05693855878882979,-0.02606588292842215,-0.03310263029807428,-0.02061166222709269,-0.08338998235450992,-0.02231192162071902,0.014172805792877028,0.02346836918251795,0.11069119763879706,-0.021585241331637642,0.08038403445628578,0.19054278112761025
NDP,0.07144338958711122,-0.011104610470842874,0.02330822183344928,-0.006864604590922526,-0.026380054138077404,0.023411083261075265,0.06769616049756597,-0.034075610404983296,0.05073916667440559,-0.05624294913451442,0.0003588677329366118,0.08865251127265665,-0.0018264056796572581,0.05090920716052178,0.07126770968715043,-0.00505859286975455,0.015368639985136701
TNFSF18,0.038254346584258594,-0.027882243940593115,,,0.0817612093938541,-0.013749101485079001,-0.016095985732616974,,,,,-0.0369910847118364,,0.044178264795223174,-0.01086793943652612,0.005590235953139079,
RTN4,0.05744770888952002,-0.028765630546236008,0.011203936864677836,-0.01034588704461813,-0.1711682534765124,-0.0268240129842955,0.016215802092049862,0.00808982302178675,-0.030706893941781027,0.11601895515696675,0.03186167839549835,-0.016667609340823196,-0.04323873745782438,-0.04138101289662113,0.04116006194381656,0.07376523171878359,-0.07127288411790214
HEBP1,-0.03141005877592082,-0.01940764478078665,-0.008193824258597418,-0.025452005139722483,0.07063187016139084,0.006019935873874452,0.02428809961197066,-0.06213326965525438,0.001693894417135593,0.05264644132588111,0.02456193454638245,-0.0059245398425649696,4.6943329239653174e-05,-0.06587200712435201,0.030784110872377785,0.04735673256932412,-0.010608422361403264
WNT7B,0.06663875014745953,-0.016450888729805047,0.009499918382888472,0.056967970058415626,-0.02866397730434631,-0.0394105195352412,-0.03950451588433574,-0.032025318912688255,-0.037720568761903626,0.008816111310575483,0.017608090656929337,0.009402640997645085,-0.031750116850410084,-0.010932279968877445,-0.045085443981658334,0.013789570094369367,-0.0419261853381047
PTMA,0.02565416019339048,0.03859260501855204,0.13119891991412222,0.07232860640687107,0.18669169068802607,0.0004858177418731195,0.029881078858268583,0.0066753778406501135,-0.05854492763954086,0.21850140429874762,0.04963159206520657,-0.043597461458145324,0.07695363016329092,-0.01743360352446851,-0.025876497354106933,0.022283018325120082,0.05420730611751023
FASLG,-0.033110350238653836,,,,,,,,,,,,,,-0.01832004425261387,,
CEACAM1,-0.06092611396769705,0.021338735238511708,,-0.038149842350134536,,0.018216154333793443,,-0.05851258823742938,0.0494192896823038,-0.02139639514071918,0.00920260678686675,0.07454206810702524,0.012943699985250984,,0.04265246834524968,,
PDAP1,-0.03190005062503441,0.04134260751621239,-0.02578763822668191,-0.03871878007982894,0.06446355583542127,0.0028768543662435996,-0.0375701561051804,0.052441488219425104,0.038342392188107435,0.14167060509362622,0.020475992961972524,0.03630959028720265,0.04126905403128446,0.06506603060562574,-0.009309068776913405,0.019296217513215502,-0.04448086695807819
QDPR,0.09226292019002837,0.014904781236343714,0.0634010703492124,0.005334504478719529,-0.015239496468083777,0.05334824446599442,0.03566906935482451,0.01931134785510991,-0.020221391814089672,0.084711782395991,0.05948879048026124,-0.037544591370029065,-0.06710275850165051,0.01707044228909207,0.06992180403781828,-0.041277965484278735,0.038376736810255815
POMC,-0.021721667517930282,0.0521848415447478,,-0.0020398591561123325,-0.011514564936224752,0.05352206581697311,-0.06611159508223978,0.018126879163835055,-0.005765149564884262,0.008992070426585185,-0.028541817944777385,0.00639544190187967,0.052583421904428156,,0.043050825579618285,0.01898717444531044,0.05356784409117279
CCL18,,0.039207631239262235,,,,,,-0.0007167355054716211,-0.023984899059072685,-0.04698360704030568,-0.03756336368868703,,-0.024356109336435224,,,,
CCL17,,,,-0.022112120479465883,,-0.017147806419729888,,,,-0.026814394494398666,-0.011671997980357292,0.028301419683567402,,,-0.01660506241460539,,
