,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,0.008063780085393565,,,,,,,-0.019296717982957217,,-0.029827638036769726,,
BMP1,0.04347503835622939,0.03363088748004647,0.04365573879521972,0.09536972206293762,-0.013273582527582612,-0.037510282486246514,0.005283765856885211,0.11521520958409523,0.017615362883793038,0.005782305607451943,0.06653101469084581,-0.004452694364472877,0.15463568459787091,0.01725207207617476,0.14956497616827052,0.013581206171235975,-0.020153178848876702,0.0635052469453214,0.07848832223343093
NDP,0.07280744678791987,0.05402045676410898,0.04237555253897588,0.08685468188711945,0.05837429826899445,-0.04964795300131186,0.015719784357011914,0.01938380890515492,0.05733208786130728,-0.024715594504818268,-0.024907965524109645,0.0672784757407692,0.015379754188028394,0.01872539872547654,0.0747638469443666,-0.02572093059630611,-0.0041838560389149265,-0.04037120170738985,0.024360999831986432
TNFSF18,0.019581897332917115,0.01376673821318556,-0.03878265496703436,-0.038753776872876976,,,,-0.03532888350573068,-0.025264585456639524,,,,,,-0.019900364648749218,,0.01705173295799342,-0.03441680127331751,
IL36G,,,,,,,,,,,,,-0.004141519357461066,,,,,,
RTN4,-0.046231626324371285,-0.06452082975700293,0.006650663217865315,0.036996462366801944,-0.05940167904165602,0.03294312799644006,-0.007646448947317792,-0.10116617362857716,0.04637398006597669,0.04613365172396806,0.0008187918174799563,-0.002104312306634864,-0.12169950824756305,-0.0057577666427657765,-0.04628517701668139,-0.046889475287883814,0.0188001261945714,-0.03341877550534945,-0.08310737688886993
HEBP1,0.015407828232940736,0.029896389632673454,0.10737549254430664,-0.07945360038155491,-0.058895087033484374,-0.012112032090424876,0.057669792692804506,0.08254634091530877,0.02518874597735907,-0.02842982995051029,0.0302433962574682,-0.0030821269785885146,0.022930004964030866,0.03748969685452928,-0.004675717910258671,0.04484981588887081,0.0075001610767011445,-0.04511407864252812,0.04336024486701009
WNT7B,-0.019736369682764234,-0.06624379872492671,0.11118147772928431,0.07042141546146627,0.03254597057377596,-0.008651715408795654,0.10627498285598726,-0.04585182974682707,-0.005650614214577035,0.008491499108751636,,-0.03709242017520485,-0.036465928478995074,0.03170588710013798,-0.02928859408104115,-0.028773490425078495,-0.005731177755712414,0.08186713913168371,-0.043191280792770896
PTMA,0.011268923763819992,-0.1390592581060446,-0.025376619436445442,-0.053870658950796214,-0.04950255267377671,0.014358259183288216,0.028533511104467297,-0.037811716174509846,-0.050490828808768325,-0.06060900226396771,0.006519648626076052,0.005352036232842537,0.06646316053876526,-0.04126993812233031,-0.02024385420744156,0.013501113783937728,-0.061290463847419686,0.0002449913011885487,-0.07638865921625473
FASLG,0.07778378646112956,,,,,,,,,,,,,,,,-0.009777215113046253,,
CEACAM1,-0.027404129778127315,,0.003683376148003153,-0.018474307069114182,,0.03920613550393004,0.017036379858637377,0.0067769435471843565,0.010162703222141922,,,,,0.08516132671756106,0.007758812134639726,-0.019097384068150158,-0.03599361012033494,,
PDAP1,0.02579422620282805,0.01754393262382988,0.03992666639957432,0.07780573877644725,-0.021159134448864015,0.049810474843100624,-0.0306737266787937,0.08916572234744395,0.007328523714890997,0.04767010440159694,0.041974605048939,0.0497616685087724,0.017311879462678086,-0.020715275023375803,-0.04469976685969171,-0.012697580841141403,-0.0508213855309863,-0.05002745442607379,0.017008838881809492
QDPR,-0.02572407017990679,0.017610332505674762,-0.06719302462340762,0.03571033886303655,0.0056723003872258355,-0.03525519702753554,-0.030990046067066054,-0.0999612177393342,-0.02805519288859089,-0.0012377190938230858,-0.011070649095352667,0.07174909665038486,-0.010699673271993726,-0.01851155856945538,-0.004866353645164442,0.009687400472006532,0.01761100413912872,-0.012182126377052195,0.01174615924615236
POMC,-0.06398389465722223,0.055330871902828656,-0.000899295093184518,-0.0328258962228777,,0.020185642344811364,-0.0006827117803896689,-0.020676938277059385,0.01090557139268843,0.005248370684628926,0.06281688453297644,0.02064402484137744,0.003596795359359715,-0.02448119144057028,0.004059803648990617,0.050442018864997475,0.0183354268062443,0.020272568327537675,0.18829950335426596
CCL18,,-0.02232097002995494,-0.019554201558177435,,,,,,,,-0.04462366872385907,0.04305244870434254,,-0.01704454679199843,,0.03861350419158613,,,
CCL17,,,,,,-0.031934047994568164,,,-0.013736309105472546,-0.01633147370386374,,,0.02298827584276033,-0.022865914564147185,-0.025441607985246247,,0.1594140897495268,,
VEGFD,,0.013226718459539334,-0.030803430610624304,0.02406840328596476,,-0.0014755380352627445,0.020791921788648714,0.04205331091699995,-0.0001162269687225459,-0.0119793334652453,0.06737426650402872,-0.006418217627285804,-0.011312195821122445,-0.015839916967874634,0.10274694344232882,,,,
TNFSF13,,,0.07976327831981671,,,0.030830342894664135,,,,,,,,0.0754124697442159,0.11823610230220757,0.012560395704971142,0.0081192264487724,-0.009320105529226675,
