,UKF255,UKF259,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916bulk
BMP1,-0.0456985950612659,-0.02214008192975078,-0.0366204396079683,-0.052970076624575514,-0.06438618818835429,-0.02081940363331393,0.10426299152504807
NDP,-0.04785627746175725,-0.031480512797909435,-0.055318188028818896,0.024873345277642796,-0.028158889812761694,-0.0664102317844704,-0.0013523195470206504
TNFSF18,,,,,,,0.04078058992033886
RTN4,-0.04791495265012555,-0.028914672699294944,-0.14519209739031483,-0.018347938955173705,0.03705200545698285,0.004030522911383947,-0.06620902213381898
HEBP1,-0.03306119047481195,0.04095069490785671,-0.03683994392671909,-0.030664397744989542,-0.003560044391780509,-0.029897860034863208,-0.03671113025968362
WNT7B,-0.03159403073912365,0.03924276552339874,0.02392932400771648,-0.044450591734519165,0.11052481337172569,-0.02233890914483412,0.058996278906172275
PTMA,-0.01964777908202327,0.08378109513269404,0.0731592949339,-0.00658078264518218,0.07017465766656952,-0.006324548528828483,0.08816885877137712
CEACAM1,,0.026950117292682537,0.06965819205989951,-0.02490785893501875,0.06722707488662968,-0.014826658889829324,
PDAP1,0.012642472633867656,-0.0714591854994261,0.013647345090580191,0.017721702164719792,0.05355025194016969,0.0473991234693899,-0.04444644166267655
QDPR,0.09108220261259278,-0.018719078516728452,-0.0419169509329444,-0.045925433414191086,0.004345967766430268,-0.019234853501988117,-0.05731996757942939
POMC,,0.004800076526987564,-0.05881250804244669,-0.02738683621931268,-0.03501628927137575,-0.02425446623035225,0.08007434986127752
CCL18,,,-0.035828079540417834,-0.045581076316487563,-0.02520469051973117,-0.04385425895031255,
CCL17,,-0.019494977147433496,,-0.01767092034013551,-0.021577428819759107,,
VEGFD,,0.04382466051858065,0.07032730155322427,,-0.014947343563555237,,
TNFSF13,,-0.013447198925827505,,-0.033907841919764266,-0.0052518855149505115,0.00558081277303146,0.04550714041976898
WNT5A,-0.03917934138702841,-0.03004015566371293,-0.047705397391008326,-0.019831950934610973,-0.04837671455345822,0.027272345121998384,0.05885727295916352
CXCL8,0.03168493295154786,0.14580948080515876,0.07684350912611963,0.04628788908269677,0.012738633140470757,-0.0736009645136036,0.0332297748645656
GRN,-0.06390631416914459,-0.010504600586202176,-0.046812968119385685,-0.005000951693191463,-0.042803753666447265,0.015906211247865704,-0.008508105437359543
MIA,-0.029870917327454175,0.10926801014165059,0.06796849447600253,-0.03884540236654176,-0.015369005109692427,0.04489682096889018,0.04286087783223936
COL4A4,0.038832809583291425,-0.04090164476685886,,-0.046691569593110285,-0.023933034195638896,0.020041040032897344,0.018804031445240395
TAC1,-0.030858913958748985,-0.055857614514129524,,,,-0.025580210440493703,-0.13090219115087334
RARRES2,0.020446582614100407,-0.050314027675599574,0.01846026939896659,0.07211926851235344,0.0632073640139835,-0.00019121559705508157,-0.03151641851331022
FGF7,-0.0076397378492795275,-0.018172959073961055,-0.08219556550380369,-0.06269454039931553,-0.011792224265725643,-0.014533931747152349,-0.009608908341948563
EFNA2,,,,,-0.014206449734932352,,
HBEGF,0.03111258689447517,0.006134753476196683,-0.06946032886022896,0.040911434895051536,-0.06797866652610975,0.04593324651786366,0.14644732589797982
CSF3,-0.022425999819847654,0.29552847287074163,,0.06099340526723722,-0.04121226069824317,-0.021256040820394246,0.053679536132358985
PI3,0.03488215820673528,0.12359239984130588,0.04120654732628307,0.060202453958920536,0.0245090277283748,-0.033617588846863264,-0.04634480696083528
PCSK1N,-0.04970438638942007,-0.07119462383769977,0.028523627489403066,-0.05252395140422394,-0.04880572013590389,0.028620421263648048,-0.10956570227585892
NTS,,,,0.0015295349171593445,-0.01730786313747293,0.029553477973978653,
SFRP1,,0.01695281954976132,0.057770762600789914,-0.07957280507180597,-0.06713372242263446,-0.00261703162631106,0.008861756497835743
CXCL13,-0.016283929376126903,,,-0.03969251013024952,-0.036500419202413766,0.010743870400417108,0.03595484792675829
MICA,-0.015650130803890983,0.06809536865731135,-0.009009092731242205,0.046328242764505305,0.018193577573165604,-0.025703821211830687,0.023837302913136925
TG,,-0.018356615665518036,0.024506367623775,-0.004238617405390625,-0.02131652548753932,-0.01749404822785362,-0.011649739441035858
ADA,0.0021545164277891908,-0.045464085528676174,-0.014922436044220508,-0.06389575021083133,0.0060944598072603376,-0.029473721348696455,0.14603219890931848
LAMC3,-0.013957861794266417,-0.03378525693063004,-0.023064545310250345,-0.07337834856887837,-0.060978874424274375,0.0010742519050753626,0.07500561402804319
CCL7,,-0.013271803797266734,,0.025558102347893387,,,-0.014415684094951009
NGF,,0.04631614079476262,,-0.030587634823197325,-0.014015491149770075,-0.036491977030092757,0.002252296302148049
TNFSF15,,0.02379505928996883,,-0.02581954655276757,,-0.013199636428269932,0.09279657597390566
HMGB1,-0.02777856986883499,-0.093048124911189,0.0890049830378828,0.033637206309278765,0.07377382529522983,0.023862640913455798,-0.019281724818525553
ITGB3BP,0.03792736026736079,0.005030256997840975,-0.07507635537056169,0.043254470002958435,0.07085436529607377,0.07893158168180771,0.027065315964082744
AANAT,,0.0725349177862064,0.0424287218524941,0.014121867643209055,0.02452569566254025,,-0.007804934269106981
RELN,-0.025255102323478603,0.027850702707044192,,,,-0.015943730330022058,-0.010686516335963537
IL15,,-0.03446773711689538,-0.03471148979641528,0.03214141467397897,-0.034660817076940256,-0.009277483081674831,0.026062434553606153
UTS2,,,-0.024322966229486372,-0.01978587653396235,,,
BSG,-0.06977071863235036,0.017386188791264492,-0.05916670595340631,-0.008729135469392302,-0.010130634850372258,-0.016129213761710337,0.03419995687259301
ADAMTS3,,0.032964541652170165,-0.0688798646761022,-0.040002162952423384,0.016877859526274866,0.02420818453446125,0.10470468048346925
CD34,-0.021272249098715945,0.06425502017437261,-0.04477495446484896,-0.03271413651769236,-0.024695600667311433,-0.00971237991274683,0.039775655672855265
