,UKF248,UKF251,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916bulk
IGFL3,,,,,-0.01951542126318562,,,,,,,,,,
BMP1,0.011603962252334555,0.030752073535821683,0.0025911243228813564,0.009042022681160843,-0.02754646937032499,-0.024385107977936245,0.053123858761040976,-0.059806377002448154,-0.13067832809975924,-0.0011250648401681985,0.03599158196880857,0.013514928837395477,-0.07937952293565399,-0.006233205776395315,0.05493912932495374
NDP,0.04502005082031092,0.06446587733780455,0.0636433632700411,0.037238295132703846,-0.017168042861352,0.04270471798951366,0.047512444040476,-0.04521742188399852,0.0038583707228206825,0.06205339195758595,0.026778629340348862,0.0907099022157999,0.08188849778937389,0.04631833547055234,-0.007156578290088901
TNFSF18,0.011670385717796574,0.06443021191507599,,0.03718686822755585,0.02464900563390964,-0.033924094312492915,,,,-0.03434489458790387,,,,,-0.01912017509791289
IL36G,,,,,,,,,0.0037665107639661723,,,,,,
RTN4,0.018561895826407816,0.0010958873360751777,0.04504633805665931,0.12625093159603393,0.0036358417324648252,0.021792877344077862,-0.11394569183657008,0.1757786960433469,0.1548362006129408,-0.042082424631813546,-0.002333811380930684,0.0097769052735882,-0.036590727155906964,0.14165585528216132,0.034961627711075347
HEBP1,0.05632912429326355,0.032574049296046764,-0.007688362270256749,-0.023472346048755074,-0.032067786269301644,0.06615250905434801,0.06435525092738655,-0.07638372908094289,0.033257651204666595,-0.06114049757198958,-0.0482223674851915,-0.044682565704218,0.024716179377968366,0.014824969848969945,0.01608853008953933
WNT7B,-0.014282459972349252,-0.015709239525174813,0.01595020363253669,0.022361391379505224,0.06666593262925295,-0.017002848828237254,-0.0946503580790578,,0.07674568782070786,,-0.03139835290445194,0.019343679468160867,0.11783350958529709,-0.003314189135670739,0.022909335345904266
PTMA,0.051529898615332394,0.03677714794293503,-0.03773902091174139,-0.07113680214635194,-0.08340042465312987,0.03498407236098031,0.11607730717748471,-0.19698285685424666,-0.17295000613258446,-0.06529085027523855,-0.10454774075524685,-0.013496516026427935,-0.003332247822798922,0.008366387264542573,-0.07931028584086329
CEACAM1,-0.022364741636655746,-0.012055896488437145,-0.016010996397610618,,0.0046948727517747415,-0.00690534498757498,,,,-0.057002301004864676,0.07206533606741822,-0.04106174507500735,0.08631836682056561,-0.029861722734209818,
PDAP1,0.06852437571928868,0.03870967349341646,-0.0675733957641921,-0.012484485047080577,-0.022082860595598483,0.0017452108475250604,-0.022785178597220263,0.03978878546789447,-0.06012068252408773,0.07678389944255994,0.00984776721486461,0.005875971599882117,-0.06082534811351987,0.02120276796747385,-0.003959128597445898
QDPR,0.009344636783995967,0.025553028451252804,0.05608549958661121,0.041496015066095335,-0.0789912157279423,0.0012261611963407181,0.014911936174460814,-0.18437319392138987,0.03321019284356175,-0.034632426859137824,-0.15140230244467545,0.04028369987844015,0.04198889301951893,0.013549725627120928,0.03237101424083505
POMC,0.005656258944896576,0.03960320636042154,-0.021105574996392814,0.041074196448991886,0.03414701135336728,-0.03169322146482677,0.0019859148519324487,-0.0004104535952683638,0.00568412504341374,0.119975089267989,-0.05598846768589465,0.059055882920248166,0.012539848921578488,-0.007028987754660249,0.0293877822381692
CCL18,-0.021789990971304067,,,,,,,0.03568745372538016,,,-0.019964871945277,0.03646480086981196,-0.03118919157037924,-0.02909153474108212,
CCL17,,,,,,0.04027074509523189,0.007540300224251315,,-0.015053563499132512,,,-0.029131320686390433,-0.032625168591190794,,
VEGFD,-0.02324557456500731,0.021033290683403993,-0.015318414840101414,,-0.03269356550590442,0.03586467432486315,-0.058079581143618046,-0.027377738869409373,0.1270963412562832,0.056014211478133916,,,0.025565941398458,,
TNFSF13,0.01439960565972039,,,-0.019863081882316204,,,,,,,,0.005746260781273026,0.06760791386550107,-0.033532713222153,0.02512762607325977
WNT5A,-0.014111022471796174,0.08209793706620097,0.016268450547339722,-0.015113291182676517,-0.008334278099054553,0.08323074353882474,0.07175851512128055,0.12067611347066887,-0.01251434913218948,0.030105260787097424,0.07958238696930568,0.02614194183310223,0.04894816587378965,-0.04656328539575716,-0.011421700979843297
CXCL8,0.0012093535775011316,-0.016168406738585335,-0.05376925386011397,-0.013063830585340068,0.050633249023027446,-0.03790909436885439,0.0246414235917894,-0.06238471258146724,-0.04850687116632136,-0.11996533736477155,-0.015280377992091304,-0.05451645792360115,-0.13202120365795272,-0.04504226320682427,-0.09377179683938465
GRN,-0.010976076007656401,0.06161343247557248,-0.013631527320865656,-0.0386224446572697,-0.006405450731344477,0.0718784425318546,-0.0011664361412965563,-0.1039290514333204,0.06436682578138679,-0.04978634366640127,0.0387024970982352,0.02260341067389922,-0.048355732572283115,-0.11396596987504362,-0.049349421793022756
MIA,-0.02160273367725967,0.005485422634694516,-0.03860783968514857,0.040932365629986055,0.036864404408649604,0.021194990489974374,0.007145584353676398,,-0.022095389925590608,-0.04726531559241303,0.05373950216975249,0.123389384102043,0.10731114214003473,-0.07317380089859042,-0.04254946358473869
