,UKF334,ZH1019T1,ZH8811Abulk,ZH916T1
IGFL3,,,,0.02367664399470164
BMP1,0.023415813924866306,-0.12278540475126952,-0.021985570243715235,-0.005129477741229775
NDP,0.02476496320803559,-0.054315979941351185,0.009751238521735584,0.013549545944062769
TNFSF18,,0.04367177271459891,,-0.03307371799036471
IL36G,-0.01614024142322967,,,
RTN4,0.011682785250458102,-0.04553763981803096,0.0527103892616891,-0.008184753697416605
HEBP1,-0.028701041475844437,-0.05721739114407545,-0.0022797554447075864,0.017762190054179925
WNT7B,-0.01773998534813905,,-0.029906518855699147,0.0026035135467483784
PTMA,0.016771521716407257,0.037292869837953636,0.00449911384915043,-0.009545704523120011
FASLG,,,,-0.01700525462788175
CEACAM1,,-0.030603842339149787,-0.01675809756018967,0.012297951489407554
PDAP1,0.10080254675422183,0.06281416664865937,-0.017775238874719306,0.06233125885090386
QDPR,-0.005157516215145849,0.059011772449292496,0.023600835642563628,0.033514413998724985
POMC,-0.004255425910861316,0.039543955636972106,-0.01902928265218388,0.015370775708129968
CCL18,,,-0.03066711297036557,
CCL17,0.00807652768726311,,-0.011889059104232798,-0.01541335329645533
VEGFD,0.047812124720026127,0.07353434275591599,,
TNFSF13,,,0.09287548060614799,-0.008793166805690514
WNT5A,0.011412882285533783,-0.03633897157152943,-0.05659131447354485,0.015269925775037845
CXCL8,-0.030779233385255303,-0.06465801816414946,-0.04417689442525456,-0.006209496741128412
GRN,0.0057075985846856215,-0.054314078537363523,0.039226470701192256,-0.037562377906883056
MIA,-0.021641852182508692,0.044432329374343625,0.02821683924367478,0.07931895565064595
COL4A4,0.043245836114123734,-0.032577732492458815,-0.017712260043762584,-0.027037218301148313
TAC1,-0.037204697478119976,,,-0.020262420203921327
RARRES2,0.005070769343536416,0.024819404110161043,-0.03321745914067989,-0.016123393997594996
FGF7,-0.0005388871447964905,-0.022180641256900783,-0.03771687029343733,0.023384214640878958
HBEGF,0.011752388358167864,0.014869717761149289,-0.032464744037854244,-0.005663359712372018
CSF3,,,-0.04303871486951734,0.034499189411641554
PI3,,,-0.028342699485812615,-0.02351628674139183
PCSK1N,-0.04162834348778169,0.018426972241551338,0.012990999319773563,0.010077819524688211
NTS,,,-0.02773593728473329,0.04533655057349712
SFRP1,-0.00594164517500599,0.062440688288911986,0.050849481186596095,0.01243495319284183
CXCL13,,,-0.026705264346762188,
MICA,0.02452656922324593,-0.00015883376544590096,-0.03862405059935501,0.04807084760112149
TG,-0.022148422781634692,0.010520608069796286,-0.015797587114393656,-0.031647467645070454
ADA,0.0569375963479656,0.08914700718106144,0.0052881687926539574,0.04164114979361689
LAMC3,0.0023226092250173123,0.01804300897547172,-0.0469050922444164,0.024024919287576666
CCL7,,,-0.017818959161728095,-0.017005248581016184
NGF,,-0.005577725119503565,-0.020579471316257068,-0.013177454410818574
TNFSF15,,-0.02713748744759179,-0.017371484286142724,0.0028969766269474934
HMGB1,-0.011703015138502944,0.035227802841443716,0.029280203005225176,-0.034126927643094294
ITGB3BP,0.017006458949286544,-0.023038514007998844,0.031524858297747815,-0.01630494857581299
AANAT,0.01526518699287048,,-0.015632255070150782,-0.017992262154621717
RELN,-0.006294567192171377,0.004709420782758871,,
IL15,-0.018343578438240856,0.030682820879442935,-0.013713960786938532,0.0025291661542722155
UTS2,,,-0.013312009279281674,
BSG,-0.04106265434048045,-0.025988918221160926,0.046386126300136214,0.0622978297063166
ADAMTS3,-0.030481107114878513,,-0.03739298092890616,0.03419620930833894
CD34,-0.04248078865839776,-0.07296362386066323,0.030863080361872304,0.0237785379216848
PLAT,0.0872223845362863,-0.05535059248262669,0.07722225397072471,0.015639694019618528
NTF3,,,0.029700949889501414,
LTA,-0.01834358070258074,,,-0.024214873361137933
CKLF,-0.03869219645927523,0.11727973680764886,0.08778742271858483,0.052369888130589
CD24,-0.02529050469985654,-0.08027909390299992,0.0746408787016203,0.005489365137892751
HSP90AA1,-0.02681972447798211,-0.07759100402244831,-0.07155655583546473,-0.061692430698076096
BMP4,0.005517050845014929,0.008691730717089485,-0.05326954229325914,0.05444125654541579
SCGB3A1,-0.01279990803055155,-0.04464149748880065,-0.027121209138593946,-0.012218551108176656
IGFBP4,0.0439996320594569,-0.09618919599735508,0.0698462310421668,0.0011079262334336957
RSPO4,0.015642363388051035,0.07498580615593027,,0.02319023662057291
LEFTY2,0.039659722643962704,,-0.015126278490530385,0.023125572984366016
PF4,,,,0.04322273004611681
ANGPTL2,0.0002586476159489019,0.07071697556200544,0.04646063841792195,0.05405545468271292
LRIG2,0.03300148707810238,-0.02846027781121378,0.026078578993962254,0.04764117579895371
ICOSLG,0.01848222129758629,0.05934916115239789,0.016061814196424384,0.02344489749527646
WIF1,-0.061257705515165774,,,
NPPC,0.002539580868739617,-0.04327613085685046,-0.026600492670605144,
LYZ,-0.01578454326164936,-0.08573696394814462,0.008707986347822457,-0.046893215819991035
EREG,,,-0.012747960523760012,-0.01344797693898968
SPTAN1,-0.06163503820261895,-0.08003424743452936,0.012672659041594887,0.020141606321962015
LIPC,-0.02881604989061911,-0.0499786407937189,,-0.03061675811796484
COL8A1,0.06244836963625983,-0.010606198857082316,0.030208359643072485,-0.04176047782668721
GSTM2,-0.02869174471703565,-0.09109430337320225,0.089484378318705,0.0011959601790821638
SPX,-0.012287234883690256,,0.082021951146473,0.08661137082862433
MFGE8,0.04845578943329347,-0.007822150975801134,-0.004632342196678319,0.03329236231868003
