,UKF243,UKF248,UKF260,UKF266,UKF269,UKF296,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,0.024845348067693056,,,,,,,,,0.08490126285148082,,-0.017568115829734766,,
BMP1,0.1282493320357355,-0.0147018741799117,0.010603816184853098,0.08706099389437785,0.14316216910125834,0.02783933466828822,0.15927270867735405,-0.012254225688715061,0.05153711949815074,-0.21891390989444334,0.06862331541155002,0.07970152129929449,0.10457211655383218,0.05248706241830288,0.0423442301723597,0.07982132965876532,0.07042675644854145,-0.005605357467345127
NDP,0.10217885097421851,-0.08658913280439479,0.04511015096557533,0.0061403207404523005,-0.027894767856761604,0.0046126709674892165,-0.03039468811789213,0.07075193687750186,0.051468295989102374,-0.027803910739664935,0.044960480474604436,-0.010866361431729688,0.043475284839581414,0.015078151454327286,-0.06243693626210918,0.1085682535083908,-0.0766507969586864,-0.017182878416209364
TNFSF18,0.06969178028768176,-0.013699736020135075,,-0.017509961279191185,-0.026928021569184012,,,,0.045160419090051945,,-0.0010164459927008852,,,-0.03615994984771882,,0.034961608176966606,0.016783495497165575,
IL36G,,,,,,,,-0.01614024145987865,,,,,,,,,,
RTN4,-0.11298932603650169,0.0014506828544684708,0.0026118169296976334,-0.05020618925299913,-0.062335610500638516,-0.1021448405611877,0.07226117181893142,-0.0009768874071968252,-0.1405608323188624,0.09882196916461826,0.011986805840639386,0.005654904037746566,-0.06601768079036312,-0.03236636050807066,0.007546733688824946,0.03534471911392244,-0.07295881654425147,0.035450917417477336
HEBP1,-0.006253298114094146,0.049468388299129716,0.006788466953506717,0.07677401955750376,-0.008179058105203953,0.06284738709015976,0.14545336082796037,0.02673718818475949,0.08982487933688055,-0.0014190290811802923,-0.022927956105879766,0.031232990805090188,-0.015758942231244234,0.016091028956879864,0.005213820828015279,0.08429092328590446,0.04975933177181196,0.028894810992595287
WNT7B,-0.044997048954474275,-0.009329593916021693,-0.035699645217650004,0.03155379059024523,-0.025333647625443476,-0.02595974340445226,0.12033686836446825,0.021504858458175975,0.0008644804860504104,0.03469047927388724,,0.030814497367742028,0.020950077582922125,0.06150561462034067,0.01424435405939961,0.19487526020627485,0.1403950454063032,0.08572825247569975
PTMA,-0.18710180426403966,-0.08432641232162566,0.026512700022236727,0.1016420128365919,-0.07932879427738687,0.0618520987568688,0.00418797327800681,0.02878941360850753,-0.07313694656417356,0.030195405652794806,-0.07525675130619436,-0.027520949969650144,0.025630228842680246,-0.051589481661290654,-0.032080244137914674,-0.0571368419500819,0.10538158958061095,-0.008308770753625756
FASLG,,,,,,,,,,,,,,,,0.03635517124935199,,
CEACAM1,,-0.0019230713552061678,0.034979109345820665,,0.009944040373005619,,,,,0.003041814190369199,0.04832836827717446,-0.010451976197442111,0.04661966465723567,0.04523986726136161,-0.028477120769800048,0.03610656899485501,,
PDAP1,0.13445667291629793,-0.011586092418016468,0.04357186199869947,0.01394214832233373,0.07005881918961968,0.02741693404194136,-0.06843684365661407,0.001408792296423579,0.07973216834756107,-0.04220491282066642,0.030300910516528272,0.03200268822271622,-0.04968166466547531,0.06477950781725966,0.027208697172250863,0.023673004606404188,0.08659313781352124,0.02761925812549101
