,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,0.10499627774083609,,-0.01941002264072895,
BMP1,0.05881966957170134,-0.0038247427417891235,-0.026179684019001424,0.05967939027382236,-0.10334998039166281,0.03225182122230044
NDP,-0.02361111604325835,0.04915866913883128,-0.0261749968039019,-0.017622683156143057,0.015575957164118328,-0.06491892071942984
TNFSF18,,,-0.017122443218036635,,-0.03274123803906507,0.1467273559075045
RTN4,0.019170373325620715,-0.028511412887590126,-0.02879147611018585,0.01276408886769307,0.025250096211538606,0.02038810057161113
HEBP1,-0.010882657774091085,-0.03890380130167978,-0.053672024980984424,0.0493473579000084,-0.047180126920702344,-0.004848283615445541
WNT7B,-0.007811295626792659,-0.035705153716424846,-0.020161383955416924,0.056067337643955585,0.0052127245598333465,0.0007341908633889763
PTMA,-0.02277692929242789,-0.00872458086045911,-0.03909235210492602,-0.06621847840700663,0.02229892881067295,0.04717953405578806
FASLG,,,,,-0.016834306014479314,
CEACAM1,0.0041135383671460374,-0.017297484677651236,-0.024603163297051506,-0.015355405200706513,-0.02342246430964579,
PDAP1,-0.008505004510077668,-0.036481364113355494,0.067436719966848,-0.02993410197177256,-0.0005231359193015021,-0.001669468304852029
QDPR,-0.06298916742434589,0.0023856900050778186,-0.05331235429811657,-0.04623957558960203,0.017519119425095583,-0.005728897504033993
POMC,0.0341657914086466,-0.04052183082327979,0.021178689355053123,0.09365981469862893,-0.017386099477798008,0.024916839086383483
CCL18,-0.03531982918636571,-0.032816668234560094,,-0.04572894804042656,,
CCL17,-0.013692829095255488,-0.008956479830414211,0.07076434794842462,,-0.015258407579289137,
VEGFD,,-0.017297484677651236,-0.0011478419270815412,,,
TNFSF13,-0.026274482339311556,0.03211857861973234,-0.023474383041752405,-0.01724309088220705,-0.02486230158291864,0.04113300967239724
WNT5A,0.07683733355027017,-0.04741789534895511,-0.06797991830967974,-0.011988947319286718,-0.05093922421110603,0.06519619777514066
CXCL8,-0.00045298324128710624,0.03812337751723978,0.019226030510144418,-0.018529018763171465,0.06665908273069628,0.09875360930032248
GRN,0.06311592027649596,-0.00023868643971207057,-0.018579438837935672,0.08164258271473335,-0.08490551997263227,-0.027992467170997074
MIA,-0.007776573862511581,-0.03785984549767836,-0.07486174021368382,0.0415906506037664,-0.015701196951421147,0.0043393674492540795
COL4A4,0.05706425782650737,0.030193210316319767,-0.033720046904247264,0.021728928777960343,-0.005684920517085484,0.0821033605689544
TAC1,,,,-0.02649244845732373,-0.020058728303162687,0.05052977063079202
RARRES2,0.006260283537835014,-0.048164158221993734,0.06549736134332507,-0.022826596102332328,0.015143177165602578,0.08236832416360267
FGF7,-0.026637570272314122,0.01909504902220024,0.03903161385587846,-0.012792140147388189,0.027528024113017833,0.04860912210290392
EFNA2,,-0.016440101585205442,,,,
HBEGF,-0.08222929906157697,-0.04004035952126741,-0.005979318156271056,0.026133343074086917,-0.07048358937464484,0.08878192495112443
CSF3,-0.0441871083568677,-0.06400786883801564,,-0.022014070883077358,-0.016064749293795894,0.031067259018513548
PI3,0.020790763883961477,-0.005262958310842679,-0.018599274867527917,-0.048318379960045135,0.08135918721427038,0.10247046033457467
PCSK1N,0.015641160390289666,0.06651247859008663,-0.04651026638341095,-0.03385968774895767,-0.04283629511613298,-0.09961613473205382
NTS,-0.03194394490825311,-0.020029144051607946,,-0.01782251674521067,-0.006021910691793051,
SFRP1,-0.034662307630295534,-0.06966803866752089,0.0002972153948737996,-0.005663007729965461,-0.0232368906652338,0.02313084953657875
CXCL13,-0.030756901571264504,-0.003615268101329647,,-0.03590953064751835,,0.13995804040890095
MICA,0.03662659156093629,-0.006802594797784373,-0.039978062980955395,-0.015533423694175378,-0.1113967924466683,0.012483954590623667
TG,-0.01819434646411924,-0.024668080414000506,,-0.018117918617772042,-0.0313293253514083,-0.03012181321535895
ADA,0.02411284591531241,0.07801047557485233,-0.04067508749814215,0.00951281694745769,-0.03418668440972959,-0.014625056270919631
LAMC3,0.008524717690912788,-0.022365575865515346,0.02845599368066977,0.08152720441359257,-0.07528115166510019,0.013089481811962608
CCL7,0.04319059613619181,,,,-0.016834300028401035,0.05339323215476198
NGF,-0.023701722830522052,-0.01621911896131205,,0.10660549350650572,-0.033017862673665396,0.042186841532596685
TNFSF15,-0.020007030276801542,,,0.013228970347993904,-0.04447913525050264,-0.03729510212021859
HMGB1,0.036401248875467994,0.01871069127095622,0.04505138849144059,-0.023549041743091154,0.02224909823239693,-0.0716374430865141
ITGB3BP,0.0245372370026523,0.011802110279724502,0.03895907989459717,-0.020149247238437477,-0.023887661896303834,0.05783338634063075
AANAT,-0.018003930771343275,0.08677776514563969,-0.027077445645827942,,-0.017811391457027887,-0.020575945959554153
RELN,,,-0.01783486736811923,0.00618835322009439,,-0.012579556605929706
IL15,0.04027950152175631,0.04928625333199889,0.029278299702119672,0.027594454864466232,-0.05894610841749515,-0.03784128016726158
UTS2,-0.01533166471607188,,,,,
BSG,0.014148326696514222,0.018301544859382526,0.02470667568656783,0.06376676563856086,-0.045336690035362136,0.013760184513791246
ADAMTS3,-0.03460505692333337,0.04660687552930105,0.06813333788207056,0.01944902506366046,-0.010643926083120148,-0.03108551564314644
CD34,0.011513560337985672,-0.0314986635589666,-0.04170606746114612,0.06566576913315372,-0.04508172724022755,-0.006209390302359799
PLAT,0.008881146453710333,0.04928651645885966,-0.0006088192989140779,0.0316735040221274,-0.028219936233336722,0.010220350566376468
NTF3,-0.03918671743908293,0.028054233302954583,,0.04027475263073539,,
LTA,,,,,-0.023971448660044952,
CKLF,0.03509591056892456,0.012213860329041076,-0.013675460182162353,0.037282558204200976,-0.034908180994528734,-0.05997672197687668
