,UKF243,UKF248,UKF269,UKF296,UKF304,UKF313,ZH1019T1,ZH8811Abulk,ZH916T1,ZH916bulk
IGFL3,,,-0.012843345047698233,,,,,,-0.016880324146768357,
BMP1,-0.018012828857315862,0.060974579025793556,-0.11563067588133454,0.04899192008700731,-0.011442156147532741,0.37726335888205154,-0.06286857109188945,0.04035542358934865,0.05849832985384757,0.002857957942011203
NDP,-0.10823441300416652,0.04373014330706987,-0.026591308524890243,-0.017801372584794754,-0.031220610563759615,0.09688468217549909,-0.019436593956260063,0.07016562713224919,-0.04870318152652838,0.008663696682930206
TNFSF18,-0.024816097989542946,0.07435624762128824,-0.01907198182804782,,,,-0.013476542247221099,,0.12307465623221296,-0.020148468674886056
RTN4,0.028095059742016426,-0.005303457668907668,0.1290599957391614,0.01982276264609388,0.032510258226994236,-0.12599713119814426,-0.030755932534339128,-0.03302374227128755,-0.028798938693301804,0.06275007295032681
HEBP1,0.02617719282397991,0.03800514362583253,-0.002381351656394827,-0.04374535408359851,-0.015628053225216567,0.0556091626563641,-0.0875233974550043,0.018902136316177206,0.0020750720868786105,0.010968072339006778
WNT7B,0.01440468971423993,0.07423488188898303,0.22148702500550072,-0.015148169021354995,,0.12801797570793647,,-0.03299707118919353,-0.03602962897826346,0.020458865662183526
PTMA,0.047001823185364985,-0.004983181756021549,0.06936304276595046,-0.029088187160318326,-0.04720691004118152,0.2614503154886055,-0.04565456419429243,-0.056827763749279385,0.07079095811689186,0.08333418168216694
FASLG,,,,,,,,,0.04217489167220685,
CEACAM1,,-0.01874306375516329,-0.025097641826848517,,,,-0.03605277890134917,0.005479412156744399,-0.02036982630990301,
PDAP1,-0.029027172635023663,-0.0481429304183747,-0.06361861736328493,-0.022080647016660876,-0.047350222731414524,0.16816951136026603,0.13521857547797064,0.04662757198991883,-0.024039844590962072,0.05322610328208426
QDPR,-0.05411151298602178,-0.045840427026840075,-0.01820985838531614,-0.030747698631345157,-0.014681432351456218,0.1306992347821878,0.0365713262142189,0.013903974979025771,-0.04884042387431716,-0.0042087112640347745
POMC,0.0033273546560903867,0.050952226773129494,0.020473315552946972,-0.025261514946657578,0.024364552119638748,0.1058840725900501,0.126052549862031,0.007619191484147241,0.07971743277694399,0.016767465426952524
CCL18,0.08752151993375473,-0.023389572646298724,,,-0.07961650883780164,0.08245922732995088,,0.06170192632323097,,
CCL17,,,,-0.003295601494299652,,,,-0.013117679510871571,-0.013269786989400166,
VEGFD,0.008850429691366304,0.033749976843379194,-0.021516048102120933,-0.013752755254668654,-0.025978640171616243,0.02779634680060384,-0.00857027085812013,,,
TNFSF13,,0.11675902193498448,,,,,,-0.007750891577258892,-0.021622010315110955,-0.0377201648759122
WNT5A,-0.004657048780619613,0.0148172532221396,-0.045064604553236846,0.027404640868484875,-0.01525533483551258,0.04674622349382569,-0.01412343672446937,0.06169373394087357,0.08135843123153828,0.001441095861800198
CXCL8,0.050919911049782024,-0.03214807118399216,-0.008476458850901073,-0.012807163682826257,-0.009138927315888935,-0.09125972176737711,-0.010884225343083928,0.04788113177441623,-0.014623573782760118,0.016476105436519818
GRN,-0.06226106312159973,0.08027333360418352,-0.11743809151212678,0.006967098694477116,-0.05927235007386714,0.10481148361065738,-0.015075737525502425,0.02079122446958969,0.05434051759724869,0.10346121012909823
MIA,0.02980057735969261,-0.011592143193046515,-0.036688200484052726,-0.015640862798897228,,-0.029544720619391923,-0.07514995103935412,-0.022782289937981978,-0.06641136668471193,-0.020148412479152195
COL4A4,-0.022790290106175358,-0.02809068671340005,-0.012656163245073921,0.16171704344300442,,,0.06013263501430424,-0.007293491369973552,0.17484129268428117,0.011367152378984467
TAC1,-0.022494205090959063,0.009857309419936379,0.14931523437153282,-0.00855066710756742,0.02718812200382125,,,,-0.017444484326300958,-0.0026837686385350486
RARRES2,-0.023506273343412425,-0.002294140024389313,-0.13043587039984914,-0.024142813513747245,0.03583256877446259,-0.24060427156377626,-0.05083974203540968,0.05959391438108871,-0.030576409387356073,-0.07233962586552287
FGF7,0.005897648755966754,,-0.01097679942163018,-0.03353054027960077,-0.030275553294905597,-0.044641423989236206,-0.1215256338195808,-0.008455298823131799,-0.025053809370281555,-0.04749217799115578
HBEGF,0.02975276637857584,0.031708409313107803,-0.06790886024111707,-0.003310929811931836,0.008591963438118052,0.1587010367454504,0.008243674141013652,0.048675156276760015,-0.005361421608395361,-0.04841825088371351
CSF3,-0.021508811012075007,,0.07394013954458503,,,-0.04192836614390525,,0.07310692698913716,-0.013971038593577779,0.004292402343510492
PI3,0.007590769971740513,0.03072874330978443,-0.01507729095712592,,,,,-0.0008394087545176897,-0.03035442544128976,0.02641933849787895
PCSK1N,-0.12092373553351168,0.06298685999366525,0.06240228775942507,-0.038581476167522645,0.052524450566285234,0.08878577969458519,0.06581285601487608,0.025285142132347373,-0.04502831266176156,0.024707192022782227
NTS,,,-0.016457892569755404,0.04063004428583965,-0.023389121197622237,,,0.056236297196859984,-0.020689203049256526,
SFRP1,0.08936632382075563,0.03645251923938214,0.0023767955037852827,0.04194563914765351,-0.0038110207426108283,0.09883006583799926,-0.016300000450840468,-0.007060187401131926,-0.02020843838528523,-0.05532444201703667
CXCL13,,,,,,0.056089872704081695,,0.10930255934502,,-0.035970133489489096
MICA,0.02893975583838224,0.023261692149746736,0.0014851210264913584,0.00632960018373007,-0.013139401416140195,-0.03885297048315821,0.028576690018620052,0.05745209730671121,0.041249873395994126,-0.03817512143772381
TG,-0.010442200840577665,0.020580648656739677,-0.01616050440051877,-0.013568705061586616,,-0.003513096647960793,0.0007061641856136213,-0.017430116462110297,-0.02724619012662205,0.015140510909218634
ADA,0.02398034798916957,0.04861851551020049,-0.08306111531540297,-0.022036668216003998,0.054003138636090076,0.1971175695725126,0.0987382716089253,0.011506063017544428,0.10638010550893165,-0.005157594005384956
LAMC3,-0.06445887894098712,0.10800544608073151,-0.006863636105968899,-0.029017988712881245,0.005627197041928239,0.12063064419519029,0.016711824493509154,0.024956164513742773,0.0639803907038068,0.08804432148139893
