,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916bulk
IGFL3,,,,,,,-0.009113959292929187,,,,,,,,,
BMP1,0.016333134011213037,0.037527911607583855,0.0797878684092831,-0.05661418030425228,-0.01695398737637949,0.01022633254958874,0.008480631444183057,0.04801549112365391,-0.05949205611780212,-0.06673719447613934,-0.04752413346540074,0.01819283670681851,-0.059134680465209574,-0.009781110897003894,-0.0476110969498152,-0.00976434887978279
NDP,-0.01364937910457287,0.02782408524702062,0.02271218517904829,0.047680709194650554,0.043608069715509575,-0.004052413198676416,-0.0196806724748059,0.010106787004566456,-0.019930902921847293,-0.00018410337963206395,0.0038016729091240697,-0.03457667248348506,0.01804206383740921,0.08264768206273623,-0.11714813861651978,0.12695877828866253
TNFSF18,0.0760173595074244,-0.012523994958492027,,,,-0.029385769420756238,0.036861905311671196,-0.01262208878819351,,,,0.035971199222716896,,,,-0.03834992252049284
IL36G,,,,,,,,,,,-0.013143812001983647,,,,,
RTN4,0.018484771345515086,0.02773561103964451,0.00466915915999568,-0.005090392081754553,0.04980779965715614,0.008563283361119505,-0.007377959854449644,0.07373389803699096,0.03554953209299497,0.11203444840111076,0.05770060830622333,0.025458367751655355,0.06074888381462027,0.02628445532457004,0.18180508180521926,0.055894828924558014
HEBP1,-0.019439043304165814,-0.025371900067314834,-0.013448963049077212,-0.002450678704665103,0.0453724047733307,-0.03374919843208072,-0.008913269758304726,0.01823565532930554,-0.0730917891618498,-0.039526723406115814,0.016719175446737435,0.0567845478626137,0.09041948494872161,0.060305201014574525,0.06406449963819952,0.014917202412766
WNT7B,0.0006335324604861442,-0.024224629143571264,-0.03255375870357405,-0.021402241003789388,0.05784410961281323,0.050480548669953336,0.06688764871474087,-0.0276249878736812,0.08050576160612134,,-0.01444656410146971,,0.005291278167732342,0.01893216235494944,-0.042620707950039936,0.051102636256470546
PTMA,0.031968117234669614,0.035295756473259415,0.09584066466989903,-0.04974840959755519,-0.043260355214335494,-0.00758762627141422,-0.03655266643002744,0.05850008232952784,-0.025422592161962923,-0.15790217899793876,-0.08888889848703366,-0.04720121762466421,-0.035967943660951227,0.015257147348830987,0.007190128983875776,-0.062310703468850835
CEACAM1,-0.009063194661575489,0.016760105049451732,,-0.02471345243113014,-0.013668941600580962,,0.008520989512280744,0.09368107501614621,,,,0.045597673285507345,0.10357182913974256,-0.008935421392864665,-0.029576613935321235,
PDAP1,0.06000109898150297,-0.04461948961464168,0.029446040525530962,0.013160133835759232,-0.017869569434496874,0.00466061101225338,0.021159020572832542,0.002095841577474718,-0.016236256991553635,0.017641820709510737,-0.03986817941416289,-0.013087372308824232,-0.04686711141590517,0.03581269990289969,-0.01077050164180415,-0.06463735321360368
QDPR,0.01706300715042084,-0.018516670157895477,0.1458533986527662,-0.004611454682437034,0.12657784692378343,-0.0649844449092973,-0.1363525905283319,0.015944156232970394,-0.01807166197733182,-0.1487777850030013,-0.052402263220264894,-0.01852884586915957,0.07167465146696703,0.08777288000269502,0.022369368919526768,0.10986739329501626
POMC,-0.021324449126196226,0.008308972363646392,,-0.0103222605681406,-0.027505142824168216,-0.002070661956612062,-0.025808375260338162,-0.01464567369855005,0.004424886396897908,-0.013505217515997007,-0.003402245646566062,-0.046681861664017346,0.05235162346905271,0.0360471132107549,-0.02734767174021944,0.024023661035105313
CCL18,-0.017392827104749774,,,,,,,,,-0.05788081409282356,,,-0.008840370020077112,-0.025170878465378587,-0.07081776222327668,
CCL17,,,,-0.014324222695477838,,,,-0.01574220216408139,-0.015263945425954387,,-0.01200724541650828,,-0.04520069833084711,0.002848894630189243,,
VEGFD,0.04043314612618716,0.024603548463713147,,-0.015958765902670546,-0.013077669413133246,,-0.023834583361780508,-0.016771984912050553,-0.011196288563325045,0.037758721483496745,-0.012868536817327773,0.0700446298609302,,-0.013676469690586104,,
TNFSF13,-0.022081125107573853,,,-0.009880528229770303,,0.01039949338726584,,,,,,,0.09415593690639243,0.08636583884739549,0.05444062583891865,0.032281449703228396
WNT5A,0.002046956278922465,-0.016806791422728336,-0.008627813776172588,0.01171437844003411,-0.016986016781333452,0.016635754123311457,0.01777472436346203,-0.005885773371526333,-0.0006646282785807516,-0.028560853520766465,-0.030516919574563706,-0.03630327839392732,0.014953475245851852,0.06106184914127262,-0.0009894783737801859,-0.05315612554909781
CXCL8,-0.06648513588127605,-0.024932693683674016,-0.07465619678028325,0.033556447030171604,-0.0810740975361681,-0.040536650696371405,0.016640840445440168,-0.03555810086692567,-0.01042647074097984,-0.0430356648950729,-0.03869076624378896,-0.05811468842576557,-0.21575957634448592,-0.1884828663180952,-0.13081597826304395,-0.1096536015390307
GRN,-0.01998158416567994,0.036577271130595744,0.01471067577099894,-0.06930192059555469,0.012059460785096154,0.012144226029363232,0.015064059602410381,0.010620955676378307,-0.0071258874485686475,-0.12863096226104384,0.0009724321524180971,0.07509555565482491,-0.007921581031012788,0.020643597885783543,-0.042623459211964594,-0.05195931021056797
MIA,0.04582213421652236,0.004197447165516355,0.004131205658228551,-0.001031877070128748,-0.03968216771978849,0.045654562601389045,0.02428213597410263,0.00784323532363791,0.03217082611529678,,-0.017624050904976728,0.031056741250714694,0.16196032103368035,0.13768775413612802,-0.10133040568270617,0.04567977695171876
COL4A4,-0.013902917275288395,0.002109987044432135,0.00037992767495917716,0.04401180932195805,-0.07389680046844779,-0.027114650857554344,0.01312059090559661,-0.016435346102122373,0.006449788498415588,,0.061066994629525896,-0.013013040830632159,0.062116721965678974,0.04235903888294426,0.0837223165492595,-0.024440571436005955
TAC1,0.06387661785032295,-0.028780771948137742,0.0674592878764496,0.08590375243467138,0.1036978890619157,0.05658594698597486,0.05376205138711212,0.1368210533785082,0.04955613408409672,0.11619735211847533,0.0735823064830392,,,,-0.007448803553674569,0.08606206505113329
RARRES2,0.053185382617659274,0.05482248975558757,0.050016602026972536,0.03195558853442388,-0.061887082935192426,-0.017049578022118244,-0.014327161054427178,0.06986357132064161,-0.06303672500594261,-0.007713751004434944,-0.058142570120860354,-0.015012247152588977,-0.11321015986074226,-0.0363867090643872,-0.04607116405577788,-0.08871845757203342
FGF7,,0.049360264858456716,-0.03925720913084817,0.05705442389918415,-0.025039933574061726,0.031096009608530862,0.03954290560083176,0.05539351249837814,-0.03684720152260594,-0.03148838323632233,0.03659464606972799,0.07379757869944388,0.044390192751075155,0.016968872459900565,0.07051172832084372,0.04213526181776825
EFNA2,,,,,,,,,,,,,,0.008250498113268499,,
HBEGF,-0.021215365995511073,-0.0005854372119453048,0.05295713890363364,0.03919347570952018,-0.024602905485203847,-0.00502012958427752,-0.009940224200077848,-0.07846612141634175,-0.028753142559957857,-0.046722423338839206,0.01952023381005767,0.018720215187391493,-0.00450215185739548,0.06598599967232517,-0.011918316573801296,-0.04874315803980453
CSF3,,,-0.023107231642896266,-0.017073224480525038,-0.008585355657197225,,-0.041362927102109835,,,,,,-0.15426893872678524,-0.10654061003670595,-0.07296591134545805,-0.04904687276954737
PI3,-0.030783566626796367,,-0.05474426349283259,-0.029463230886510514,-0.04011702025454853,,-0.029520559051254548,,,,,,-0.17252248447370713,-0.17371417266884417,-0.1275314222518199,-0.06814302434505878
