,MGH258,UKF259,UKF260,UKF266,UKF275,UKF304,UKF334,ZH1019T1,ZH8812bulk,ZH881T1,ZH881inf
IGFL3,,,,,,,,,-0.027143784386291014,,
BMP1,0.021159660826545152,0.006767227750804306,0.007708688716054248,0.04756257128064714,-0.008542459203871226,-0.05142462919578229,-0.01563244384860657,0.0728779723034505,-0.001052425809240319,0.04904009059163082,0.02406781705601041
NDP,0.004421264701043767,-0.013698337138423375,0.054698782507751766,0.0806965558733934,-0.0357061631032351,0.02652645432124789,0.09791235298019947,-0.03540661248486492,-0.003360098191009904,-0.009452834883313412,-0.03517517843541839
TNFSF18,0.027972588526858865,,,-0.0118330314400033,0.024657227466164652,,,0.055560993763170675,-0.0279929057216514,,0.005672128256244703
IL36G,,,,,,,-0.018894155315479534,,,,
RTN4,0.04942045502597052,0.04146232225494405,0.03529545502393675,0.007415114883945928,0.036616722269532616,0.029084221017993923,0.009899042116210304,-0.03034706364697171,0.05028794239335765,0.05954225588882443,-0.07106216540035303
HEBP1,-0.02239790116624309,0.02583300242941899,0.033855668476627535,-0.012212754625840174,-0.03279741451656317,-0.013604782681155506,-0.013459058014520594,-0.05582806942761977,0.014050898946876467,0.03086603732674032,0.012695796535536378
WNT7B,0.11800070330509774,-0.02495040085018759,0.0950014774320971,0.05873450002229697,-0.032311532447342244,,-0.012455596566736088,,-0.05853543043112116,-0.020366672272462638,-0.04314125583410285
PTMA,0.04996706923255538,-0.05632292406769781,-0.03053908679789691,-0.009965359332791569,0.044080686822242574,-0.03716892661405894,-0.012852097069234276,-0.011177585461049994,0.03371900691471421,-0.035868461171940313,-0.012938754669171238
FASLG,-0.016985061614442874,,,,,,,,,,
CEACAM1,0.016897400607275872,0.05817354254722513,0.12253348776037377,,0.0033041523807050316,,,-0.028749491572614173,0.1414600782137499,-0.013517656594014087,
PDAP1,0.014272002630118784,-0.016044567120257078,-0.03123097469396493,0.07729835727094081,0.037717153973193286,0.02863370045406246,-0.01660997508754848,0.012637288446173766,-0.004274643180656955,0.0292161828838242,0.051101007102739474
QDPR,-0.03577446561048853,-0.006684252783950233,0.025271953476300405,-0.0029962187932239936,0.016073192348956086,0.011266859815034568,0.02502719175356522,0.02571384062808069,0.0477983032260655,0.006741503494986668,-0.030541018026279555
POMC,0.018226851495046978,-0.026829562242784637,0.04165203793925674,-0.031217923547716415,-0.01636738043405368,0.05691107218543285,-0.0027301978798926073,0.07402264742386142,0.06995110400568834,0.012936199790991145,
CCL18,,,,,,-0.03324129239881764,,,,0.0008751293757752149,
CCL17,,-0.01669895680813275,,,0.046086684665431386,,-0.027513966131499232,,0.008880370765758863,,
VEGFD,,-0.0030911461170057735,-0.02392589162180687,,-0.01874365518036341,0.012023863217397512,-0.02948756970246633,-0.03908430378156091,0.030210420766877837,,
TNFSF13,,-0.011518566672560836,,-0.011475571987196159,,,,,-0.038377478201796975,0.15298455521452006,
WNT5A,-0.05509091857934935,-0.03264406786727177,0.06147405380870221,0.03368184929865095,0.0022781678564411,0.005008639101487314,-0.03759027074834159,0.07010699884537125,-0.026928957434431255,0.0710867128740021,0.0297641326392811
CXCL8,,-0.032169637672669796,-0.0050391522321488105,0.07791673640805649,-0.06335144976154504,-0.04002254272034335,0.010027809507839,0.027263759127933593,-0.040294711173606036,0.02984471244767802,0.016329004259003112
GRN,-0.00791549494724472,0.0049113457423287325,0.02771085940794698,-0.01827031366227972,-0.033686378449001894,-0.007111014998394707,-0.0084027206760399,0.011472147641347026,-0.015939830586447386,0.024953852640630225,0.1462126289550112
MIA,-0.022231980655166288,-0.017545782332233396,0.0154855357725479,0.10167851126083889,-0.02573895889456649,,0.032123194450768645,-0.04829181686735342,-0.06496593880409461,0.05186465167722977,
COL4A4,-0.019670770968258488,0.07779530629103305,0.037447175725837584,-0.010918499750274565,0.012130958844166576,,-0.004834338206949602,-3.0342700118734534e-05,-0.044627044442710054,0.0013254155147763153,
TAC1,-0.016985052373569714,-0.013918250938021447,-0.04430357767702506,-0.0057894816410205595,-0.01279721168081827,0.028737555505437613,0.057658039442753134,,,-0.02332180856837586,0.07372099376550395
RARRES2,-0.04860442468180434,-0.0014661000072077814,0.0010922291671251522,0.050743327206323394,0.012330099077839463,-0.016062568888147458,-0.011615557540807281,-0.03728488481651238,0.02901976882765058,0.0438975348608495,-0.09661217287969964
FGF7,0.016914309030871225,0.04512304085831083,0.08640849551613249,-0.004301806410600211,-0.027147128219744167,-0.014293514483680063,-0.02956032220655084,0.056371451282288904,-0.007000020095778118,0.06701204367089804,0.00816778981539341
HBEGF,-0.07054372736839523,-0.009278468211314566,0.015697895340413163,0.010704847298456771,-0.012962812920199799,-0.00881459970651892,-0.015439258181029356,0.06970051897587363,0.07959766182149046,0.07180816382650386,-0.03745211298936589
CSF3,,-0.019903700482529502,-0.017436783722146465,,,,,,,-0.019379407221375853,0.10262840585084183
PI3,,-0.034347777918672544,-0.029272972793461305,,,,,,-0.030407328044711714,-0.022297558068834128,
PCSK1N,-0.0021213654873747153,-0.042829838151823674,-0.008308105557745523,-0.061000583512530245,-0.023084698774913023,0.03790979075151831,0.01686982826865893,0.08247615282188467,0.02170120478700645,0.05153872459233508,0.00030800516512388356
NTS,,,0.054075168053640946,-0.013329007422653125,-0.007213487380484102,-0.01581326558112918,,,,-0.009465522211890785,
SFRP1,-0.024713680242348143,-0.014570485289733877,-0.027295298930465294,0.02266769468584898,-0.007167539198217032,0.03727183701674364,-0.01573347595763768,0.013183108741343845,0.008526688263835928,0.016420309082908466,0.008643768675413166
CXCL13,,,0.029678801311501843,,,,,,,0.06373218533341157,
MICA,0.04578681196008785,0.00930991379337282,-0.0313137157902782,0.05892953584324194,0.004630586030029154,-0.009099204323327646,0.024119828477488996,0.009873733356709857,-0.0818927502629745,0.03202126112355551,-0.01501883697742065
TG,0.027993013915725267,-0.015723862091437953,-0.003213343052777093,-0.015385188269039231,0.012927679468689418,,-0.04132985943099078,0.03824688381422171,,-0.015949549938419617,
ADA,-0.032745642373398616,0.027053834599500403,0.028714807159255392,0.0315884576839543,-0.014848431727453718,0.005716447995267982,0.0982569785186673,0.10006405192341668,0.043630560935190785,-0.0229826775215294,-0.04767925615194201
LAMC3,0.09378503098208082,0.0320936448846256,0.04869349210940568,0.044395664230390576,-0.015555527717363187,0.00032577989163058214,-0.006595787477935868,0.14602693983139536,0.04894006400469516,0.019408248545975032,0.005896609614608591
CCL7,,-0.011368327169634374,-0.0358632923359498,,,,,,,,
NGF,,-0.014102731481650145,-0.0382803318695844,0.0850331990567047,,-0.01581327599311537,,0.04937133594970893,,-0.008767476279082432,
