,UKF248,ZH1007inf,ZH1007nec,ZH916T1,ZH916bulk
IGFL3,,,,0.07934809406121644,
BMP1,0.07391669190116495,0.04194020024254358,0.12843370025294212,0.10226479175134272,0.011159942730896804
NDP,0.02796094970406972,-0.00044015650752214245,-0.039832418653834016,0.0029173472317657683,-0.016828096861314874
TNFSF18,0.02453842898058561,-0.008834648856012898,,0.09982787243398075,-0.023503631971002158
RTN4,-0.001207766948283081,-0.03227890913421793,-0.14771773774498426,0.05146289670537361,-0.01603495382123104
HEBP1,0.04475756488267666,-0.0017773878656779766,0.017663769172382736,0.05331442112415589,0.08142746132665868
WNT7B,0.03573888141191719,-0.015607940665318693,0.015894089472809635,0.09201853617876402,0.02069460931459844
PTMA,0.015794055742617392,-0.07153722494472782,-0.17774860938093903,0.012070538479039437,0.07993757028359023
FASLG,,,,-0.029545898732032935,
CEACAM1,0.01184107452388476,,0.053009172212546384,0.014250617917314783,
PDAP1,0.06507309596256045,-0.0638427043153899,-0.02445594566153144,-0.0527632086564155,0.03781896037359424
QDPR,0.008742669324742927,-0.0575649628533531,0.046788610601461854,0.07411047058677765,-0.007341551154152888
POMC,0.004531627630193657,0.015011253640247782,-0.004957815010397001,0.05509925617874917,-0.06468488876824768
CCL18,0.0019919945173748317,,0.04575617972278331,,
CCL17,,,,-0.02678003861650157,
VEGFD,-0.012472573001181429,,-0.042841545646684284,,
TNFSF13,0.04917824294279023,,,0.025926909514062377,-0.028592545830222534
WNT5A,-0.0045993669678014186,-0.017378407582696903,0.019341277627204757,-0.05355285358863408,-0.0009261534387105692
CXCL8,0.02386190691323863,,-0.11313639865640335,-0.033550610589459164,0.012638835743159556
GRN,0.04194594979735844,-0.06265628757734007,-0.011337300642107683,-0.008431187056743727,-0.032870235436639174
MIA,0.026214492669364927,0.09380794124117645,-0.006262743538772912,0.19986874348962166,-0.015342117335610231
COL4A4,-0.030875461400170123,,,-0.039741096907724933,-0.0036276517254013375
TAC1,-0.013878030297452054,,,-0.03520508387033373,-0.025695760205945
RARRES2,-0.028094642354175928,-0.08026316798038868,-0.04027543514917426,-0.0671755291928893,0.014540525586309319
FGF7,,-0.008640633334164132,-0.020833910310914312,0.009338739723512767,-0.018155089417989434
HBEGF,0.02941618725601372,0.03558551149389239,0.09506412003020703,-0.027667861747604574,0.06000907339246533
CSF3,,,,0.03369790661861868,0.0052287398846779945
PI3,0.025752017000639633,,-0.057648508396212474,-0.014207165719920522,0.08645782113762963
PCSK1N,0.023463912472303332,0.022981204466031174,0.02086566954927328,0.0332773122537773,-0.03358238773382274
NTS,,,,0.02367051370256594,
SFRP1,-0.060043826427917495,0.03361778203792451,-0.049529697703427154,-0.04078307818877764,-0.012005888429799716
CXCL13,,,,,0.023775137567226882
MICA,0.027626851108090357,-0.006266676905464333,0.12963408219134295,0.03654592973966047,0.027752752325173973
TG,0.07258520178137207,-0.04163715164892615,-0.025787544458989068,0.02470667452412563,-0.0195086331372076
ADA,0.10533602641542386,0.08105381747485808,0.12760630598313802,0.06916097700462068,-0.056551916762084674
