,MGH258,UKF248,UKF251,UKF255,UKF259,UKF260,UKF269,UKF296,UKF304,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.013231782459339776,,,,,,,,-0.019917725766680015,,-0.010075389371288223,
BMP1,0.03270021396139091,-0.01945011731273866,-0.01873569500811201,0.03525331506498123,0.02989472487348022,-0.028982944101970803,0.09132669081094912,0.014482319584277113,0.008010924435750659,0.014668629023474487,-0.00011621745894114839,-0.03540959910715117,-0.06354380793569606,-0.0019461183029677212,0.0829176034408452,0.009103229257748337,-0.01680281785028773,0.0581113924034596
NDP,-0.020834868820687982,-0.015272591108609743,0.011285435184319237,0.005006395839176173,-0.01814772964216283,0.031130266920187666,-0.010582690941079208,0.004897134127657696,0.0380277623035061,0.029095475568303768,0.07144137952824543,-0.01822006367659278,-0.017426000190111084,0.06737247562168602,0.017828053861121625,-0.02375410347183759,0.04542298754209157,0.10484015633088782
TNFSF18,0.07865907350028525,0.061566438910235194,0.0031119916380652046,,,,0.25737267298738303,,,,,0.08928533938108504,,,-0.020540799014671443,,0.008850561392567385,-0.037877416718698244
IL36G,,,,,,,,,,-0.013752911436744552,,,,,,,,
RTN4,0.037152500643802384,0.01224742772571886,0.025048224026599432,0.016303789681921952,0.028492159775431233,0.052214310287174694,-0.1351740724485785,-0.05881335792669208,-0.0697496488977148,-0.02700749924095717,-0.08581196409841822,0.10550734786811954,-0.028582609408781687,0.04910930640966943,-0.03809527449577375,-0.019461526762299588,0.02045030985861661,-0.028963883126299245
HEBP1,0.00030555969827183484,-0.009596228914306186,-0.009113972322052523,0.0015256307332859246,-0.008047549288721695,0.034206490088619354,0.03867247523860362,-0.02218877207869203,0.07292705309533325,0.07124982788364914,0.11853503717602797,-0.020036764881931384,-0.028929034553261488,-0.011299451516061189,0.0765257556477145,-0.006105413152556093,0.05397667699939018,0.045262865925618796
WNT7B,0.12232862519378097,-0.013435781421381455,-0.015480750617120726,-0.03394588728108231,0.04732022170789815,-0.025749798763876845,0.030873931271338747,0.04032332363279193,,-0.015116034573743229,-0.05995571738523792,,-0.04560678945162197,0.020961744827705422,-0.03155286375079239,0.0038564234817295975,-0.0392176569907462,0.06327098051645683
PTMA,-0.06756818450647807,0.026366373777203776,-0.03323120198703569,0.01525964846109835,0.008491650560314992,-0.1036526943627162,-0.04900245623423657,-0.0035515968414955557,0.07377131663425307,0.037647908740311944,0.052645907476009744,0.07049429241498165,-0.05409255599937462,-0.009345135564517985,-0.0773179242874743,0.0033991733019374097,-0.039162949707548696,-0.07533825888338742
FASLG,-0.01648513848371037,,,,,,,,,,,,,,,,-0.022637928078935683,
CEACAM1,-0.022889759057407432,-0.02280727934923228,-0.011880544994188062,,-0.044776522276714775,-0.013436801688169232,0.019413899087967628,,,,-0.04514815869119444,-0.0427280304455641,-0.00580637735440295,-0.01991504456185215,0.03769060557893524,-0.016688749675841663,-0.03149735201541062,
