,UKF259,UKF296,ZH1007inf,ZH1007nec,ZH8811Bbulk,ZH916T1
IGFL3,,,,,,0.137753706245414
BMP1,-0.03932721596191524,0.04891902604814483,-0.027835843889474847,0.1131346955236341,-0.03022674230243172,0.12324369403316267
NDP,-0.025228003770112167,-0.030627265624255193,0.06390049026572045,-0.00837615779502948,0.010135066251785951,-0.0503175942315971
TNFSF18,,,-0.02634637836937611,,,0.06371317843416152
RTN4,0.026936458950226717,0.002139482551867838,0.025874504382262128,0.021603855780800273,-0.007821805367308421,-0.06031662370677004
HEBP1,0.017176082887212438,-0.009232409114597448,0.011527252913728428,0.12355137996196917,0.021276798242400675,0.032323040685928485
WNT7B,-0.027339736349748556,-0.011246854499443792,0.15187279324183223,0.05412046158893361,-0.03275134545718122,0.02563184723779366
PTMA,0.019854178663218095,-0.012633005051685216,-0.03024279447683979,-0.07381193493523978,-0.007988031104795476,0.11855767310164075
FASLG,,,,,,-0.014042013147246405
CEACAM1,-0.013424214196416208,,,-0.027841830201444453,-0.020776407559564978,0.13274274952125606
PDAP1,-0.03878582148000005,0.002206630542898734,0.09298923907472974,-0.023877100986360755,-0.06889892269646655,-0.015798781595937197
QDPR,-0.0024747852542094753,0.0221047546815805,-0.05328664409888933,0.005732735014729765,-0.02078587384258814,-0.004728643059497852
POMC,-0.03226475727898639,-0.03024957607725938,0.009540614125554946,0.14503854780559597,0.02087165708941414,0.07293186484296284
CCL18,,,,-0.010195263651806008,-0.018814836435422658,
CCL17,-0.03125771542389286,-0.013920453062555573,,,-0.02999204864333696,-0.012727507724413273
VEGFD,-0.034824546762993486,-0.01021082066734715,,0.02237508911266484,-0.020776407559564978,
TNFSF13,-0.021560872531072958,,,,0.0575504501203683,-0.0006816934853905454
WNT5A,0.008393126270020982,-0.053639222645668956,0.05221424234174398,0.037245957532509436,0.01699480669845127,0.04863168820943855
CXCL8,-0.02363612598011538,-0.009508760186676561,,-0.051629625081190664,-0.07023831954128165,0.023431541018624946
GRN,-0.06520102699729512,-0.00036286890581031794,0.017342288399101253,0.08818251407329532,0.004407418646707801,0.10548168236287218
