,UKF248,UKF260,UKF269,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,-0.017990297030084326,,,,0.08660490789294532,0.06780508775482447,
BMP1,0.021100742380383716,0.0022425876646990557,0.00040163091443853736,-0.12875782144739922,-0.01704861003395017,-0.032007229655359466,0.09102035643420628,0.0371433336356395,0.10502351354392055
NDP,0.009950892342255878,0.07229681343173668,0.022450792813812098,-0.01487610236898855,0.02676844921085775,0.06372099667438826,0.06558206411237652,0.12158996339868428,0.09151666979080708
TNFSF18,-0.033469247489703494,,0.0015927929389763004,-0.02013554545045691,,,0.13344195585955715,-0.03250410002180517,0.10567917878492873
RTN4,0.023437248175309316,0.03778343740609167,0.004767418745650588,-0.011579742328372916,0.048798111113372,-0.05273409777828484,-0.13896571807115723,0.011849345214766814,-0.16064031296641176
HEBP1,0.05786839579846363,-0.04618367954314628,0.04774462045836237,-0.06493519608093651,0.030272281090090822,0.03344141314105492,0.005478710389143717,0.09265444617754474,0.03541959831804147
WNT7B,-0.0031803153224675435,0.04184500356437178,-0.013037182826915253,,0.02474220266249754,-0.033581891331711855,0.08047763907512885,0.03854531408011599,0.03616027631235926
PTMA,-0.041316409609053986,-0.014041517663252382,-0.02854443987421512,-0.027151393340427505,-0.08492502566758392,-0.032599799740166614,-0.07646338473685958,-0.07847447359288996,0.0008032465403159733
FASLG,,,,,,,,0.07586744769128968,
CEACAM1,-0.021302258779139042,-0.014777318353850414,-0.0027940200163901487,-0.03060380931428983,0.1462369574001476,0.08483779138356505,0.041016765890838545,-0.026749153691981567,
PDAP1,0.05920053323628827,-0.04332303375843714,-0.019962437899031515,0.07485344505855171,-0.005859120123037129,-0.09438593289352418,0.0019200580266068332,-0.007908643957080509,0.010488940878060626
QDPR,-0.044126584903649235,0.06925912434878242,-0.06143241337065906,0.08527485989254542,0.08854597474422775,0.04406532317929519,-0.057815578125246826,0.11849419060599818,-0.13078954633074352
POMC,0.012630185164491416,0.020210225894024273,0.030903880218362944,0.05657935735643753,-0.04439546076898211,0.051302254225637854,0.01694559814729592,0.03809901587881937,0.053336412693500965
CCL18,-0.0008216770375250717,,,,-0.033836248355763314,0.04330995397236446,,,
CCL17,,,,,-0.013117672894605522,-0.023485124951040676,0.052413949552618216,0.05196792629120809,
VEGFD,0.07633534844393937,0.09096818034050692,0.04593987613134568,-0.04160520811616926,,0.033174483533776944,-0.026833046394197965,,
TNFSF13,-0.002768944257806153,,,,0.08214578964783702,-0.02552752789090448,0.029537507497190803,0.08608233462807412,-0.02617875778629496
WNT5A,-0.03512619774507074,0.04617188947517349,0.0003244855571230669,0.0035027478029789833,0.03532225507643984,-0.02086723420689177,0.08293083467991136,0.062466475303260154,0.07380766059877705
CXCL8,0.036018214488132715,-0.039494473863344946,0.0248680210376378,-0.021264699753621358,-0.04137684326768424,-0.07184364875569337,-0.036121540831639744,0.006614809158292751,-0.013010259607618304
GRN,0.04830767747413486,-0.0073631383885552765,0.024978563628299658,0.013752997107447446,-0.06265198449678126,-0.005886336203934103,0.11342078566260883,0.0063504090650077045,-0.04743285904977493
MIA,0.011972649739383528,-0.008775411252624148,-0.004945937377182074,0.06695611361377775,0.035318919939288915,0.13874441167734647,0.07727211564164152,0.1669634223009323,0.16168897828853296
COL4A4,-0.010706323125455327,0.017328495475315793,-0.017728102390344305,-0.03257769733755763,-0.03466060199858461,-0.02604899329003482,0.04155695966223295,0.025456745258936087,0.08427761254634962
TAC1,0.028008609275514153,0.00994790719364914,0.05098755451507553,,,,,-0.03928172692141027,-0.09904874427576936
RARRES2,0.01433517484622173,-0.07310062314315303,0.0007395551638968483,0.02323969699279675,-0.02841833665842586,-0.05208298877127085,-0.0858357236863665,0.05325980105424025,-0.09986618125935118
FGF7,,0.04092543651431438,-0.010119113581475327,0.05562054249562823,0.008673429716209265,0.01683294248125204,-0.04524601091320168,0.04781403358594828,-0.017596983517652313
EFNA2,,,,,,-0.015462465427300611,,,
HBEGF,0.054093221158393955,-0.03847893290097217,0.021735363465833282,-0.021089501013738996,0.08859802742595323,-0.012651473356691425,-0.0751222092207284,-0.07645423668188478,0.1051060300889713
CSF3,,-0.006774925852934173,0.06631078647506852,,-0.0701342587960822,-0.056781877337894526,,0.040624587946385037,0.04975872570347258
PI3,0.03707558524028923,0.00716873404079219,-0.0021757211452899756,,-0.12645126431092454,-0.10210752274105005,0.0022315449417785243,-0.06250778622388924,-0.07739341383729388
