,UKF243,UKF259,UKF260,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1019inf,ZH8812bulk,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,-0.019913151999298034,,,,,,,,-0.032473738170345545,-0.02044185708308478,,
BMP1,0.015255391446714882,0.04326703135069179,-0.0010979882193453939,0.04618899998903559,-0.03648252917874039,0.036354654087572914,0.0847676533292396,-0.023606606366754605,0.05176878891721029,-0.06811461610862092,0.05691954990776074,0.024344434353794207,0.11738779015718928,0.06056957239066161,0.08663885273702082
NDP,-0.09151404828879198,0.050559220774230695,-0.0197679246166896,-0.0034107368363875865,0.004124999673937106,-0.04146510875430586,0.07110457860324787,0.021706232754853026,0.044240631087255185,-0.0634972486471948,-0.0556513287273614,0.03355703782958358,0.049019592849013895,0.054391105429609884,0.04159650021631857
TNFSF18,-0.025285680747114604,,,-0.029570432909752774,-0.010647509216605143,,,,,-0.023736411844826975,,0.030743910193729646,0.008938307350196396,-0.047919576933041316,
IL36G,,,,,,,,,-0.020947215762275095,,,,,,
RTN4,0.05865073496191098,-0.005337186482340161,0.043224510142559146,-0.08812333483590286,0.041308934647742115,0.001904134173754743,0.007480956558952026,0.05845594477674043,-0.04885688100035925,-0.017637126624714176,0.011909705216831093,-0.015520607878376601,-0.0915462317359364,0.02112976894739756,0.004745934875248752
HEBP1,0.029037474098991736,-0.00036275858927010247,0.03180158219312362,-0.0012713107621447626,-0.02768904144749676,-0.012175780259258773,0.08859645758193962,0.04557619406521804,0.0046891395574257,-0.022283809778860353,-0.003195444702762298,0.06867215279105392,0.09931068129461108,-0.025027390756781606,0.09103270472683679
WNT7B,-0.03520678429993228,-0.028339108370850463,0.00425403070851093,-0.010996831414931258,0.007451184630140553,-0.02061551287555626,,-0.025302998070070287,0.006090368906709511,-0.026131472638947693,-0.047887290374421805,-0.005799394692155862,-0.04339441680962176,0.00841603173665844,0.015896230457400472
PTMA,0.07060769735599445,0.02134227556583296,0.010911052928155387,-0.011658614580327322,0.049816070949266274,0.04630379850073752,0.09845237012138709,-0.0238010717064701,0.06908085207117615,-0.024512188327313424,-0.015484404904494006,-0.0358752964708756,0.0314669017225216,-0.018957149233524512,0.022370392185359318
FASLG,,,,,,,,,,,,,0.003761259308054157,,
CEACAM1,,-0.03272354547075947,-0.019434642626478656,0.06674877815290725,0.016151017314087628,,,,,,-0.007806203711766532,-0.030530039159752304,0.04195051005684746,,
PDAP1,-0.1009854961713812,-0.02902336455897095,-0.011101426783287228,0.10084909887019579,0.039707717061363154,-0.017076386585669668,-0.030423079547085903,-0.011464907586607512,0.03938554671563945,-0.041944102638261246,0.0281373535485484,0.058696725739720484,-0.04964058894306231,-0.04821414689489759,0.040999186049314684
QDPR,-0.06304386784705576,-0.031316326998764715,0.040303166185675865,-0.051684526522217986,0.038429810418809406,0.04677279986758304,0.13910176286524184,0.010997608668473937,0.025842892819966674,-0.11060617238339032,0.010388759265766746,-0.004594887594266367,-0.0168585892825528,0.13059150474476816,0.09973809522201958
POMC,-0.010003996513043208,-0.011449187037019533,-0.020248916630275705,-0.020315151839863228,-0.012354527709753302,-0.02183360073801984,0.026403422353977118,-0.0235844814770679,0.008732121349041489,-0.06396885720979771,0.04817075029130132,-0.013943018570879899,0.03508520534555577,-0.0057336792055637685,-0.06445583435618027
CCL18,0.001036162544245351,,,,,,0.06581880850965179,-0.030589086189536503,,,0.01892085032691563,,,,
CCL17,,-0.018966971693453457,,,-0.013279516999476543,0.03187634129935108,,,-0.019135876290092158,,,-0.040563403749034825,0.031120613948655514,,
VEGFD,0.08307950298826049,0.0061383811012998895,-0.018593965711337382,0.11891612705745304,-0.014148202165941128,-0.018716460228777865,-0.04634127070440522,0.07899616647969597,-0.004166190213535681,,,-0.0006669322684281085,,,
TNFSF13,,-0.013082992580783078,,,,,,,,,,0.005237300294561605,0.0843456260095429,-0.010704698302737455,
WNT5A,-0.019043900248331188,-0.03283090437778582,-0.03962427888177885,0.01791764745834106,-0.027569197214493676,0.0417582808916378,0.00450985125365028,0.024495298164352,0.0007399570855148184,-0.0345589529718564,0.0022250681831021473,-0.006025430308250043,0.1345772704899457,-0.02228281289062487,0.03770226999733123
CXCL8,0.04860979404086122,-0.061374169650522094,-0.006198954263199617,0.08038308087606151,-0.06257986778998795,-0.017429581583784326,-0.006500959932876344,0.017316653935308915,-0.029444179856988703,,-0.04035500007827268,0.048651079719103346,0.01260329171910003,-0.09279827045517257,-0.01849803528474813
GRN,0.03294777698671718,0.0018705952930959343,0.015138618192778222,0.0536075597947414,-0.019102446658167384,0.013370960645721155,0.08328426982569816,-0.06708201750414167,-0.045399907151109566,-0.013172477640890488,0.05698062368948899,-0.048679057667281936,0.12495111772006928,-0.02522202760495073,0.024052865824862567
MIA,0.07799986483411774,-0.023346757961015187,-0.014345836326499975,0.022773626957787254,-0.01477703896897897,-0.02128603186041242,,-0.021610219697254993,0.03566805379330455,0.03823209198800676,0.012184947886966876,0.014726470865918164,0.011548516732402713,0.04810153289364309,
COL4A4,0.025024527800917233,-0.04571296322767899,0.07257821708784544,-0.019622933238272952,-0.013864226598067604,-0.02756920039946742,,,-0.02724576774246203,,-0.03849766084006404,0.10671057850044194,0.04431730164266808,0.0174347607384374,
TAC1,-0.034792291591138884,-0.026702202798021966,0.017393480966873386,-0.039256481887669385,0.026297226276999895,0.012442808727885833,-0.025168214241512974,,-0.00965126681178919,,,,0.05239116695910869,0.06369199699348964,0.035387193112063016
RARRES2,-0.02073739109999018,-0.01595420994846394,0.02798342590228084,0.08479861176672816,0.05211761360694655,0.0023444381717408996,-0.0007031599336606836,0.0027841002940009792,0.020648445009098723,-0.0586310375238307,-0.014187237195209023,0.00409024865067715,0.06716772989184844,-0.07185229784192203,0.12404220828953713
FGF7,-0.02901656928771927,0.004710543718569783,0.027816633706727992,0.07483396128963002,-0.013080230057284674,0.00995840558342533,-0.015086880453292843,-0.034718521630560197,-0.047750451724970014,-0.027572312029753823,-0.0017625577358419962,0.059412656910948616,-0.02725607809904001,0.017795123525746998,0.032480269668008266
HBEGF,-0.024046218775347093,-0.01106991812944899,-0.01399924402397143,0.07459427982500912,-0.009252150510308525,0.016853503577434,-0.031718498441380374,0.025730353499545017,0.0739337574565958,-0.07256163012427846,0.041365447304682446,0.014033964510652367,-0.02593217178892439,-0.049417143013686646,0.11462773082942242
CSF3,0.19382251109498688,-0.022606976470725175,-0.02093709171900918,-0.020760685671529003,,,,0.058003336000136047,,,,,0.007786245606426287,-0.029312851861572436,
PI3,0.13900280154381514,-0.023517917359394406,0.02093645647187356,-0.02337680607753337,,,,,,,,0.014269925688058622,-0.06843889074436621,-0.12342952936825752,
PCSK1N,-0.05291954096671809,-0.013914124874481376,0.024689798074828108,0.0036508166258712245,-0.003463392267303455,-0.006777746630550454,-0.04886087975038962,0.025837421651318186,0.0033850567690434817,-0.0759463330278299,0.041911928613918126,0.007194590030688303,-0.008775569675732,0.1089604902059725,-0.04033396213797741
NTS,,,-0.012900892514068946,-0.025517380021522675,-0.01583826727519615,0.025792073226545868,-0.013893152068708944,,,,,,-0.00463532933372613,,
SFRP1,0.002304041680264307,0.0005859630446377409,0.0813121265989361,-0.01160431675565695,0.03847182253314624,-0.02551622609228031,-0.03388834481715406,-0.05180117353459475,0.02420987267002919,-0.03342407403450607,0.024997910982239007,0.01940895931668056,0.06217451262818842,0.09320383876876767,0.050933560627157516
CXCL13,,,-0.021021853275075518,,,,,-0.0450593557248333,,,,,,-0.04247107402744235,
MICA,0.042037830889541085,-0.04847085162644789,-0.0053535058671599495,0.048983831740698404,0.03068960661111785,0.046633182826077285,0.06347418760142814,0.006532748927889463,0.059027951358380466,-0.03631828535989749,-0.05377000778375654,0.059316530679531486,0.07517870319395811,0.047351618925667915,0.02856992932377241
TG,0.04776658818634204,0.015818618018741633,-0.044990887507803216,-0.009874953068206788,-0.013378610833659502,0.043049306988269566,,0.06594022617223537,0.05248699193523274,-0.030419320131604664,-0.035319955365450975,,0.033349768769778396,-0.037796776005565816,
ADA,0.13285183786049598,-0.024383529936065514,0.03641566634735473,0.02879872132727318,-0.017209087395823056,0.029492454639902774,0.06935575047642178,0.0023549958204179397,0.06238242109436256,-0.04302554231511566,0.06550986929865141,0.022985203539135222,0.11423671976501161,-0.016641816345533054,0.1041941310749972
LAMC3,-0.008351991456735172,0.013037821545158725,-0.0066737208619843105,0.02067120392846991,-0.003752886737123428,0.03151741875343327,0.027817019044651583,0.02486545703173048,0.004827262877491721,8.973332431723237e-05,0.06004192791494709,-0.03582573572477497,0.14393154349190818,0.019796764088961853,-0.05651141936026507
CCL7,,-0.012912347885309827,0.07875578056134415,,,,,,,,,,0.0007651451788225108,-0.1370123741553632,
