,MGH258,UKF248,UKF259,UKF269,UKF275
IGFL3,,,,-0.006961213331851104,
BMP1,0.06387895315866474,0.029433123072107208,0.0012700465599497794,0.13164109892044384,-0.017224698570780482
NDP,-0.03161677654947884,-0.009668726772184031,0.0019769456846258655,-0.006656264270584904,0.011269029015968667
TNFSF18,-0.012487993851217379,0.05950300385535993,,-0.012845196651541685,-0.025474740484287998
RTN4,-0.06536569448693043,0.009696223859344766,-0.014676496026227672,-0.15188910330405672,0.04361985565812522
HEBP1,-0.01691527464796685,0.045772616355847666,-0.018579664489930346,0.07322316961698651,0.02535124173726751
WNT7B,0.013930318354058271,-0.008533685860975688,-0.010689385266014286,-0.07198931015527911,-0.02118256337383984
PTMA,0.008877105790181063,0.05050753607249264,-0.03868481570191324,-0.07049247113957376,0.05647427518863052
FASLG,-0.05407682864640314,,,,
CEACAM1,0.07668018171288468,-0.023447906005732096,-0.03257159726154177,0.03302083689664386,-0.003371723988502723
PDAP1,0.05754826698597279,-0.006858665696680852,0.013025066733644822,0.13922943671627763,0.031621478353093826
QDPR,-0.12462375295516515,-0.018981045175693805,0.04687636374966457,-0.1259807053710816,0.0006295379998722162
POMC,0.0400946129949593,-0.0359715470146825,-0.008937672960320586,0.03232778477632977,-0.010171624149073098
CCL18,,0.0694716075068634,,,
CCL17,,,-0.005235247243665851,,0.021221488844582966
VEGFD,,-0.029260780534230934,-0.0037889816488413425,0.023219116697728828,-0.007565080532125681
TNFSF13,,-0.00658858819531386,-0.015041446256193768,,
WNT5A,0.029169674507877382,0.041340398271031434,-0.03040475773421293,0.12344961896440071,0.022139979994651324
CXCL8,,0.017928885090760047,-0.010908309106868592,0.03265103370841568,-0.0706309129537994
GRN,-0.12913395371256894,0.02393329009178154,0.029641521455175176,0.17773911553706606,0.07856578060980525
MIA,-0.049879236579149645,-0.013387061589160358,-0.02241251216714062,0.1304144307366812,-0.014669794217987052
COL4A4,-0.024600014810322483,-0.016224046862040504,-0.010956682938796843,-0.022996634452259804,0.002039585299527666
TAC1,0.031162603966363982,0.012896204422786897,0.038714806371614126,-0.1025653301240627,0.059751729964791174
RARRES2,0.12655209648137844,-0.020143326528882195,0.05846228068953622,0.14353836438795486,0.09062513893739979
FGF7,0.015598798048764089,,0.033617015085826554,0.09893827313489885,0.011573454077162289
HBEGF,-0.05349910252043537,0.010244433596532616,0.02455949269889537,0.04890638735563395,-0.06105926164412819
CSF3,,,-0.005786476647804163,0.05730162667688074,
PI3,,-0.00748330618508849,0.0041553442090738815,0.0614575984360564,
PCSK1N,0.08840703019936022,0.06185044249603414,0.014382004518186052,-0.028539519403061524,-0.047310027820234316
NTS,,,,-0.029904492534776658,0.0421886848164248
SFRP1,-0.03130580748693127,0.018487541795205075,0.004436022440099476,0.022123914738544213,-0.028961518415732117
MICA,0.07341468790985757,-0.005858573752970026,-0.014400157814805258,0.07550223975701513,0.08017597442306323
TG,0.007188040550113862,0.032520686632299206,-0.010308237485576027,0.173521957936654,-0.03200904851026049
ADA,0.04095219170210784,0.02976264822205922,0.02317694045547552,0.1414131984392632,0.008440704978954557
LAMC3,0.006979090317414336,0.004454288715656615,-0.02696187379824324,0.08148369853038309,-0.018066997594742125
CCL7,,0.018779668678862986,-0.0030634745258723227,,
NGF,,0.01278431673398374,0.00657222700755071,,
TNFSF15,,,0.044082411992692326,,
HMGB1,-0.05068112019124345,0.0031210503437299397,-0.036051656160515894,0.12065598941121457,-0.0076219495367981695
ITGB3BP,0.025116085934445777,0.015309020280427623,0.06632993474972497,0.09259178837378496,-0.020500667487218797
AANAT,,0.023668117485281217,-0.014897920753963982,0.05052700460280587,0.0218225613240455
RELN,-0.05191989327735158,0.026971713297562504,0.06620063134259713,-0.06439737516632585,0.007738075692633129
IL15,0.00919888134206737,-0.004608158949916696,0.042494564723544584,0.06156815243324264,-0.009124951966174764
UTS2,,,,-0.020865061627005785,
BSG,0.16762973527547986,-0.009505054875100396,-0.0208653192962297,0.04499231548452402,-0.03535531632182311
ADAMTS3,0.09178020369452974,-0.022865282473261073,0.01479722739789703,0.14523217160509322,0.008219752858322256
CD34,0.0714864280587519,0.08016617927943147,0.030114238565619924,0.08706357082924576,0.057636205040309405
CCL23,,,,0.006049685020095683,
PLAT,0.07624195411942508,0.012083224621542371,-0.020746053488320156,0.15234004076098578,-0.06978583143253257
LTA,,,-0.032775344568435665,,0.03258350934699913
CKLF,-0.0067865987258420345,-0.005003095307897679,-0.004481478058265682,0.16965113657181968,0.04461872001081724
CD24,-0.027390211143655425,0.0317892944677518,-0.02811707165402018,0.03144610654737351,0.04237410571530246
HSP90AA1,-0.10808557414100901,0.017749647912369354,0.002706210155727502,-0.1720271245675906,0.045162345135912545
BMP4,0.005840527775722307,0.007495887330942622,-0.0396265552911144,-0.024319342204542738,0.011477775148045913
SCGB3A1,,-0.0007423256277834934,,,
IGFBP4,0.07697562581511487,0.04435948071858839,-0.03344360444214703,0.10468689447966516,0.02391797288673915
RSPO4,,,-0.026173422610871275,,0.014376691590864552
LEFTY2,-0.03552238517402646,0.0478032320284281,-0.013728568499191922,0.13171394229514938,0.014300264879657252
PF4,,0.016034482451978225,0.0036285773717861236,,
ANGPTL2,0.07244574965271518,0.017246896083444565,0.0032480496470293323,0.10333940176780815,0.048063370370440145
