,MGH258,UKF243,UKF259,UKF275,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,,,,,,,,,,,0.04437837109148518
BMP1,-0.0015457291560260586,0.05496872362798304,-0.04965250527809171,0.06930522972339923,0.025351180753658196,0.06001804473444282,0.012249178602608126,-0.08840138046968182,9.651893337471664e-05,0.08587798626882284,-0.03325331864045788,0.02653108551584198,-0.006277380338979704
NDP,0.023027773610657436,0.022125546275100855,-0.030620933107351218,-0.00373750941600579,0.03152658106823811,0.0021788126937707466,-0.0629098855046902,-0.0338285842032499,0.038695831077124154,0.07727664331985906,-0.05154131571051639,-0.02830344122176203,-0.04444027754153112
TNFSF18,0.05162151532202625,-0.019581146852972783,,0.08453216280620493,,,-0.035628322023746314,,,,,,0.0452721374544003
IL36G,,,,,,0.010158772940253327,,,,,,,
RTN4,0.06071397088028729,-0.031541229868547085,-0.039865427075769365,-0.04253545258494727,-0.06712586106703838,-0.0658351820661389,0.016707718461596653,-0.025189173351294707,0.03595840024655162,0.011896836034250706,-0.007884276874629356,0.0034512983016143396,0.06656063329893402
HEBP1,0.02136685547067726,-0.00904075789232532,0.029466164133049855,0.029715283561746866,0.11473845800185697,0.005644359436167495,-0.02360459782563212,0.03767453775099531,0.014924942528385814,0.043504203793119076,-0.03227749091938465,-0.010089012104924263,0.011214702063251702
WNT7B,-0.021784375498493352,0.009592882177891802,-0.023953270045686696,0.15567193958783507,,-0.02346274895106967,0.11947001477501575,-0.05908597293752606,-0.03849384226002388,-0.03973826573598296,0.06536154516958197,0.012317922672459087,0.06919712142520994
PTMA,0.056794533422515406,-0.08109574573404621,0.018789529145188895,0.02498341802072031,0.11156743868374902,0.0366467296722881,0.04354553343312684,0.03959433451454017,0.010365873400070997,0.016046636718836032,-0.008895710061727066,0.01397112722334115,0.0344883401528003
FASLG,-0.00032338488289566193,,,,,,,,,,,,-0.0245461159731396
CEACAM1,-0.030247804580672846,,0.024177971086526938,0.10492275145415071,,,,0.056879406057232365,-0.012761248729574766,0.07674806894803127,0.02640805800270494,-0.025198506815642757,-0.03415231520840756
PDAP1,0.012406830083835453,0.0989394455044946,0.00036136105517547745,-0.007922677733229942,-0.015334779965346065,-0.002728837857627435,-0.03993503773040224,0.07547554298936487,-0.005270335098000711,-0.019115113505131877,0.0071251463836934335,0.04685265455847244,0.030984685949882445
QDPR,0.032405387600981196,0.007568816103523801,0.03079479011970274,-0.07750810269461947,0.13608438586762447,0.027197152175399288,-0.0026618022449601156,0.01644060177031273,-0.03502841824840863,0.0022051211883227432,0.038022987824757735,-0.06237073498475948,0.07104298177739804
POMC,-0.008053746161573939,-0.03697247309112775,0.030764619134282238,-0.013382428581259343,-5.89898325295552e-05,-0.01700837760794643,-0.018344811359090347,-0.0626249872856185,0.028071561665765667,-0.024834170207380282,0.045067143031629425,-0.041221446932630135,0.011869697125370808
CCL18,,-0.02625992797449179,,,0.07252181152475058,,,-0.03815060945993713,-0.024476590658808105,0.07986033911236516,-0.02476760769718337,-0.012456072341088906,
CCL17,,,-0.00910571392989237,-0.014384377291802022,,-0.019501037258593198,,,,-0.015797578859459184,0.005842380820440477,,-0.022248297119258933
VEGFD,,-0.02958726345066727,-0.02463534126743769,-0.015325337357044678,-0.026686278098229727,0.11076161937173747,,0.11582152895846719,,,0.025911966268362254,,
TNFSF13,,,-0.015252444100468386,,,,,,,-0.015590035732282969,0.08820334221723268,-0.002206009274806327,-0.036251743165925165
WNT5A,-0.002215187573512492,0.04149721119468723,0.06267091281745552,0.0004336292160093376,0.014053626411199074,0.045849606330149,0.008363117271427781,0.047708920672812245,-0.014224117171588724,0.025724789310210883,0.0371036108247992,0.08016694665898322,-0.03691189950076119
CXCL8,,-0.07636791767262387,0.00927846520826346,0.0007120365742436399,0.08253382328368832,-0.01930044786583359,,-0.06604190158007557,0.14070061647877338,0.0021792759295108095,-0.055769634144473966,-0.010352361276734156,0.042193194479915055
GRN,-0.09290773232357692,0.04462099163800787,-0.015798435152598485,-0.027406718569948287,0.12789455200807845,-0.0024579134923721877,-0.10382609950459501,0.058028568906661346,-0.029859410076997273,0.0459790727250676,-0.032414687997779336,-0.05198803729923446,-0.027797725812490386
MIA,-0.028513876639028754,-0.013293251527843514,0.03305112957424533,0.021408084720954564,,0.03249269158368674,-0.04122800776217931,0.01829519235533063,-0.02078800434077477,0.055074353149218026,-0.005074197761750894,0.02353845539442659,-0.01297990163925425
COL4A4,-0.025228968371433458,0.009159406400438597,0.017510457066744957,-0.015017734926165038,,0.09464601616817163,,,0.08418173508759573,-0.04174167154405439,-0.028950546316675894,-0.005530167953756078,0.009393390183838512
TAC1,-0.02178436980489478,-0.03730307013927884,0.056519790390474924,-0.056081169450904224,-0.0915742767791558,-0.049206606409130715,,,,,,-0.03415742704658849,0.030012048853583526
RARRES2,0.0008367331358058933,-0.07710781075849824,0.04441569143451904,-0.009242643427282293,-0.06767246623329627,0.06543975034823325,-0.049217298534280994,0.12205625607810197,-0.03658562127611161,0.023092942501458207,0.0006344738573340576,-0.007897795412391917,0.05616268422393104
FGF7,-0.05668122845071116,0.058477123755479435,-0.001230836826173565,0.032108861102180045,-0.005767077523849517,0.08188125437270291,0.020284972996990953,0.053658817874747036,-0.0006602794113899692,0.014427016244065338,0.07844630831358092,0.013468706164414895,0.02997731660275863
EFNA2,,,,,,,,,,,-0.017184803133805396,,
HBEGF,-0.037240126058192345,0.012225435420850434,0.029089469688203185,0.037980789136807934,0.11407230493788519,0.05870740982244306,-0.00047017998455003464,-0.03575367574060456,0.021485878342047907,0.004845012275715976,-0.02112652190188278,-0.004040346693218463,0.08976381069695312
CSF3,,-0.029784720680157976,0.01758214411007326,,,,,,,-0.039708248916477465,-0.04721186631296549,-0.014168568810695892,0.06733201323683799
PI3,,-0.03528444317248289,0.08999503190237351,,,,,-0.005357663443911691,,0.016808153232371666,-0.026588109665233325,0.04060667869399768,0.007822788203169959
PCSK1N,0.0060722697228741285,-0.039240604037064426,-0.00450163730702406,0.03137977124491687,-0.07406519270714138,-0.02747390809437967,0.0007199122006111923,0.0067114880127865165,-0.12156712970434007,0.00676440440808153,-0.001854631662936688,0.05165096110437317,-0.0033730646187272745
NTS,,,,-0.01715601645329442,-0.024026222644051295,,,,,-0.03685410701176449,-0.020936421571461392,-0.032534629384333574,-0.034687786395382385
SFRP1,-0.031696808334661916,-0.00615725084630021,-0.01929367765242573,0.03347479881358316,0.03631269990262638,0.06453731322741794,-0.04943767775519802,0.08268903695396919,0.04212052689067734,0.015112279193248077,0.02344689200418077,-0.00985945804483104,-0.0338817301190444
CXCL13,,,,,,,,,,-0.035484601075831165,-0.044152658123478565,-0.009960193880678462,
MICA,0.04618898203019725,-0.045480217488724786,0.03379490055642578,-0.017761320254384937,-0.013452445422791996,0.031185280504792356,-0.06564442492597106,0.09055778047735083,0.014331481972915727,0.10112526436012705,-0.024410679890928676,0.0031773648866565024,0.03325322244961643
TG,0.049157698542771036,-0.023743176374425294,-0.02082093496619161,-0.014491715766404307,,0.07464074096858936,0.05522720882447234,-0.060281205831222276,-0.039853612166963745,0.04113238754489548,-0.02578549186003597,-0.029731842944410457,0.05966566632126918
ADA,0.029357397735690766,-0.017940548230386856,-0.030863601602075814,-0.046925372820378515,0.07238070600013731,-0.02207853079547515,-0.022367320775523745,-0.039354665166907485,-0.014694905093644236,0.014553739752340946,0.04698332449649179,-0.011510792555600956,-0.0015418625550628878
LAMC3,0.03199478985148535,-0.01600751668927225,-0.016361782177167192,0.01022018338473005,-0.017219308030229027,-0.01928848942237693,-8.405378005820374e-06,-0.03346146528579669,0.0316312748652878,0.058990843566931885,0.04109335791268593,0.02755562721310871,-0.03422398542875548
CCL7,,,0.10180941422433358,,,,,,,-0.023676929358578316,,,0.04516393487221327
NGF,,0.048681907938229775,-0.025176382911024697,,-0.024026238463724793,,,,-0.03637375905243283,-0.011099956789445389,0.006902590035077966,-0.024349838602397162,-0.007420124936834931
TNFSF15,,0.005320303009360265,0.017827034716173872,,,,-0.04208637002646712,,0.0012353658201893335,-0.0230823474347514,,0.012580037607425891,-0.005451176978912091
HMGB1,0.09176973876826465,0.05639678142544437,0.07143410598178201,-0.061381807904819286,0.03043297579446087,0.04964569554309816,0.015097497836623735,0.04563615259685664,-0.0014398021591720833,-0.017248143917077505,-0.011723132113093605,0.11639353107462505,-0.012483332599657462
