,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.0199131482661284,,,,,,,,,,,-0.04089447239088331,,,0.10516350622519166,,
BMP1,0.001991740741707936,-0.030007561767511477,0.04342180021369715,0.01061823854598438,-0.008780202206561729,-0.0260478739213961,0.02233839954825864,0.013703431197599682,-0.006283476258423292,-0.038025119712513246,-0.049156212850201504,0.053831868372187536,-0.11764643808305338,0.07186041695023251,0.04677744446594933,0.05902459663087321,0.024085578272113738,0.057634903261941664,-0.04843316394249833,0.0029398324258979773,-0.05951870194986612,0.031027306187883668,0.0429923470894846,0.07219383963742933
NDP,0.021520005198520712,-0.0027807704465472706,-0.031605697172622634,0.010024524733019636,-0.02706885061604527,0.11339503977717391,0.04328825758545844,-0.02802474098529907,-0.018582234094453066,-0.01494016609354008,0.05229975915721356,0.07180152273525117,0.015139301245876643,0.09105983250853673,0.1652335040987314,-0.017457184879436153,-0.025994193173765737,0.0060558536441235,0.031720691600923855,0.01356657063192432,0.08246088316671583,0.1036870649434588,0.03707980550144273,0.11243827498464394
TNFSF18,0.00914603826866329,-0.011089398835953838,0.05333924970492967,-0.01772102632864135,,,-0.04277778775338425,-0.016657281139932683,-0.02650539955197026,,,,,0.10138347294862454,,-0.05649540915424899,,,0.025121965266131027,,0.013103756828809333,-0.023879713384567236,0.004219100179675358,
IL36G,,,,,,,,,,,,,0.02542143584399648,,,,,,,,,,,
RTN4,0.008238062902709628,0.07159689185729398,-0.004097059813730064,0.014748935365764656,-0.0003516157630435732,0.07920724942347082,0.1404278557871043,0.020478217998029315,0.02660284891596966,0.04599292159937266,0.09346945216765609,-0.030196326648370186,0.15296326684907394,0.04757274393573828,-0.16664506640649704,-0.032606042797817834,-0.08404042477011965,-0.03645691126047448,0.03507931282313181,-0.05399303609267908,-0.02667305485856653,0.01486179060522345,0.05892241942906902,0.0802566689611315
HEBP1,0.01176156038280426,-0.05604972350698339,-0.005668688264249212,0.0313459363175436,-0.010266695322181092,0.004672126220976711,-0.025349437428421332,-0.028410242945190303,0.002796750732062466,0.013604555364915607,-0.05613411290857315,-0.002289066955162025,-0.0178315603247599,0.12944813028069466,0.013063201034985459,0.07465261684911867,0.09462031831967105,0.03437791644399138,0.002721701466282771,-0.03067210261529381,-0.009451125601324955,0.09160255727363963,-0.04020165683952873,0.10490814836764184
WNT7B,0.018273563579838486,0.0799440499402527,0.07753834604558327,0.0277708038995666,-0.01203880505464727,0.030364285365315012,0.06081396654342737,-0.019052730860690995,-0.06760426632461247,0.013425724403725744,,0.03706542212255493,0.05504263643692856,0.23806443678529596,-0.060303813747841176,,-0.02428596674288283,0.01433116828630388,-0.08158317996538302,0.024279607788321344,0.032387510737568855,-0.04285483035931321,-0.025271757824389514,-0.010923901920337417
PTMA,0.010331832215461773,0.03382997335992031,-0.00950043749270713,0.01419893913886659,-0.0240701427443811,-0.074662100508151,-0.12206957424943861,0.008032911041396792,-0.0030667036540324073,-0.001451991062603105,-0.08071674877796028,0.05896910932730249,-0.10386215574630943,0.10079990793886799,-0.0036992088395049793,-0.024914090646887807,-0.06734767531766903,-0.056952323242255354,0.00557544504071483,-0.03211721452433545,-0.0523745397377674,-0.07943985492422774,-0.00719840127442332,0.007329081600958817
FASLG,-0.008874813231798635,,,,,,,,,,,,,,,,,,,,,-0.023178586761545068,,
