,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.020940973082832836,,,,,,,,,-0.021872564065176386,,0.13551824166824497,
BMP1,0.07573655028255695,-0.02948127066870161,0.009820622120293075,-0.04138329635153077,-0.0184288433773917,0.05307375788142447,-0.028112895670441344,-0.00025053110831624255,-0.06633991063700387,-0.006863266476812544,0.10038978097999263,0.1295422417299195,0.01927776429718675,0.009307795955689636,0.07910498160155052,-0.03476076658742423,0.14378920737285586,0.06912001001189945
NDP,0.02020410866564494,0.021858814265466157,0.024738755742223974,0.08937837582366674,0.01613959214197062,0.012822828645760202,0.035829417058764815,-0.036815334838014684,-0.050773251429078785,-0.013846834389259651,-0.02337066489571559,-0.007444560704827203,0.03743841367545915,0.07295899479934075,0.002329415379515067,-0.00925922944578735,-0.05290213395953859,0.0021132567154438634
TNFSF18,-0.0004039087383313217,-0.02872124382599548,,,-0.01816805116702588,-0.01780762823228249,-0.0012102976878439412,,,,,-0.001158667043346812,,,-0.022556789246988482,,0.03901890663897356,0.03503718493700502
IL36G,,,,,,,,,,0.04061134010832445,,,,,,,,
RTN4,0.014530348400744483,-0.012542235789914803,-0.03029159696821159,0.006494240069833138,0.009567768955818453,-0.1042884168555551,-0.03150822989629373,0.01033930903460495,0.13462443557790843,-0.021017901532680718,0.06242755979511041,0.014103970397960163,-0.010787983241957766,-0.026732365613495974,-0.1360400052403928,0.06553836708142001,0.003562365229997568,0.002445206062537845
HEBP1,-0.01257982831615742,-0.011591072151880679,0.015945663059372825,-0.002383961731804829,-0.009302037853533549,0.02933893047775465,0.008467795494109583,0.014714218472334903,-0.12547225376601304,-0.043591828816330926,0.0399422096097253,0.025627661430954466,0.04375494241575139,0.06705586867849163,0.00781511169101662,0.0007963170298729077,-0.0004954108876898381,-0.022368984291963653
WNT7B,0.007705192654619333,0.0002456822493235746,0.06434918307566675,0.012396798177813015,0.004973203281120405,-0.056138798844026304,-1.4952190514025618e-06,-0.017542923523671813,,0.03268535931275867,0.004727047240450987,,-0.02660736058474771,0.018753613856997663,0.03230846914625445,0.02853011989637042,-0.026179942788774554,-0.01627628058146524
PTMA,-0.06637413073805946,0.029508890082718287,-0.010342249410566988,-0.027076408494097082,-0.045371652193265506,-0.07336889902307052,-0.061737159426044234,0.005350358294353144,-0.17301463394290353,-0.004991611458517895,-0.10320626698044943,0.11428448906289852,-0.04289120651640566,-0.022735381810288773,-0.12146749294806027,-0.02608109968365031,0.014036209848087278,0.07554444322721106
FASLG,,,,,,,,,,,,,,,,,-0.018320045841220267,
CEACAM1,-0.023605605573845154,-0.013691699768744367,-0.0043084926917082616,0.02948411817868656,,-0.003438737182542744,-0.006289845568229102,,,,-0.03633212527564647,0.1488102886919051,0.05357761745572086,0.01605766240165315,0.01484197286046056,-0.03330426327425002,0.0390949695284284,
PDAP1,0.010231027082407702,-0.00639661932891409,-0.02536340563133718,0.00012181394345932582,0.022598805021306564,0.04874422654804855,-0.011668988092095087,-0.009371422110211006,0.00910467641195875,-0.0030061249504233323,0.007755210492681182,-0.007507282913406589,-0.032018774567606746,4.511698955179817e-05,0.017172480885517687,0.050040558546421185,-0.03443088522816596,0.055122637749982134
QDPR,-0.031995922891686235,-0.01274180092298263,-0.012666515781076877,0.05380081643303061,-4.6108439235160125e-05,-0.06875738314062019,-0.04866678979560024,0.02219936440496297,-0.11258229822321315,0.022419418948014014,0.09379503881060194,0.07239678734103788,-0.0035395045633158065,0.04467043140762854,-0.08215001044468949,-0.03702079486866174,-0.02545257377499148,-0.040246118534612414
POMC,0.08863260800494574,0.0027107657415484957,0.029449783973470558,0.08276348106893348,0.05164777685230888,0.02080950758978114,-0.02007223449887499,0.011923827101550296,-0.02071789287750849,-0.0392674619456857,0.12622955102268127,-0.010495055049402586,0.13533469740946752,0.07377640382690487,0.026311936206376986,-0.003247662382359661,0.034412110899850606,-0.04456617436988477
CCL18,-0.029457565403480386,,,,,,,,-0.0661486034680027,,-0.00809601348688152,,0.010562210079121996,-0.061694842359652925,,0.015136052617810796,,
CCL17,,,0.028570617764754676,,,,-0.02157505211914026,0.0749926536331857,,-0.019860180363298507,,,-0.035321393035667,-0.046585122475853044,0.023906897192346205,,-0.016605063854498656,
