,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.02081493194728201,,,,,,,,,,,
BMP1,-0.06653400527773853,-0.1018664242151807,-0.03810436325412814,-0.05909308009863123,-0.06077357425738394,-0.10549825537525889,-0.08524069793465991,-0.0996975270187644,0.029535822089197215,-0.06675459717179973,-0.26284278618356227,0.04767528004528103,-0.05475580440853448,-0.08384142994944864,0.01517746022105918,-0.023696006580747542,-0.12388452925317561,0.014455868415555153
NDP,-0.11627803573734159,0.042561684495275684,-0.013750200743065868,0.0036803800128869632,0.08980094451177309,0.04304102924738995,0.07024891355738078,0.08225682107693108,-0.024824929458340722,-0.0114541144892713,-0.052160822669243295,0.037216588421531104,0.034371053317580016,0.16095627047144911,-0.051657838386681657,0.09533332631670036,0.14021733095165162,-0.08726464532445187
TNFSF18,-0.018681603155222767,0.002559251926639471,0.021310841317195434,,,-0.009456669745871364,-0.030909549060333084,-0.010664189439471687,,,,0.15413571837715917,,,,0.04593160714548948,-0.04830790711440441,
IL36G,,,,,,,,,,,0.004760986334050707,,,,,,,
RTN4,0.20117084881819644,0.044617530799745696,0.04293462800559872,0.016703897241659223,0.15468789537504743,0.2521283910396184,0.11755183556657804,0.1420625233717217,0.15221048927079217,0.34535924895429015,0.41046359737091315,0.03569019555203819,0.1151310347489322,0.004421132135901512,0.18761237096790168,-0.06907267070068641,0.20466413787200494,0.05506772063308346
HEBP1,-0.0755124507122444,0.0009056275231309365,0.044198106023565865,0.006882596171141573,-0.024293687708124293,-0.07571786909335843,-0.037898222967204236,0.0005173208229836269,-0.06134488741803696,-0.076482643284243,-0.048584659025113455,-0.04564269652102754,0.10324928006808126,0.10420666544927215,-0.005389879898777477,0.012335940452430737,-0.02194786184837776,-0.053618843718347894
WNT7B,0.14983738254525322,0.03700802674315928,-0.030735193074148077,-0.0033903677851157762,0.028852579059270172,0.030975895990099766,0.023146258755195204,-0.05107601388852823,0.06652899901487701,,0.05320076829264027,,-0.04011170534970293,0.08539947435767124,0.03471891539470017,0.02302528604891039,0.140351123899907,-0.022327551694874288
PTMA,-0.06261972596727176,0.0992639541082012,-0.03501746503696941,-0.031228527515124522,-0.10263965806171607,-0.2897495056929972,0.04572681336473006,0.15418946985246101,-0.13577393982810756,-0.35051523504779253,-0.4078205266595337,0.0628951929141497,-0.042887558782171466,-0.038418828421039344,-0.006824278604239007,-0.05681687722994298,-0.21170483824083408,-0.15040074303315235
CEACAM1,,-0.026874819684976525,-0.02358741208702373,-0.010836243279364752,0.033940346589845544,,-0.04067520608711942,0.022968832076176036,,,,-0.03981262580838777,0.07585546249039572,0.09068385019570237,-0.018729588313564922,,,
PDAP1,0.02385878918156824,0.028476482519780605,-0.007730729597456706,0.039551229085942594,-0.019086200566160404,-0.17012653843258896,-0.005944815270902251,-0.027219298188525382,-0.04139991853439259,-0.03108920777093431,-0.17208669188491818,0.09787225770247664,-0.06539324297168003,-0.1282084095514415,0.018896879020987405,0.03890700971974147,-0.08411899864362096,0.015063553192305575
QDPR,0.09052909466278668,0.05457210486453645,0.034904781259757406,0.0563005339865598,0.14050814667685937,0.2161155353389143,0.08219278865082418,0.11440746353814664,-0.011111967086107654,-0.1527020827404188,0.10349294404216601,0.0981015815699203,0.13645951290531524,0.21588626350671708,-0.0018469903527174184,0.06799801371521927,0.2700942090589837,0.023756480450356478
POMC,0.14469955815744998,-0.007774860974819743,0.05592823173732819,-0.01834946868512019,0.0907330880670177,0.06667112257583412,-0.020368783764040936,-0.016631893621983005,0.010811088406517406,-0.05279449773066089,0.10554499394555264,-0.0020973659173861947,0.046067487006115584,0.06700348552215557,-0.013096223452559596,,0.01700480092630373,-0.048990309566172306
CCL18,0.0715801819033462,-0.009143683407249706,,,,,,,,-0.12846452022529067,,,0.041019575360952173,-0.02058461689770463,-0.009865747012249602,,,
CCL17,,,,-0.017867070665586907,,,,0.04317621033372117,-0.01635482320226498,,0.025094776610109632,,-0.06349948469280137,-0.05810345737569983,,,,
VEGFD,-0.028228046006941464,-0.04356497410133592,-0.03378423548712616,-0.01990588977708306,0.03782483756225987,,-0.012487964680278778,0.032577249507888886,0.050180004749648684,0.08560366433154887,-0.022657124307892355,-0.0012886359385573187,,0.08439043541341593,,,,
TNFSF13,,0.0794664665671717,,-0.01232430546827262,,0.03986187741604825,,,,,,,-0.009443777074982115,0.0526011842651179,0.06585468378361588,,0.04493518069651162,
WNT5A,-0.0028048718829306535,-0.03370701570855498,-0.0115152944359774,0.07344077973984321,-0.03852161655213538,-0.2026562551171162,-0.08428689371919752,-0.031020656632649853,-0.003400063934439215,0.04506998984865914,-0.12108916753942635,0.008853727190408738,0.054872121109703374,0.05325303319779829,0.0012472147317888216,0.05925854796754001,-0.17943004906470317,0.08827076300526532
