,UKF313,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH916T1
IGFL3,,,,,,0.1687205981509282
BMP1,-0.06981654373757983,0.046711027869847606,0.04168488176238226,0.003939268532307022,-0.006339313309441934,0.04486174103807819
NDP,0.065072722719303,-0.04083007940656223,0.0751658247688215,0.05731052858781201,0.05850217526629338,0.005601046626054181
TNFSF18,,0.024405271079969922,,,,0.035456038683722386
RTN4,0.004085664482300662,-0.02705144248627037,0.022086959654726502,-0.007826686910691343,-0.07122653660176542,-0.03614672699213296
HEBP1,-0.0071471822782713645,-0.013513338398572506,-0.05188339952822605,-0.0034573944369561895,-0.0033691044039961173,0.039955638935711614
WNT7B,-0.005769729321882382,,0.058999713132607066,-0.03847817785122528,0.033342459412579135,-0.034053139825514084
PTMA,-0.03500967859507694,0.03254725202604418,-0.0303928951649617,-0.005662945683522848,-0.004496834903666234,0.018345215138123937
FASLG,,,,,,0.0456476414886294
CEACAM1,,-0.04464457864064804,0.09832517547742212,-0.021561220865606762,0.0231612593571878,-0.019252392079059242
PDAP1,-0.084545593980474,0.04400531910249189,0.037778440639283116,0.07662793643367159,-0.03622556016388595,-0.01538572084420697
QDPR,-0.051114627435587555,0.024127917550119664,0.025880564042058407,-0.0387861981838239,0.06034982195843854,0.03332056229621702
POMC,-0.026341207468962003,0.02166181816122831,0.05377377470695555,0.003987007939487928,0.052922871496588184,0.0010658804217300046
CCL18,-0.07006777088108763,,-0.019964883929448833,-0.0394567697013146,-0.008943904026834856,
CCL17,,,,-0.015296642611723458,-0.02771748445968759,-0.012541841940072367
VEGFD,-0.017797184568592875,0.15384414348361172,,,0.1257916061680065,
TNFSF13,,,,0.01719415182100335,-0.03012795797703571,-0.02043588461633581
WNT5A,-0.0069127577605482575,-0.07867391367559087,-0.009080058807070733,-0.018236170716077384,-0.025768887877517715,0.04684698306825504
CXCL8,-0.06283987608749458,0.10099444181251858,-0.035151321493671464,-0.07909768775101973,-0.08822496526885323,0.03702322469927755
GRN,0.03407187481283464,0.023897791298361674,0.035912013988523006,0.04314859155329558,-0.07410012933979543,0.005195362603840795
MIA,-0.02413617959117465,0.03327546695811507,0.038076776893381285,0.022710135392934393,0.08900658576578917,0.03646357367889734
COL4A4,,-0.006037183244143867,-0.02524185138012182,0.007519871071590288,0.1028618043914069,0.07972600749865287
TAC1,,,,,,-0.01648752653839142
RARRES2,0.028469224896820078,0.004898223089497998,0.00636863970083011,-0.013084197227657362,-0.02577918914803606,0.05604506198091792
FGF7,-0.028290743832602806,0.0701702298860578,0.0337914845283521,0.01440911573300787,0.02071231613734599,0.03702231053967629
EFNA2,,,,,-0.018249025546303088,
HBEGF,-0.09444248969473591,0.07678876697340738,-0.02085677692219746,-0.08214739177579665,0.036617131916222484,-0.053929894741294976
CSF3,-0.02673717736210779,,,-0.03431518187825483,-0.058274705231738284,-0.013204624755413957
PI3,,,,-0.029725675998548466,-0.10663408634254229,-0.028689262786996433
PCSK1N,-0.02722953773915164,0.04491512335924754,-0.041362880579705615,0.0014172679510215753,-0.015382984198324871,-0.02653652924301578
NTS,,,,-0.03568547489133866,-0.02223297463060112,0.13094838995536565
SFRP1,-0.018002502587108074,-0.04384119339312402,0.03151041226951531,-0.021642072794695075,0.00771403101507473,-0.01909985746465968
CXCL13,0.037921918122762556,,,-0.03435939555709546,-0.046886948879124195,
MICA,0.06950114883976787,0.006313311672990232,0.05668639821971941,-0.0498997843466569,0.004047794868449162,0.05921662166711876
TG,-0.004554732808241088,0.008760505591389052,-0.03250749878420553,-0.020325413651145367,0.003332543152438692,-0.009507465237382155
ADA,-0.05579555168732499,-0.0573375175977328,0.05975228210776433,-0.0009780311991406977,0.025227487089908008,0.025411765152093486
LAMC3,-0.0072577307728173696,0.026244223374395186,-0.027179987441890503,0.02169220767813507,0.013832521898149854,0.11113672052212616
CCL7,,,,0.0566840773161887,,-0.013837166757463026
NGF,0.018736069869815002,-0.13487166676029214,-0.02966907800528305,-0.02647785792829671,0.1396266281683577,0.09146352081194255
TNFSF15,-0.017026760080668953,-0.03805879064778125,0.0181327647189542,-0.003468258531496503,,-0.03656019024554688
HMGB1,-0.08852594360894045,-0.10289807437633869,0.08051567623276962,0.07741506443051348,-0.030372467296351846,-0.03776139003344243
