,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF269,UKF275,UKF334,ZH1019T1,ZH8811Abulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.013977907073147177,,,,,-0.029827637073382356,
BMP1,0.07050201206980997,0.05800980874192539,-0.07815661287742934,0.09619642796624452,-0.042250282225183074,0.018076393313707292,-0.006299162340561607,0.014045571034339012,0.08576481768106324,-0.01024231598100838,-0.016722916203943703,-0.007354956533803164,0.043606347414553
NDP,0.03536725606096608,0.038751760228238744,-0.05929058906054298,0.07769973885521833,0.007484860194148976,6.070306525790395e-05,-0.03523356951639323,-0.0332702805289451,0.013413121565377892,0.09350393676917935,0.07172840295722763,0.0745502738195157,-0.021590432868954353
TNFSF18,-0.034392329292227776,-0.03151832055434383,0.021448854433152795,,,,-0.020756772375354136,-0.018617219447007706,,0.039715756399076776,,0.0017169407869471055,0.07299481461405577
IL36G,,,,,,,,,0.10045244223910686,,,,
RTN4,-0.04022866739914293,-0.038327185792540554,-0.007026931539131764,0.10799933432082501,0.013061974790681519,0.02515407850447381,0.0032090268260445164,0.02198217748573202,-0.04646258249511647,0.023364926218592482,-0.03459355947976846,0.07017610746947896,-0.10928840909603213
HEBP1,0.0748666054308728,0.005944736971719699,-0.06519828660531202,0.0024675975887753806,-0.00012472441788354886,-0.00976214901277583,-0.045822925810242256,-0.026547695882899885,0.03385760178036681,-0.01408137022092732,-0.06124656540146446,0.07380585304914322,0.041725945153806156
WNT7B,-0.05008629157981536,0.007356067677282577,-0.0031817534448144507,0.01995184815399972,0.029063730306715115,-0.056421422642955674,0.009418942389866866,-0.007721155387782978,-0.018336983160976657,,0.03657277762641329,0.018810285106214724,0.0865878277080382
PTMA,-0.006083476058941063,0.05247649909829199,-0.010985704698086272,-0.008272722658231228,0.054015699466658906,-0.024579855839376722,0.03760153588548503,-0.031771985641134114,0.11984759101390584,-0.047888184611603025,-0.006542497313149246,-0.11637397413459066,0.05451128386360271
FASLG,,,,,,,,,,,,-0.02586949945789909,
