,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019inf,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.07589564853998101,,,,,,,,-0.018791211493129623,,,0.084662864058219,,
BMP1,0.023396711374509615,-0.03865248233161186,0.06805818554878262,0.03847873542746136,0.09258002057836086,-0.007320669976582893,0.050145712500063985,-0.24426611495402148,-0.5318022517185081,-0.11751072524233752,0.029184032649034162,-0.15773687722239338,-0.29222429019308166,-0.004351997040649526,0.12940027472656657,0.047295937906603504,0.023307912091410577,-0.11834978845179495,-0.06190195213896066,-0.03602786637933126,-0.1405495682196093,-0.0041769675066954635
NDP,0.1014152257877048,-0.041088779712142295,0.1277714240531706,-0.00950775740829576,0.05862451100947937,-0.011569113420949965,0.1265348839265515,0.06981378644259499,-0.10729658401198217,0.09188941379262769,0.030279375582976657,-0.028975955764222024,-0.005785217296408305,-0.002911458268160618,0.13090711906323957,0.03601576571446954,-0.048572295078639416,0.09749933525091005,0.022746933586732798,0.3739986282513638,0.1831623684652195,-0.049035614288746525
TNFSF18,0.12745707036621753,-0.0479965176943586,-0.0006542143736237795,0.018454766389106817,,,,-0.04814089033135411,-0.10128341542007013,-0.055432455986036175,,,,-0.04576774896917865,,,0.03750172210575485,,-0.015113918435432631,0.051047289161644485,-0.07812349467162087,
IL36G,,,,,,,,,,,,,-0.0018201617000971335,,,,,,,,,
RTN4,0.07595655625340265,0.37296298068140554,0.12052180215459903,0.10865780013327274,0.07663604634272832,0.11142181347057047,0.03997326563173884,0.5877958213942083,0.6306170487454259,0.2102257947228782,-0.17709157299512227,0.4572524431833394,0.4624396704201013,0.044287273368343476,0.02700757400529703,0.010008941913086567,0.05171973600088981,-0.02708164313924889,0.014265164585133328,-0.1554595340538743,0.28024747522742244,0.06041708656670425
HEBP1,0.048543454600395976,-0.10980316665041405,0.028772522346027767,-0.01705405654083347,-0.0734030455657589,-0.07230942282057257,0.02633671736360527,-0.18091460351617952,-0.2425428311112646,0.02146284238431854,0.04529593677351442,-0.12589892360916916,-0.07259333647051823,0.0236357543243677,-0.05814469667842293,0.02845393703382337,0.03150536232512386,-0.02163415477958081,-0.05426280472426462,0.2558204637984187,0.02710745413475234,-0.007071881969339622
WNT7B,0.15579954503531696,0.4044009838366592,0.07701816326071398,0.015615752099300393,-0.0012729022203967998,-0.009101229651481843,0.06508902855752793,0.11385121081796355,0.45672276933534384,0.0010674553030873986,-0.12287859217804298,,0.11820755089707505,-0.02265721691243861,-0.06717962587211228,-0.045518949229032046,0.03255974809256392,-0.012650415841048205,0.005077422988077828,-0.04735968193786066,0.01899599588103248,-0.03676574525661598
PTMA,0.1480484713870243,-0.0012150980725259828,0.13554495028144609,-0.15180313441360616,0.4309658475586163,-0.007000864353728667,-0.019943554730572893,-0.5778577150155636,0.15342884278653468,0.1050861201144404,0.18334520408315544,-0.47767311869324824,-0.4880095171856558,0.019262100336426575,-0.11271714473120847,-0.090285554340506,0.07740522629062126,-0.1861182148447991,-0.0628535508632203,-0.25609273586022147,-0.25534247385878817,-0.21319832603566988
FASLG,0.05960242320420101,,,,,,,,,,,,,,,,,,,-0.041009430639303845,,
CEACAM1,-0.006034466860625449,,0.053979635316026134,-0.01358735426448482,,0.032679678230600334,0.005684915155559534,,-0.09917295577176499,0.02002409257248499,,,,,-0.05183785450014585,0.03243907982371887,0.03137857027567726,-0.013064426601985611,,0.0815316832155235,,
PDAP1,-0.01671687531260694,-0.1173971845686058,0.0972249016980883,-0.0005914765522246779,-0.009994870688182776,0.035117043087986695,-0.07371836595938476,-0.18673391776960763,-0.38729563635541325,0.010331295212453405,0.015702928766387077,-0.04657848783759021,-0.246643893655294,0.06732934979037888,-0.019636097047666043,-0.0041936222428817825,-0.007918539845958724,-0.12463561999212038,0.0029230898350707563,0.07138316138858003,-0.11174430003886777,0.0979331258835975
QDPR,0.26266145900283555,0.1966515246004966,0.016964106297137592,0.022314912158029068,0.20388376580894432,0.03276123014058887,0.14703802319481937,0.18112333027234748,0.17698002598175144,0.2119516201445222,0.06786952377068002,-0.24448241026586853,0.08240309083403453,0.040230900328635424,0.05555272562512522,-0.0007340062708708853,0.06414809858501086,0.11277116851255016,-0.16305892299047378,0.20839485297103266,0.3673542237785873,-0.015224885817024891
POMC,0.02181671075927404,0.22073451660894136,0.039532097203810866,-0.008700750709704122,,0.07333196274329945,0.07719519222445409,0.010560075596352062,0.022981119297437555,-0.038398919667548104,0.03251197269456516,-0.08318264124273053,0.10883929457909929,-0.03848185857311669,-0.007207308639933942,-0.028866302177233523,-0.02145090170512475,0.004928313146208972,,0.11146991722003466,0.1190387425676377,0.061377938890453385
CCL18,,0.0005553928220955383,-0.08442506360991216,,,,,,,,,-0.15407973412225562,,,0.00945365926525743,-0.03754512044696623,,-0.030481742428898204,,,,
CCL17,,,,,,0.007906753053171095,,,,0.04118584651450036,-0.06909867643462644,,0.030027730589808063,,,,-0.023985235362477073,,,0.023373688986605565,,
VEGFD,,-0.04585998291609721,0.06751489159154091,-0.010119619356876934,,0.03657218882591492,0.07500807885134077,,-0.12176973162515933,0.05700748004536957,-0.008211781936740345,0.0178169088094133,-0.015508327134158357,,-0.02745868071961943,,0.04037198548206932,,,,,
TNFSF13,,,0.14789186251845665,,,0.04038118200432979,,-0.019143565084410483,,,,,,,,,-0.012532271683582109,-0.030945884257692183,,0.021587529315454955,0.08854263618151478,
WNT5A,-0.02523191400681434,-0.08313502292582177,0.028263566657499177,-0.1020932503187034,0.09345447015022099,0.04066859357834082,0.2587989118611136,-0.37372505852694443,-0.39977700688800905,0.006406683787154305,0.09278227796888643,0.09539644743014242,-0.13440899556633149,0.05643657340389986,-0.06156601379592846,-0.02369421613846714,-0.0793041244777202,-0.06543191508835024,-0.03320476487485198,0.006064824875255365,-0.19379241868921637,0.036668582942048354
CXCL8,,-0.177180357199059,-0.11312571440498356,-0.015656118777009485,-0.3111439730934517,-0.05178769604632421,-0.4156097207138961,-0.018905779751448474,-0.16737131136604688,-0.19457741184951532,-0.015838854324224317,-0.1964951357687373,-0.14893012543750475,,-0.08299915614245325,-0.066104095772039,0.06022058147239214,-0.020262567998181068,-0.031657717256157285,-0.06712147355701308,-0.29120918389725736,0.03977993436931472
GRN,0.05725681339249951,-0.1323563751156628,0.012292762224088736,-0.03830631068305484,0.11058433319296716,-0.030517968337317455,0.039136252705098955,-0.28019947260204975,-0.5199005002401391,0.056639416486933755,0.026948613643622995,-0.2547723244312753,0.08655332028363856,-0.04634057893719304,-0.0968920685086535,0.0475851187462882,0.0020519949935408487,-0.010887798511188028,-0.05109582927033597,-0.22370739641859358,0.12977519664394793,-0.020551243524118763
MIA,0.09216403867138231,-0.03726909609560743,0.00046469126666694925,0.06963880990785802,-0.050932897907845276,-0.02415759160592005,-0.09912606008098451,-0.11104201088484891,-0.18910573105428838,-0.13913607711247405,-0.007422918238915828,,-0.03342797324394229,-0.03732817255739528,-0.013435460779828686,0.05970451998871695,0.002990140942984015,-0.14943776231332467,,0.3092116314736508,-0.09177189452203778,
