,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1
IGFL3,,,,,,,-0.021438596226083087,,,,,,,,,-0.01950571351602885,
BMP1,0.04512419445317055,0.005542422194137712,0.0019775770262777203,0.007252634965002529,0.006765354566478465,0.03345157948687307,-0.06742518403612825,0.09945133194578615,0.06948807669061964,-0.018246642814112445,-0.026551178503036163,0.054402055641827665,0.0012253056470354132,-0.02682870859294378,-0.03882607400403706,0.03519256978076187,0.04437362150936086
NDP,0.005376977052504254,0.03506542803064411,0.012099437242931813,-0.04135745190400275,0.08021869940804086,0.0027192028285984173,-0.03641501915321349,-0.09787186691107623,0.001810907806329746,0.03102355956825308,-0.0435113501604102,0.02065020711337502,0.013411853156462076,0.05036165215617891,0.10127473568156495,-0.0019773011103425943,-0.027515051818123096
TNFSF18,0.06564338421192671,0.023537775179630457,,,,-0.01990658342258767,-0.03183567179143797,0.021799718087768476,,,0.000613817444739471,-0.054902483636158614,,,,-0.020115898053018194,
IL36G,,,,,,,,,,-0.027566443135863445,,,,,,,
RTN4,0.02273134706136447,0.10374431402830593,-0.005920888762709576,0.028570106937558026,0.0853427116416375,0.023647213959868085,0.11179083278855619,-0.08907101026492686,-0.060908086807916755,0.00311438541163733,-0.11371066969075651,-0.04003320049543959,-0.03471282571505536,-0.035050229565604565,0.02770551393472031,-0.023667765322709495,0.006043424410989878
HEBP1,0.06249657396082995,0.013963398992159535,0.04721141799336936,-0.022292169665260333,0.04954340258613518,-0.017458755569281094,-0.0053509322555700435,-0.06016874921765339,0.05708753790409959,-0.014746668396024683,-0.019793207516395836,0.0013547860558679639,0.06659750253519339,0.06926137826032341,0.05263243809497218,0.07795637668600522,-0.04688085947967526
WNT7B,-0.02287710886017918,0.010865007130434359,-0.03159404002354135,0.04511614703397416,0.007709110544236906,0.04232975437754309,0.10902538105848728,0.040731846667846405,-0.03337115094814593,0.014805814930805697,-0.006918749905243122,,-0.04852299548303556,0.009803680920200002,-0.007845627827842722,0.009148664905356069,-0.022040302499365144
PTMA,0.124339342025912,0.034916648441714916,-0.05297504716475024,0.01955715537309623,0.014217892886107466,-0.05719761419516789,-0.020326714408927745,-0.10211565107300477,0.05982223921106457,0.006029310782420352,-0.06857194603253114,-0.10400457924451187,0.0014161191457193977,-0.06609473701784534,-0.010217669451369043,-0.049056177167804776,0.07829024769669564
CEACAM1,0.016734149025731636,-0.024055902924627767,,0.0005730500880871288,-0.017345624752723506,,-0.023585307715771456,-0.01483682023207769,,,,0.036303496983031563,0.0696716632056149,0.002753062392099653,0.05658086003517185,-0.02890444537400528,0.002315539804798155
