,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.03171829707546267,,,,,,,,,,,0.071077126716278,,
BMP1,0.00671610279309791,0.009539436958488523,0.07584600332736717,-0.010283026060330835,-0.008159580143132129,-0.030075124290382466,-0.13827018613655984,-0.1691106592923629,-0.04763659100215594,-0.02812427930821831,-0.15590073642467447,-0.0034378920528945335,-0.14677262189118495,-0.005764134474314127,0.04004385090723867,0.026800666487279946,-0.03361643518415146,0.169194738799179,0.07140439118018234,-0.08419980149590182,0.08314741894464511
NDP,-0.008114136083382514,-0.02554658969409618,-0.008567231195243248,0.035764046195467566,0.005440305521113527,0.10165277546149645,0.007006364410148374,-0.052539120384292363,0.06265464380480527,-0.0013219932530303348,-0.040701761744897355,0.011262320818273448,0.005795613462094401,-0.054493162056367596,0.023069913520123067,0.04197943495532584,-0.023161478657103256,-0.10223873334623543,0.046801381237852005,0.055445223149131785,-0.03463463275429422
TNFSF18,0.06698180956148114,-0.014507009176317658,0.09197805027214219,-0.03009741805995945,,,-0.030728593922937888,-0.02554526876208549,0.004038500496772307,,,,,,,,,0.12134002673525907,-0.05467634042405916,-0.06531299291819787,
IL36G,,,,,,,,,,,,,-0.030078314729421296,,,,,,,,
RTN4,0.002265752870505242,0.13254597934402662,0.04640663043949105,-0.0017767902606492185,-0.01697426245785822,0.12511149306364963,0.41323466969504047,0.2780136785998775,0.20729198698828918,0.09034109780209859,0.39274855774407696,0.03524494852756588,0.26983629233151835,-0.005914228773962274,0.022755236719458578,-0.013928225884143141,0.09332113762039106,-0.0588635691426086,0.07223345219489442,0.30207682555816995,0.17400965443769956
HEBP1,-0.019444815062898566,-0.07260982314016468,0.1034900290037884,0.006872473507681129,0.0020732679390391973,-0.010824383303420837,-0.12357771510911476,-0.08814933638555243,0.0036404353155340716,0.049840806026846415,-0.12710534058527842,-0.01347547589479602,-0.029557388202607515,0.02068796071212385,0.008023114592759386,0.008914921945970088,0.05138382164110385,0.09890391082603825,0.08567696947967042,0.06001292450896329,-0.05249307757531958
WNT7B,-0.02526378541125234,0.1688133172932094,0.0035622309721571573,-0.024072645326795962,0.02352737383451791,0.09219974568014506,0.11780447720170424,0.20934964256029803,-0.0008878783514907935,0.0774570658612969,,-0.053592793045480876,0.11344635861506878,-0.017652168619386004,0.043025728522509535,0.0718390904861005,-0.02492195876928141,0.04344927524284891,0.015961036102517364,0.001648638489491935,0.044315134693862016
PTMA,0.04011135770848285,0.0023692290860892694,0.09461364053586732,-0.0184699113569836,0.08875810049465785,-0.0994893281221181,-0.41548918816417013,0.018655178269283982,0.0571336557293892,-0.053159823515442024,-0.4590330765698006,-0.07851249860537432,-0.2642828160881308,-0.03200765742056657,-0.04982092034363344,-0.03007037119901895,-0.07791909481657494,-0.15418313686086918,-0.009409525346043382,-0.18214256316997537,-0.06973988045267919
FASLG,0.14629966683938758,,,,,,,,,,,,,,,,,,0.057266638883068835,,
