,MGH258,UKF243,UKF260,UKF269,UKF304,ZH1007inf,ZH1019T1,ZH1019inf,ZH8812bulk,ZH916bulk
IGFL3,,,,-0.005489158745932595,,,,,-0.024031213420865234,
BMP1,0.03972134826912897,0.03562512420431718,0.03680480496848146,0.02778440364604531,-0.09080541553410865,0.05952756786828747,0.055547878991188515,-0.06754983372288066,0.02856170911065079,-0.024884651559347375
NDP,0.06083111198407862,0.046439548553502095,0.016002864389080378,0.03690510819448076,-0.09189680433627419,0.04342160134456436,0.03952533341108799,0.0023257914986035606,0.02621275581453096,0.005968772299609688
TNFSF18,-0.01871251888680054,-0.022596681215623804,,-0.03327067581525893,,-0.03507501758391459,0.006459653647666887,,0.015623378845842384,0.12496293719061977
RTN4,0.06266088872409784,0.054245259458930675,0.06001907828833602,-0.03006472966308254,0.270509213587095,-0.08860523796191186,-0.06289440670509241,-0.021942535169885723,-0.035450019623603675,-0.048871135391177246
HEBP1,0.010011350853529265,0.03952888777152023,0.08146967115113853,0.021251947737868558,-0.11886792769616152,0.054057818526653784,-0.03727675666371752,0.026903784191620525,0.026103807205769283,-0.021752346399237402
WNT7B,0.18310291412090127,0.029528339629824762,0.0483280358173947,-0.004714763974237002,,-0.03861417084842271,,0.015433280616993759,-0.05182318726650826,0.0388545006716549
PTMA,0.05786748005639338,0.03874368749593566,-0.0715518702916372,-0.045526968190661224,-0.3182999767449195,-0.019017422489764933,0.001776283916983327,0.03812382621773705,-0.027460269380153456,-0.048738764572841785
FASLG,-0.016485147707189434,,,,,,,,,
CEACAM1,0.019803610665956956,,-0.019434644004553664,0.038408586778995404,,,0.0774992381966686,-0.008479643521809799,0.008624166937938098,
PDAP1,-0.051633385965890254,-0.06545379372744455,-0.04438260505969692,0.012646763919332516,-0.00905388554148925,0.03817922471876137,-0.05343767727170346,-0.04882375997502107,0.03310889042236559,-0.014997187356223145
QDPR,0.10223561155634066,-0.018326918393854332,0.04605331150388675,-0.0478248107151538,-0.2872248811293507,0.035569576593421595,-0.06287819893017722,-0.007742936032975654,-0.0010216713499896896,-0.011064543726531772
POMC,-0.01012416210620515,-0.0013482750840199855,0.04874887780264906,0.030173303192903508,-0.07735915579517698,-0.03798508627314463,-0.0032041183915716624,0.01993382360608081,0.03403874505728927,0.015140536285924192
CCL18,,-0.030304007504787463,,,-0.04529748363449887,,,0.14403784383752824,,
CCL17,,,,,,,,,0.036771106534152546,
VEGFD,,-0.016144007240160557,-0.018593967029801525,0.005100317956626586,0.05873006699014381,,0.06008223698404299,,-0.03341659472914462,
TNFSF13,,,,,,,,,0.024162063742112393,-0.02644440835808557
WNT5A,-0.025502110640293518,-0.03905996509289606,-0.025321901643452667,-0.006618345533214405,0.07123430076507928,-0.002404271941991846,-0.0055136411115434365,-0.0014604543288900687,0.019554483840437814,-0.05089585850502288
CXCL8,,-0.06589278394854357,-0.049803376713111074,0.035260799699390395,-0.08526746439602494,,-0.01342509090897257,0.006116478326584663,-0.008158675089010805,-0.006736966419301453
GRN,-0.0109686088052715,-0.015878647422665693,-0.000835685440569502,0.0037177397598618426,-0.17652233678929252,0.0807330893712997,0.0028065432231350724,0.09584147119173704,0.0642623824744442,-0.056166678760255405
MIA,-0.02157763646922254,-0.05549651639730315,-0.05642052073221983,0.0044541935125754425,,0.0562663721061123,-0.023155901621822707,0.013884562109186361,0.12398754311443491,-0.013448218463699818
COL4A4,-0.019091809749473877,0.09897272052380393,-0.0217061329787593,0.0476350843985289,,,-0.014242356136240733,-0.03719551779495514,-0.04880628149240064,-0.029555630495547075
TAC1,-0.016485138738298866,0.051688262029918955,0.09351625840813144,0.0007276977241863411,0.23569391029867068,,,,,0.02463067253315502
RARRES2,-0.027863789709005347,0.003059997768920429,-0.038171763063833845,0.034096669036928165,-0.08823082480419132,-0.018840623028268434,-0.025047715282146575,0.03553092110758333,0.03431363948995849,0.03256982602268025
FGF7,0.08794306303805846,-0.010724319352573172,-0.015011727430106744,0.024777086249584267,0.017731436500519164,0.020598443707146686,-0.032439922630383845,0.026331711265987705,0.00209018925389134,-0.01186928189465532
HBEGF,-0.05119980042055727,0.027948375004740122,-0.049573616265219264,0.04722113533122368,-0.15835207679281466,-0.015852180261658775,0.06850286190896687,-0.028505137533011402,-0.02087242195817752,0.04441129549643342
CSF3,,-0.034371625081998106,0.0406941124766346,0.06048739272602447,,,,,,-0.03108914164767877
PI3,,0.003734871858555131,-0.028558015424855858,0.003266400881397271,,,,,-0.026920527344366223,-0.02965837724184524
PCSK1N,-0.04891783601719615,0.07316009011366968,0.06905136911807194,0.011767601621032242,0.2801049760103807,-0.023809269419477974,0.05611516146237485,0.024972215872640768,-0.015272095718448099,0.035027158912933384
NTS,,,0.006580117498904478,-0.028710451447967782,-0.0497526817834817,,,,,
SFRP1,-0.023986293275317146,0.0748545379154112,-0.02121249633677478,-0.009744101230155925,-0.1092038451304256,0.05030255851449101,0.04726823558060207,-0.006205831359628894,0.025574358721268006,-0.011676906904299381
CXCL13,,,-0.02102185476569673,,,,,,,-0.02521751699177576
MICA,0.035126695107054254,0.06813909037238917,-0.03384466353467706,0.058397808401628816,0.015945184797301344,-0.01829364855313221,0.0577605789057915,0.08224290751654163,0.048649643225742,0.008503567478677481
TG,-0.01909180544706104,-0.02739967130667659,0.015766316010201648,-0.0006388851048734561,,0.04030629580678709,-0.07338029883585723,0.07362347635096622,,0.008192144688323234
ADA,-0.0335311808478153,-0.026702817066168217,0.0024253223000932607,0.02951924609107302,-0.17067959429134136,0.1179210632054379,0.10001963100197199,-0.04493099867981428,-0.0248397364123075,0.022721865262679577
LAMC3,0.009802809728322575,-0.03193626812525863,0.06174466504814485,-0.009490832573533337,-0.05737213766944901,0.11063384843300642,-0.0073170069552684625,0.05201219861530829,0.03943914893447343,-0.018294457393080762
CCL7,,,-0.0278710982150819,,,,,,,0.020200426346872163
NGF,,-0.019802470274686956,0.0664507260534183,,0.11685694361404311,,0.06879918726716212,-0.027176693950285144,,-0.03523353949358253
TNFSF15,,-0.024498127145531564,0.01405965705762186,,,0.01483023837690866,-0.07417669296641459,-0.028359950852065465,,0.06848355931331468
HMGB1,-0.010690043059587657,0.05741593585671239,0.01514433227945946,0.04985666846767096,-0.03645079010400028,0.015812980780624562,-0.07881195863274744,0.06059485834598509,-0.05223948819909874,-0.033258406437144526
ITGB3BP,0.05097998121084069,-0.024108869620543226,0.04002217270108347,0.05027302173700877,0.03609841136570574,0.008752469374294821,-0.0355603450657391,-0.012854234234225194,-1.3046876277619648e-05,0.03145336475753253
AANAT,,-0.035492796808001346,-0.018593969684195105,-0.021070032240104924,-0.021045785229039313,,,-0.030641706367865517,-0.03919180296629417,-0.018982991599173004
RELN,-0.015827612880467655,0.1031818819589031,0.06253525625814069,-0.040277525229226015,0.04160828873982399,,-0.05194171789277942,,0.0034014524479790637,-0.03391042510648755
IL15,-0.04411533967464687,0.07096675661356677,0.01612162886331945,-0.04093992084158882,-0.0706325682354469,0.012395692386396068,-0.009497917173751928,0.1648076490905987,0.0016896552936301813,0.007284779679439784
UTS2,,,,0.0254593774525573,,0.040550313398170584,,,,
BSG,-0.05486146147652745,0.05051906818806722,-0.040613867218263176,0.06576100747334747,0.18717173621845967,0.0301110201244955,0.03237343819569077,0.009630557110629651,0.04157722934455355,0.07399111078955124
ADAMTS3,-0.045118037723339124,0.026803413203857696,0.0013278077008305857,0.0005070210364475798,0.013505476040566934,0.10605519349625048,,-0.036690323920503476,0.09325603923052476,0.02952692949429652
CD34,0.010478311133663576,0.011500285628745653,0.01577913561504188,0.009913310201436794,0.03948715482909418,0.0127243543820492,0.00979557518592957,0.0020085895044079853,0.06009800378185877,0.04581841979919988
CCL23,,,,-0.023974352041763125,,0.017385538519450565,,,,
PLAT,0.017621844253292825,-0.016366464481869916,0.0017923397050829,0.0008059331743488263,0.003956672090434496,-0.01181420631604319,-0.011930954211521757,-0.05053294085606642,0.03463833038049918,-0.006498560181247449
CKLF,0.03339069669426736,0.06036817907501214,-0.018877689282053366,0.008100419663917814,-0.1670825095491654,-0.0068282657997330385,-0.03669139269005055,0.024111810461477718,0.021023679813074295,-0.013751327843417756
CD24,0.034913460125236606,0.01586326827181891,-0.011361043181691097,0.0022204236738043157,0.02417249816635733,0.018060851478478385,0.04327344644215379,0.02707137129616552,0.08107372882722678,-0.01642850354939957
HSP90AA1,0.018470807062460386,-0.018511051681329736,0.03950055864354448,-0.01183886923538178,0.28051429620550405,-0.011168124408118318,0.06156746060609516,0.03890913659762072,-0.07592182228818438,-0.060561107718012465
BMP4,-0.019648239465235896,-0.042857389614066654,-0.036084601813098804,0.09586126481067922,0.0956029668676266,-0.0077795188964442236,-0.02221733656915993,-0.016361975468001572,0.14780037974977836,-0.033316933013431055
SCGB3A1,,,0.04411983849156639,,-0.0441223378990894,0.04748200632778147,0.018069128625271973,,,0.0129982853782329
IGFBP4,-0.02025761820486851,0.01361917582213624,-0.017233483094520784,0.04822946088645922,-0.08886767343659156,-0.024507228278565617,0.014205493359711392,0.04829254685024786,0.023912060743349506,-0.03684828112769613
