,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.02043274865296525,,,,,,,,,,,,,-0.016653372719245566,
BMP1,-0.012055529149720905,0.05999935145486193,-0.035141834443520974,0.05269134123972057,-0.08222223193824549,-0.03808687037608619,0.010010787734328558,-0.10194426898892585,-0.1143826910763745,-0.014916229041143252,-0.10069050595800916,0.019168232745430155,-0.13689432553284475,0.07878012768258873,-0.025241220025902865,0.06522584037201508,0.07301958949616368,0.11828922003366514,0.14960023064598477,-0.01682384727691602,0.13433690829623343,0.10306217558199193
NDP,-0.02635806240689723,-0.019532112057832465,0.036925143047436285,-0.011830401407729228,-0.03430974625969353,-0.04950836787191616,-0.003977472319440648,-0.004436492163321202,0.046815209038894176,0.03636962324463569,-0.08496844565543428,-0.03559632982038237,-0.06267545302107715,0.04981755231933624,-0.22548948029468352,0.0566108449378951,-0.057278049491870195,0.04563062027882539,-0.014591030815506417,0.00801667515183363,-0.0856052615752616,0.006439377825547575
TNFSF18,-0.025517617192836753,0.03647617760775786,0.0040489350535624444,,,,0.02845088465587991,-0.030342018341729594,-0.013584050494788181,,,,,-0.0524866133521815,,-0.04659749990615298,,,,,0.0724315171504403,-0.02246780649762343
IL36G,,,,,,,,,,,,,-0.02108120416858468,,,,,,,,,
RTN4,0.1471123791046909,0.04554950063268305,0.02587263639388773,0.0019690046142704504,-0.0515440562396104,0.07441727501826498,-0.048822369736339064,0.13257792127292536,0.11285219273655996,0.03863941459800847,0.22285427479311704,0.002155252265970589,0.1523379831956715,-0.016494667996310986,0.005220968818610398,0.0699717579867277,-0.11128442588371923,-0.006342275038945647,0.07888697985945307,0.03306196794204778,-0.012658082042380942,0.13344503590139808
HEBP1,-0.04933753645911443,0.07157085304977631,0.007385458706174274,-0.04631646592875849,0.01757204512106904,-0.03364859585318104,0.04788813226011343,-0.0568393105800613,0.019370675764826407,-0.052125290632701805,-0.1889515959529477,0.01463288644865106,0.02462339460131867,0.0383017708647095,0.03769686807320191,-0.031141631868581852,0.039856429284778463,0.06103358720225518,0.08116764237340336,-0.029028800985528156,-0.009735321560046669,0.10055597271665624
WNT7B,0.13658039629229146,0.023567464827253,-0.011113624624831097,-0.0624236614003952,0.051348089572225634,0.04108585752429409,-0.09280673483206463,0.04395243435067459,-0.03961128153758055,-0.02187721781345182,,0.005679496205825899,0.14059424545793886,-0.05778263832334323,0.02488569578310377,,-0.007665137189373818,0.007563789961968145,0.003163848693606651,-0.027686170896003448,0.05019449062324404,0.033333245380291726
PTMA,0.04661377801132693,-0.09460301065246293,-0.08569744117941676,0.013840010071481824,0.06341060686106292,-0.09680712957363445,0.05382286738459572,-0.0364050617045964,0.041900092055767425,-0.050584483995896816,-0.30819998573031065,0.0400962752623621,-0.16805767304666588,0.05585916566487348,0.01997246677144947,-0.037432476435719494,-0.06613532100148646,-0.15631564975414394,-0.08563724784550755,-0.09137480774725124,0.09717743593487611,-0.0004202093519324311
FASLG,,,,,,,,,,,,,,,,,,,,,-0.014443464478021481,
