,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
WNT5A,0.051525374231444335,0.0034805745001593473,0.06736376799093444,0.06301240267927981,-0.04215356619216626,-0.03544541311163824,-0.07669116316045028,0.0985354558533914,0.20902140554130375,-0.07010348780218215,0.0007111592429172696,0.07394546358484291,0.06205919530331451,0.016742016286422124,-0.08427641360592773,0.007385792080843484,0.04264493591005353,0.03619940151418413,-0.00106409253902856,-0.0057883195409021496,0.012676532638840976,0.10408670406811156,0.0083122174791925,0.03159981944295367
CXCL8,,0.2187738624882234,0.33707195980862903,-0.015442370132384671,0.13324666073916241,0.31617224437500024,0.20201056283289767,-0.02101276125368395,0.1434969999486275,0.05165665987580039,0.07891354245169095,0.028804440358970708,0.1634993588429899,,0.31490237261594883,0.08532484214936444,0.08043322177691495,0.13868488901575315,0.2865670072403203,0.05867937428365049,0.17012306015385276,0.048327712905236894,0.09974468418929953,0.14628251807871998
GRN,0.1156023536335583,-0.0149967662428345,-0.06607759060374954,0.036441949913645987,-0.06148187653838953,-0.03954890749409268,-0.06565350648214167,0.036531177588886285,0.1925075823048957,0.032612751003618816,0.09425323385330107,0.034327285198742376,0.04249952778511934,0.20039113634705755,-0.06278893361463522,0.03295856116870759,0.041652456864201146,-0.046478726099307976,0.016412813972983158,0.0418236531145282,-0.020847986141382634,0.051772742235599176,-0.03771846063138615,0.07335883673863465
MIA,-0.005019778982657723,0.0032543173602246262,0.03125673750785868,-0.026090396072290203,-0.008680575716318941,0.0979718094857332,0.05288377961122163,0.1305676750963912,0.1153798368237912,0.08273743277379293,,0.020019538304348085,0.06333543675863289,0.17590124233876414,0.037940928742309664,0.0038749283829088445,0.04117718975412135,-0.15986291682032247,-0.07415205867955224,0.03920201144792423,0.06597893680200728,,0.03443487516600603,-0.028459599629045734
COL4A4,-0.04541292430770927,-0.04121755555732541,-0.043474805288475644,0.005030454957524509,0.015474191486345863,0.03500355529519445,-0.04891774721742907,0.06363073279198873,0.12191723746138294,0.00059014016110017,,,0.041989072493737845,,,-0.009201254243914802,-0.017616003068165204,-0.044623906252971544,-0.08380304292669177,0.033967619519750566,0.023403808897224584,,0.028536036475117252,0.014704140070431896
TAC1,-0.027752318681966273,0.010559071185522092,0.005180624679581189,0.03253245961893391,-0.10670285313291017,-0.09731064379513067,-0.08084726938038075,-0.11336639417627258,-0.16402008408147303,-0.12753186440226977,-0.09936481042941345,,-0.053890131814926766,,,,,,,,-0.018668895827258242,-0.04196344892566774,0.06069640944908403,-0.04058730317642961
RARRES2,-0.05422487100421344,-0.06833717630449507,-0.00606672584054649,-0.0030734683746868564,0.04729482292234535,-0.07132595701617304,0.05256173572521914,0.03945128024791968,0.27352456498086,-0.12013545579634717,0.03682890792573662,0.010604714438085019,0.07348505369410886,-0.04906630668902281,0.05884080071404047,-0.00892097675686973,0.008846044407814776,0.1311797590280024,0.1442609275762136,-0.02345713105878196,0.029155482491288732,-0.030854804557934323,0.07778187634771545,0.05793316042162298
FGF7,-0.09927059456646792,-0.06674896897689986,,-0.022798851337555808,0.03897698419455634,-0.0170159013530334,0.007401002652782523,0.05264646503377589,0.13535089331591743,-0.02048382986398002,-0.006805622322442907,0.03265988011540524,-0.0011045456509308112,0.028601143507460843,-0.015069238723469037,0.07860430288834208,0.04324939363372774,0.045729576509075665,0.02444192683057917,0.05415392700185246,0.016090461841190708,0.05473381591725389,-0.01751643501740655,0.05725575753172946
EFNA2,,,,,,,,,,,,,,,,,,,-0.04513483242453419,,,,,
HBEGF,0.030544621067126795,-0.0396123999180106,0.0020478818310209466,-0.0006163410513327074,0.033692973570746375,0.09503655792421194,0.13114446675147087,0.09949775398878892,0.12151210504521681,0.05579236194987225,0.046784590280481826,0.09722309653526151,-0.009478829659289022,0.10616452619568034,-0.11177927379813873,0.0471963152760519,0.1140309291496494,0.10887737176243369,0.1259534600131336,-0.08912977066138744,0.031507732767512106,-0.013891135902831952,-0.03639206034225869,0.10876398135333275
CSF3,,0.16043356367207762,,,0.1311330234037975,0.2192837155477372,0.15517748879717794,,0.05821308669366944,,,0.09346190354466156,,,,,,0.11043711198322292,0.1716358476756063,,-0.009680435040014316,-0.02889380569656759,0.07247124828734586,-0.004906855400327303
PI3,,0.13341779011106644,0.1200493031513451,,0.07098354577451169,0.246844752280814,0.10606013787583049,,0.04270573018305212,,,,,,0.095449526993425,,,0.16730251978526586,0.2687061092426415,-0.043989698720012724,0.09182068457817794,,-0.022020786477249654,0.11154747215102553
PCSK1N,0.011657862111309357,-0.13381893166288863,-0.12367878295644819,-0.006596842374513684,-0.055876967756331455,-0.21535900202556946,-0.07881641676152437,-0.051198505728549774,-0.061182651112686795,0.015378158921111289,-0.0954578758286991,-0.016728642674496294,-0.08999979743971648,0.025084487450866538,-0.09818500116169064,-0.05602922034898096,0.037280096551577324,-0.09560832509203988,-0.2423783275156638,-0.008201552782394008,-0.025785363080192573,-0.010555801903871698,-0.027349170321290542,-0.03862262984881841
NTS,,,,,,,0.026280784050104505,-0.017158294646325043,0.014801963187725845,0.0377365765448274,0.011081471153761393,,,,,,,0.028957091100873328,-0.0690175326162153,,-0.033681451472321995,,-0.04395302146995387,
SFRP1,-0.023262796297916968,-0.009703289792623776,0.03474000502940955,-0.030502819409867286,,-0.04409717129579777,-0.04153130533706403,0.14705178507585043,0.06238490512436295,-0.02098224868601044,0.04216893032193676,0.012226168621154544,0.055344061155644775,0.08527225044207419,-0.10758241442689406,-0.07309009604234556,0.0008983662855988659,0.0158009120121528,-0.07733580045171415,0.014566492843009992,-0.07241606716658798,-0.018174877956817968,-0.0020232413834453534,-0.06826458134704921
CXCL13,,,,0.01159342487739409,-0.007885687174995246,,-0.023532208226961643,,,,,0.053590093824157,,,,,,-0.008496288703199375,0.05101926941535394,,0.0565875928691438,,,0.05418708215844899
MICA,-0.029157274124440514,-0.005143073632575779,0.07879077426602939,0.0006261740335631254,0.017088454439709872,0.09269863133960933,0.09947719987369258,-0.006244340282164506,0.20295763575028808,0.04553220860399303,0.06236217810829911,0.06661246297554074,0.033441479938047164,0.10297808300050185,-0.06349136370070024,0.09521449594482609,0.016201079161738345,0.035397561199716376,-0.008604670916397406,-0.010800752834088974,-0.0015764559241835156,-0.02795297145521632,0.013623817874507527,0.007553421776020849
TG,0.001181719898462049,-0.0002636996009291686,0.03077385838220739,-0.027852132863235363,,0.04450857001170531,0.027877344225832597,-0.019805195176102096,0.12427591752181412,0.014503969361346583,,0.07523608364289226,-0.007610095509668931,0.018812720620246057,-0.08686109619371077,-0.0373311741935551,0.05632979880993405,-0.069583327353092,0.053854145623288725,,-0.044826132782918915,,-0.05788296324216791,0.04428879196505575
ADA,-0.023248812389391686,0.022212254446133575,-0.06688484743064,-0.03990164554818804,-0.023297105142875724,0.020701096036836213,-0.035953732499283166,-0.00912643179824719,0.18297180099242386,0.002224180564508617,0.05821048754252165,0.14570898252691597,-0.050427339319974875,0.11674502191028194,-0.24763604551136437,0.04670905955809636,0.1292464855506434,-0.03250801516768492,-0.032024900974655456,0.0041773023048829044,0.027757450945752687,0.07192601627570364,0.02852617855375098,-0.04800216083056702
LAMC3,-0.010076433918918135,-0.021185428553938977,-0.045491712107134666,0.04512564629298167,-0.021005219073541255,-0.047226760408807744,-0.07721344811221761,0.09569866419491212,0.15346734780406737,-0.022953312277101408,0.057970918323635406,0.04340131622328468,0.013355262984871172,0.11860017282438869,-0.16420656530470495,-0.025847989684723734,0.0853587709606687,-0.035837236838105316,-0.0743244547251315,0.08730169314154297,0.014826558896866902,0.029521032060501586,-0.035279585627765564,-0.05218136459868452
CCL7,,,0.08113519913982462,,,0.08624518050314221,0.14330958546792433,,,,,,,,,,,0.014127672652696528,,,,,0.01336837364610323,0.1283096893466506
NGF,,0.04141041941696073,0.0542907464356308,,,0.15154706370514784,0.09568642672307949,-0.018899468288506346,,,-0.02885592612123514,0.07243906882807329,,,,0.061908002660651024,-0.025432367046355424,-0.07429436264428961,-0.06075248052104266,,0.029929653517942727,,-0.021513869564723575,-0.015689837232240746
TNFSF15,,-0.00100082264612626,,,,-0.022366926492416464,0.00361531365782989,0.011104278290169606,,,,0.03514476621018656,,0.04001847179418424,,-0.04482819838685254,0.03953121982491104,0.11882976256629231,,,0.014236957249954479,,0.10638115699971251,0.008129160054639548
