,UKF243,UKF248,UKF251,UKF255,UKF260,UKF266,UKF269,UKF275,UKF334,ZH1019T1,ZH916T1
IGFL3,,,,,,,-0.02168368474534073,,,,-0.01818616579599172
BMP1,0.04247039738783828,-0.0018646751207917187,-0.046480361870322846,0.07869579395191524,-0.013296524958995219,0.11663265801002987,0.09611510602651309,0.0028163146613425375,0.038869612217304526,-0.035205880585659675,-0.04257089089241554
NDP,0.04840027601037743,0.02292860898806649,-0.0016040103306311847,0.061709302107732046,0.07474393124748258,-0.05775117948925115,-0.0015632677530241761,0.05130077205053672,0.020001116545701615,-0.018663732790588174,0.08702796908407917
TNFSF18,0.035172151439106854,0.00469453757400078,0.01074848136266308,,,0.029840591021355164,0.030274786173281755,0.007838060998323848,,-0.04478961142181403,-0.03067681034513756
IL36G,,,,,,,,,-0.01471457301738617,,
RTN4,-0.009082168956994641,0.06693460084047687,-0.003060826404440065,-0.03460434443907434,0.022754726288642623,-0.10301316043455218,-0.19945386483093708,0.035853264257561024,-0.03273429340266119,-0.06362504279511827,-0.03267912904680694
HEBP1,0.028593447855304408,-0.047558185107630095,0.05064522935396998,0.04524481565841084,-0.03219102837648959,-0.002950703034340928,0.009316832107989712,0.0368458904991156,0.03706568290580289,-0.00247804652641903,0.05054525843805068
WNT7B,-0.036403952894603235,-0.06071507586033079,0.0929339697303602,0.06921776674020196,0.02713584671577962,0.013448853376266461,-0.026469110159075666,-0.004152810520803677,-0.01617301147409475,,-0.038816837903684995
PTMA,-0.06544488049184133,-0.024404186069381162,-0.020714223546728725,0.07986972632105621,0.013521167810330971,0.16369698706219227,-0.08330594775284972,-0.05104993449952645,0.09210621911252115,-0.04756311891033025,-0.09328299141306355
FASLG,,,,,,,,,,,-0.015772855390563507
CEACAM1,,-0.003046147223763404,0.02672123782336916,,0.11885567477062788,,-0.0025958733972456785,-0.01281909030040336,,-0.03149469827031758,0.0540136523439998
PDAP1,0.023760314866085316,-0.002219912740938527,-0.007740373223431648,0.05817864400390535,0.004906156526653808,0.04979557747699183,0.14086899152671223,0.02189331001936971,-0.010069043839022645,0.037731229588690546,0.08902733584873862
QDPR,0.029501203401150353,0.024851276613518686,-0.04598403816529626,0.020304698016552335,0.05051061302742618,-0.0867319482896506,-0.16680281661910418,0.027934928189059686,-0.04049888654650413,-0.0293932910706347,0.07491205469494529
POMC,-0.022452986124910423,0.007253096024795787,-0.02718621388553915,,0.021066108895814256,0.0024635176262031654,-0.032290945202793436,0.025537651667630216,-0.008865799113193195,0.012935149719812463,0.06392063889885986
CCL18,-0.01609569612416735,-0.03556993334660248,,,,,,,,,
CCL17,,,,,,,,0.07539786386499175,-0.013442180197968591,,-0.014296321810439041
VEGFD,-0.05003454528542084,0.005723489487369765,0.008129696080648707,,-0.022364978369146304,,0.030967701969253043,0.014676199382126895,-0.014406400867337004,-0.042816352129101815,
TNFSF13,,-0.013960411230004632,,,,-0.0154936303207975,,,,,-0.005675924987739411
WNT5A,0.08258078608996149,0.0015730427865152867,-0.000860419861206648,0.0015693792069947797,0.008766844128150566,0.03327896333828647,0.08622158693163366,-0.0005397085725983097,-0.04945673843182383,-0.021312153959322882,-0.004899013115035073
CXCL8,-0.05267295607851081,0.007091837676888571,-0.020519558420986753,-0.027085739351233654,-0.0028782379260124816,-0.02203868422755476,0.03989850087970711,0.015008188184779418,0.016297453148985716,0.0473594619263503,0.013612406821429127
GRN,0.054509121303751185,0.05310494502120272,0.018766164643527844,0.04318087533272479,0.004409634617490716,0.024622342545845853,0.08280622884915756,0.036107833265540144,-0.036732954806489304,0.011994530537111027,-0.061184745350997244
MIA,-0.028862447416402672,-0.0372209598733781,0.09531979923220127,0.06871187473561247,-0.011476933533541348,0.06544754834193774,-0.027013919315858108,0.00859445181698947,-0.019730226198021786,-0.03477891383144225,0.09103272812964894
COL4A4,0.10146158445048901,-0.001410812333631878,-0.032775260491060214,-0.03622685623271336,0.015886315406005026,0.009959131265650754,-0.021367661841409046,0.017057246865715518,-0.01913905138568445,-0.033526046952234295,-0.022037160510494685
TAC1,-0.041370626317063036,-0.005826392425351054,-0.004377827011089757,0.1383840638725837,0.07018372921241577,-0.07436390128670634,-0.09724137382724762,-0.03219716945002828,-0.033918404519256214,,-0.01879396873101063
RARRES2,-0.015818707622177932,-0.010290117502210008,-0.004877839286930725,-0.06846101212352067,-0.023629595683557124,0.021619387259182256,0.11208220141531103,-0.021092968901810095,0.06536946493829741,0.008032813831618503,-0.01072592598524605
FGF7,0.10735074842697197,,0.014861784540861216,0.004928651460364545,0.002017187429271541,0.07140721380470291,0.050531684234911854,-0.006397473417332978,0.010887495160604443,0.02637066249051521,-0.017377115360107245
HBEGF,-0.004564115521742141,0.015427722255687537,-0.0018486072933024936,0.08658675834382316,0.015355890359748296,0.1362088395125625,0.04205574031212482,0.06189209091981126,0.05114645342228155,-0.0071618640012093985,-0.06313709854961348
CSF3,-0.050368462029947055,,,-0.025357422287079427,-0.028787953058985506,,-0.005713540326291723,,,,-0.015051821398444331
PI3,0.013441213230466764,-0.018614070671618785,,-0.060075279836027465,-0.005533873386119588,,-0.025455301770210336,,,,-0.03270260742137751
PCSK1N,-0.001021928605709345,-0.009413672595171528,-0.04534399265581535,0.01618244125104282,-0.06346673081056597,-0.03802524820992194,-0.02957000345343707,0.0387968544780213,-0.03600295796301259,-0.041073289026940615,0.08617334555952962
NTS,,,,,0.01193676466614395,-0.017996027891260813,0.0009118251401802963,0.02637708134239834,,,0.09264401902667344
