,UKF266,UKF275,ZH1019T1,ZH1019inf,ZH8812bulk,ZH916T1
IGFL3,,,,,-0.015352600506658714,0.07197361546579358
BMP1,0.07224178324962197,-0.04111713357318147,-0.001899042703055229,0.07640654555621772,0.061065013146831035,0.00855158563142411
NDP,0.020641097777689407,-0.0223738256401222,-0.11905045457910263,-0.03128934624804144,0.0801357664480572,0.03558859809011586
TNFSF18,0.09845390106118204,-0.01139033310061125,-0.04155880655725696,,-0.015832865913204333,0.05065028150028287
RTN4,-0.07899476624538404,-0.029249227985752,-0.01917372016717001,0.01782156176032857,-0.03295353724216596,-0.04298960852542847
HEBP1,0.01518949904851847,-0.009453994737615686,-0.02889759550678305,0.06150694741444808,-0.003227924083524955,0.07817186321629375
WNT7B,0.043297241194390844,-0.01570930960194741,,-0.03362342578274473,0.00010256338191500079,-0.02732024245808145
PTMA,0.05563180776916159,-0.004751236806259798,0.05138501907381427,-0.08020369055702635,-0.04986893069958185,-0.0502456974185308
FASLG,,,,,,-0.015954304124970505
CEACAM1,,-0.017914280402219384,-0.029222894136514767,-0.005574988172104143,-0.0011682031033886868,0.05159756723515443
PDAP1,-0.04548736014336628,0.010427677466928086,0.015546635325842615,0.02801128576092631,-0.03472337179345851,0.02193761269754862
QDPR,-0.013131102143986904,-0.003555895426773908,-0.043243823579237665,-0.07462605049676718,-0.03218136057855306,0.016203887186524223
POMC,-0.035065810410487355,-0.013216441803624922,0.06178767101621697,-0.07181003457433648,0.08508493786184261,0.08267127593106847
CCL18,,,,-0.021379700781019067,,
CCL17,,-0.014205963006200117,,,-0.020241516924768017,-0.014460784707926283
VEGFD,,-0.015135252026223744,0.0067321952410216825,,-0.021348552825219885,
TNFSF13,-0.012890038347356888,,,,0.002205880253926503,0.04732233808023672
WNT5A,0.054488633136353014,-0.029468213935304757,0.02026465992818955,0.009480480761045108,0.03839185650019159,0.047773622744802846
CXCL8,-0.018335243512112392,0.0070890215446197955,0.09464961205398414,-0.037642329314200404,0.07625588640198648,-0.019221958831831493
GRN,0.014887461085149229,-0.022599930015096047,-0.010026703911240734,0.026045730071532446,-0.004986878744573283,4.1399365950005706e-05
MIA,0.008216493511068006,0.011727618237681313,-0.017449250989462112,0.08936484115874148,-0.026133550980805845,-0.0012573930318234376
COL4A4,-0.012264302000255491,-0.014831464892095676,-0.031107715733359433,-0.027030621944660417,0.03601077266910962,-0.04246677874782512
TAC1,-0.030353103702141556,-0.014751553847247583,,,,-0.01901017193304891
RARRES2,0.03624723675835146,-0.03547269367915117,-0.007401992556612878,-0.005547939301673627,0.023438910809777697,-0.02804491656833333
FGF7,-0.03515155202264704,0.006210739400259066,-0.026151077503834677,0.06587575684470591,-0.00019932234421952264,0.10303095827848913
HBEGF,0.05011742365117467,-0.0050351239110628535,0.033859432990332915,-0.026468954887084263,-0.07415913510703576,0.007292556664357451
CSF3,,,,,,-0.015224975458101905
PI3,,,,,0.09707793450734503,-0.00825395160102164
PCSK1N,0.01473806103114352,0.026789554346972444,-0.004170434385819127,-0.0009359508700829571,0.024878012313507634,0.04054762344943827
NTS,0.010422412808742856,0.046867460905292785,,,,0.014871602705233914
SFRP1,0.04762288329876314,-0.03146001349740127,0.011409996027298148,0.07072003267350079,-0.06726116017938831,-0.02202219802069429
MICA,-0.020405738472462055,-0.0005910200029966334,0.050623358993328794,-0.0263586421999641,0.023904113272946975,0.013718451982514212
TG,0.11219049943926748,0.06350093490978412,0.033618133478981814,-0.014246784631674928,,-0.02969160619134537
ADA,0.030799310245694864,0.034897217874065335,-0.006362961482106511,0.01994292035684922,-0.044126328727509725,0.035872602158451714
LAMC3,0.07212870423964206,-0.04231305477439193,-1.825011782396779e-05,0.01921876842455275,0.036045561876386724,-0.0025786867364257266
CCL7,,,,,,-0.015954298451810393
NGF,-0.016491233547825945,,0.0229570297642947,-0.031771585171403355,,-0.03899256095874675
TNFSF15,-0.02002397295061479,,0.001846518873627523,0.15153004290007643,,-0.04215401872770129
HMGB1,0.04076354493027723,-0.017511794394713162,0.07998325021902654,-0.022807639862237675,-0.09443233411548153,-0.016584476941468758
ITGB3BP,0.03411969258358476,0.06046854653867374,0.01729932585458095,0.11534622022564392,0.012294408191704041,0.0332114198248214
AANAT,,0.0718835274228669,,-0.022267854560728943,0.014195361809913574,-0.01688031309101243
RELN,0.005545935762504079,0.08249507210369172,-0.04238992458741459,,0.0028400600029510176,
IL15,-0.014248247165799048,0.06313231437841277,-0.045379643253838524,-0.017785475206019124,-0.031180416647678198,0.033011226808017664
BSG,0.06577679866523238,0.030998671451560097,0.05024766390387257,-0.03979999099022819,0.005431410058056655,0.0396363273530072
ADAMTS3,0.024720732497710795,-0.01774166861324121,,0.053797580032157365,0.01570973305807467,0.0023030173701270445
CD34,0.023357834649232346,-0.010035319197051747,-0.04368931953960755,0.04253469283218429,0.01141435318463018,0.007314265428283516
PLAT,0.044859764887156435,0.0036436040651397768,0.04961408962814029,-0.023774014237944237,0.02679111474455613,0.033375780896854494
LTA,,-0.012395958704582707,,,,0.03204089372986189
CKLF,0.03198729637260018,0.019195047490129954,0.17859567891534964,0.03185336244086301,0.04150191976782945,0.04872709557899926
CD24,0.09157872123854473,-0.04390581949544721,-0.12529126221111356,0.01195533859299342,0.018707458394949247,-0.003954740499837276
HSP90AA1,-0.058934406600610806,-0.012688743852800556,-0.033757728149099754,-0.0368519823030632,-0.04407165493824841,-0.06931570413720839
BMP4,0.05686951693112042,-0.00436003907358073,-0.005314261120555724,0.012218444576692132,0.08536486395513702,0.045104549465917715
SCGB3A1,-0.018188139506110132,,-0.042627123115905885,,,0.05924069286656398
IGFBP4,0.0424041347684994,-0.016409364145406287,0.06378828873077691,0.07224681973308172,0.03904840672070373,-0.015644594589657234
RSPO4,,0.023203049413076594,0.228922793458043,,,0.08468960403164398
LEFTY2,0.10227431090598094,-0.03550466179967979,,0.02362978984453267,0.021031015114856805,-0.0439143514787579
PF4,,,,,,-0.022718352239069088
ANGPTL2,0.0877408879896514,-0.019859806739500926,0.0973006647573688,0.02922871888202118,-0.03203923513214776,0.0340469815287842
LRIG2,0.004785027711904181,-0.03028394720411394,-0.07233002294258883,0.10209455536442938,-0.05620848856446165,0.0014169049373274534
ICOSLG,0.14352857829533533,0.059921880937157834,0.044387038887027844,0.09160198845946528,-0.0013015960848908716,0.04504168030786742
WIF1,-0.04606739178780205,-0.011125453907881978,,,,
NPPC,-0.01146909999338611,-0.02170222560866349,-0.06792350459465883,-0.026663437666081802,-0.003074665003439514,
LYZ,-0.012992882178937782,0.03540790789371879,0.019182115205334353,0.03911078327213645,0.123576412351335,0.012420237756108588
EREG,,,,,,-0.009401784873565466
SPTAN1,0.05476913403377438,-0.04380514028421888,-0.09216645469060963,0.12725043463913532,0.02880283127299984,-0.0037192218546096487
LIPC,-0.022095377912966414,-0.026954525732513675,0.12394570037353411,0.07114138336665618,-0.029156666766900537,0.04591528072735698
COL8A1,0.026024181489508812,0.022801663348772226,0.0018367421099613913,0.05202038393323973,0.01984179773999182,0.05984143426483534
GSTM2,-0.012048811542370587,0.04058954814550965,-0.07328227536617514,-0.06708247640488749,0.05448876643730871,0.046986991492436556
SPX,-0.05683411810876344,-0.006544837794214745,,-0.015695270245312132,-0.029508408526914387,0.030418491465302188
MFGE8,0.01614608765052984,-0.03458092253438123,0.02803914772628591,-0.011811419463691693,0.06348106080216712,0.01499724142641512
TGFA,0.060019780690817384,0.002990215024205705,-0.03899729655369286,-0.01722502855592015,-0.058590274093652576,0.01540700481173597
SLIT2,0.05634798303335592,0.027548258310476557,0.026514877502872493,-0.03015398995714473,0.02958154388878532,0.03509800395985932
PLTP,0.043149101195051234,0.008131694289236623,-0.012274953071417318,0.04818046735859574,0.05642886369561785,0.02509001617353866
APOD,-0.029520349486448067,0.008556532668823466,0.11872120867118786,-0.05638569846654573,-0.05355927047417001,-0.061561251861046475
B2M,0.06360753448083306,0.06342704162282185,0.08159524400191917,0.006332938475976769,0.08974411944932073,-0.013427952911871929
OMG,-0.07855732420684751,-0.06441156560769021,-0.025588832294974363,-0.011488181648385463,0.043264341818025014,0.05724842531172601
CXCL3,,0.021661067635725104,,,-0.01763184703955974,-0.008453264449453865
CXCL10,0.11062788957187628,0.04482655052684267,0.04739916847165937,-0.03596577232978387,-0.02375385892579051,-0.026009866405082332
RSPO3,0.01660158057325234,-0.021775083734360826,,,,-0.016190493217750748
CORT,0.002513578380598905,-0.0019599917884074915,,,,
NCAN,0.04280582966550186,0.011389928155829005,0.06407287030960049,0.06341725770046971,-0.01867650060002424,-0.007938634365849791
PRG4,,-0.0034806305571350193,,,,-0.036675830533586945
ZG16B,,0.018117745497464467,,0.03425970821605966,,-0.020187802623578645
TGM2,-0.03282487799809514,-0.010650930889182337,-0.003417755267776663,-0.008092406762311622,0.001086703962298984,-0.0839601292374147
