,UKF243,UKF259,UKF260,UKF266,UKF313,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH881T1,ZH916T1,ZH916bulk
DCN,0.020032442092691526,-0.0020843745937459694,0.05090820416189803,-0.021824082795104508,-0.00958200061395886,0.1053815588521972,0.10591757701188297,0.07841509445760637,0.06248718848323625,0.009841731480715201,0.09082052015157352,-0.0027895527571694784
RARRES2,-0.02808623005590478,-0.0334393051342609,-0.012644042439293443,0.03251628544963671,0.032681772616989894,0.03974925089864356,-0.02428394424664678,0.01160209420248802,-0.021523470230718402,0.03398341297208793,0.037594718853197366,0.10092840003156207
SEMA4A,-0.0033093094717970627,-0.033965474570025384,-0.01057496441603347,-0.057785503531850094,-0.03595773110528754,0.11022290285836958,-0.05407255098320264,-0.04208358593258258,0.04949562784945429,0.08834246546452718,0.012764517803747823,-0.12117541768536862
GDF11,0.12047220843966937,0.029470390944722386,-0.04480931043031526,0.06924143541589978,-0.028895269684853543,0.03097784845654575,0.03481282811391432,0.008764119112085971,0.00478982518643787,0.011064551545091663,0.07263191038384717,0.03631029134192237
GPC3,-0.029844477886752735,0.015453206316610726,0.0062444349159511275,0.08021997869734179,-0.017764917175709678,-0.03802702039243623,-0.043979603524980225,0.01811966560796055,-0.03177808481799308,0.04896447020311315,0.02651157632843898,0.07592857117703694
OSTN,,-0.023173656916275702,-0.01762086996559749,,,,,,,,,0.055067824131920455
GRN,0.06308040576758826,0.012070262714690444,0.040260158655398066,0.09052351040478018,-0.030762921800358955,0.01609320567803263,0.06864572052452572,0.05018520903907659,0.0504359772680785,0.002358776385417545,0.1386546178896955,-0.04474131673602705
CALM1,0.03187502923117399,-0.014132713050226248,-0.011082401135468907,-0.08932391005164923,-0.01963390202631387,-0.08949256761237004,-0.079431720456905,-0.0407135048614345,0.0009578050977071598,-0.07506590707510763,-0.008092293910117546,-0.1463509714307727
ANGPTL4,-0.05267268463105941,0.03663901456553911,0.0669432113353928,0.012268335204797485,0.030824646806595603,0.01776948011624656,-0.16861468292152051,-0.02001602080274174,0.010783293230587548,0.04125917187079012,0.08757722300750233,0.2083919401731713
BMP8B,0.04879482348233834,-0.001378482557590181,-0.04363604624995074,0.05887881673142818,-0.023241903050351953,-0.024821029339221635,0.04743019717057652,0.0768171525565273,-0.01938605850137964,-0.012671500300081883,0.13056256192957993,-0.0536075089932157
TNFSF4,0.005393024296261903,0.014432522680085403,-0.02440745157817322,-0.021041002921888582,0.031360353004894426,0.0882797575600256,-0.015359724736783407,-0.039950909026047435,-0.0015014133137384123,-0.025386753296793026,0.11698800588945514,0.054528095428423046
RBP4,-0.03099794903625677,-0.010424806834793963,0.04157178919943716,-0.03122403743929619,-0.02125285130698273,0.011702944929327105,,-0.04048151154174664,-0.004911271738349149,-0.01801373475145934,0.026904398025209282,-0.03314238017023263
DKK3,0.08726530395079268,0.014055904548229156,-0.02608370448509512,-0.10400170834846317,0.027870342908145822,0.12594914172230037,0.04217595856762482,-0.004978427329669538,-0.008177382350541955,0.021336136591507217,0.05094923721442669,-0.17525663291592397
COL11A1,,0.017870176795417053,-0.09120105769124857,0.08477179155625446,0.07042408130553376,0.07321444699318132,,-0.026879681170542038,-0.0367917069478495,0.04569273660826502,0.024294445027946455,0.052761336113286955
COL5A1,-0.07628373362763453,0.07205649856808127,-0.011194834294379749,0.05037655988177623,-0.05208188735415832,0.12943619509531765,-0.06764082659903782,0.011302790574744717,0.07958678955002615,0.01168558171728054,0.12661378730611086,0.18662611839772092
KISS1,,0.01391388603459677,,,,,,,-0.028911490776340767,-0.015828239936878753,,
MEGF10,0.03965972266226295,-0.02452154797357247,-0.047779222580871694,0.027562045515254974,-0.023030647238805015,0.09168740615254856,-0.046024078998471434,0.0912777170133469,0.0039489837253750115,-0.026351543979669028,-0.07548825043959399,-0.11991964101067287
CEACAM1,,-0.030498793885639218,-0.018417548358202886,,,,0.048661557896464626,0.04450038728262239,-0.0071623912847216505,-0.012712568843214147,-0.00033106772460856233,
EFEMP2,0.06527411348214442,0.06794837607435296,-0.028258230399419618,0.08523615585652591,0.03367851860471856,0.10145242036849896,-0.023196146469490104,0.07478103458180077,-0.009934796625852896,0.047819819423239124,0.083405044862246,0.07955018354954162
IGF1,0.02156661737841764,0.03164982783053877,0.01515500009859202,0.022725791286586954,0.09213251393506454,0.05831654619995185,0.0005960201523376291,0.0009499791677643182,0.062419268666162576,0.021629931963660323,0.060189589270227876,0.04680736646641161
COL6A3,-0.0017971822424101649,0.018420295893942656,0.023955577832587376,0.052603209955634195,-0.03678370991304007,0.054594971402113085,-0.028553053141217283,-0.04465885979751499,0.11486878988980828,0.05665763917378517,0.13863047344411378,0.138753229828479
RLN2,,-0.01464652260555652,0.05161311286592202,-0.024718247349759043,,,,,0.09959975332977859,0.04318621472123498,-0.036981385499368205,-0.04042260215464795
WIF1,0.017284349886612458,,0.018444462006069178,-0.0677041161572089,,,,,,-0.014713883350693001,,-0.03035502361313209
PLAU,0.07303067265164362,-0.00832184881743342,0.025229887706834774,0.011652925672144637,-0.025982090027367212,0.04910672877396382,0.01952450146165583,0.07023267121818788,0.09629371180566883,-0.0014375975361442198,0.04578969400134936,0.051367463064139876
