,MGH258,UKF248,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007nec,ZH8811Abulk,ZH881T1,ZH916T1
IGFL3,,,,,-0.01633761329030935,,,,,,,,0.0008203449922813545
BMP1,-0.012738839634930969,-0.01915489232636914,0.013780564785404395,-0.001756131106045365,0.024922031373215928,0.03773085349720579,-0.015255569834742848,-0.05881519735103132,-0.03075894558731243,0.06395675582662608,-0.023272610964629157,0.032039858265193476,0.028147873775434214
NDP,0.037760343694586994,-0.005574995435800107,0.0803152643214738,0.027423002460749857,-0.03217023472289109,-0.0020441429901340434,0.05348092412010719,0.030942057821047034,0.08650698066765235,-0.010712887212228715,-0.04002223923590911,-0.007461616313566507,0.018062292108760633
TNFSF18,-0.02115380653898456,0.01513262390731593,,-0.013633040295310418,0.08688266628516923,-0.010647509681371023,,,,,,,-0.03372963034786669
IL36G,,,,,,,,,0.054637651580142305,,,,
RTN4,0.008296941346508064,-0.01782488227147365,0.00017250501639345229,-0.012031162801333694,-0.06864892221477578,-0.03350628987202952,0.022488587994604087,0.02070099950568528,0.023303646195303864,-0.07666897238090914,0.017443586345760535,0.013443040510340539,0.06400205469268773
HEBP1,0.015329510553221102,0.013390010956293254,-0.0006626798421900826,-0.008305775271557734,-0.002136036562713294,0.029773470918646548,-0.03133079673296895,-0.05818193949217264,0.013805968420479554,0.06045842860566887,0.07843399385292647,0.06429316330422466,0.08535327547184703
WNT7B,-0.018635841005200295,-0.011770842676081389,0.037569917112397246,0.023662560684289444,0.0063448647694521205,0.005269310293330336,0.023111121258834248,,-0.020538442555496417,0.09302328529006747,0.012683638459347158,-0.021792630659179385,0.1190400742022545
PTMA,0.058692176789660766,0.053981089337586566,-0.06422521350099425,-0.0271857044170708,-0.05062487020849694,-0.007993925279450479,0.013055611845701622,-0.08556452259059825,-0.02455345858932016,-0.07881032816626993,-0.0330650740430484,-0.017981090251411674,-0.06459910563993101
FASLG,0.0851017105734997,,,,,,,,,,,,-0.017342499949261854
CEACAM1,0.04885738924992763,0.03063807434664399,-0.02102942114762852,,0.08876878114794111,-0.016745996129576765,,,,0.047908999959477665,-0.023400512098526272,-0.014464085913989616,-0.006836254715278656
PDAP1,0.028830421364212926,0.029747359249380847,-0.057372279281784976,0.02591377705831689,0.06269006734855664,-0.029558231091921586,-0.03887637840172112,-0.018231557298332497,0.021930867601400904,-0.01460660246037553,0.0034157720760084813,0.012532848310156016,-0.000720371490298941
QDPR,-0.04275358674683245,-0.004859723275601804,0.04419945401185231,0.05933975946190831,-0.11772879001935134,-0.01904420947582815,-0.01703763272601693,-0.08862964121789821,0.03549041077226645,-0.06723498806293633,0.03396989317300174,-0.014900019795606902,0.00879962071743189
POMC,-0.0025756264121150497,-0.024822773077412555,0.013499923569027947,-0.035966709952544425,0.03117452016468715,0.03216675784739562,-0.01837186205955879,-0.021638399401122083,0.160447243974363,-0.031522432516093254,0.03458010568940345,-0.023661344471506435,0.01948317714273483
CCL18,,-0.02480501236159094,,,,,,-0.016354488559730446,,-0.03981536331398368,0.062014813600977166,0.005222389554892181,
