,MGH258,UKF243,UKF248,UKF251,UKF259,UKF266,UKF269,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1
IGFL3,,,,,,,0.07829484009425385,,,,,,
BMP1,0.019827215440843312,-0.00740615984244343,-0.01913497713976816,0.05602162421088544,0.07739479891052942,0.06236362078626824,0.07255501134449441,0.07304710113019354,-0.018353098953372626,0.029969495449834866,-0.003391510046155923,-0.028777598025353485,0.02267206223666345
NDP,0.07428558871411967,0.05485130214519637,0.04267322567184291,-0.009336846958335112,0.004826928553683328,-0.02007438810510828,-0.01565514991847801,0.02586547745045922,0.1268130919922408,-0.06112815577000748,-0.05213686257539208,0.06123180253134881,0.0074869840904216904
TNFSF18,0.05952226608038843,-0.02181211104418764,-0.0269015063464849,-0.004788094757637051,,0.10427505555641586,-0.024723662181288603,,0.07212500375618755,,,,
IL36G,,,,,,,,-0.01314381253637518,,,,,
RTN4,0.0775427113921635,-0.08847576630069025,0.08450700190409764,-0.016062114404254896,0.06435826027513085,-0.05900589909437611,-0.05980162807040545,-0.005597666223947301,0.1113832495896352,-0.026569161335719585,0.03652216222070783,-0.0909353421298692,-0.012622561561466584
HEBP1,-0.05127958757981746,-0.0050288307958700216,-0.04849457075808579,-0.02931934253136309,-0.06505870660392815,0.05725808712751881,0.05249756976819026,0.005730212543984137,-0.09005207267105021,0.04329003305885105,-0.031384651892913396,0.043059185943991676,-0.02225017022258499
WNT7B,0.026806018312506494,-0.038678236557275716,-0.039811278580984856,0.028215668755898506,0.119564087650938,-0.020545850279491698,-0.050820410576330174,-0.014446564688827587,,0.044749404353782433,-0.033485853669117584,0.017085283955586714,-0.020069971707720864
PTMA,0.02437428040465206,0.01337416373720163,0.04211100897730909,-0.017050452376643908,-0.01456444828009101,0.10095155309698237,-0.019659467234138625,-0.004768905776658145,0.045343676302887576,-0.03591453461739795,0.017335431312747028,-0.0720961064224346,-0.028606884432559338
FASLG,-0.019736378593722445,,,,,,,,,,,,
CEACAM1,0.10804348860286053,,-0.017122071535004488,-0.01916454527431803,0.003957343440351528,,-0.01993724525260164,,-0.0036549658032807566,-0.0378245583656693,0.04890489975329177,0.025260892620787546,-0.013320732114070834
PDAP1,0.07436707622679445,-0.021796649755092132,-0.023451529280798137,-0.013929828608494595,-0.02322886151850465,-0.015602891567519078,0.06302705651856558,-0.0006983007291870531,0.022032878253828894,0.033816300955835855,-0.037954901503418986,-0.011373428955303107,-0.013103508051985806
QDPR,0.01891314597001273,0.04737357271275181,-0.01865837314253848,-0.06291237577822895,-0.07860971941811834,-0.08446603807875455,-0.028969289042340033,-0.007274250357464079,0.043744884268815114,0.008925341457137444,0.06844707155930221,0.03754743217642898,0.015696365305172672
POMC,-0.02054668285073801,0.0848740575610133,0.02817779905815907,-0.005426442348308784,-0.031599850795723305,-0.0206937022599114,-0.03204470306809547,0.02451885280546365,0.1118811573367229,-0.04333880969118451,0.007311624174566867,0.05155777767537305,-0.021790967852233296
CCL18,,-0.029251834394216036,-0.021366727513413508,,,,,,,0.0006983823774870056,-0.020214411166160372,0.02178042648864139,-0.01784804995167624
CCL17,,,,,-0.0196680265897046,,,-0.012007245904690116,,,-0.01331199045093684,-0.02637682940699412,
VEGFD,,0.03697228102241481,0.010354277307176796,-0.02744936613489029,-0.02191235355560945,,-0.02789198886352147,-0.012868537340527368,-0.04572200803147665,,,-0.0182720348451614,
TNFSF13,,,0.04842614453662243,,-0.013566564558145233,-0.012202297374797293,,,,,0.04390945558041381,0.11735965087582625,0.0852529694252652
WNT5A,-0.028988134007365295,0.005399570569071091,0.05284064749239475,0.017081059048952067,0.03243639275310631,0.006897946142951598,0.00219559950048257,0.041146563024148625,0.06093952772847064,0.02919409144185962,0.011858688848571634,-0.004821527237099154,-0.03058424584422719
CXCL8,,-0.08206739728048304,-0.01810738141849017,0.06029346486128249,-0.02578911234448893,-0.017356976584945116,-0.024710027432492218,-0.03869076781684995,0.0009571005142308504,-0.031579271226762594,-0.0647463550613254,-0.11195953465837254,0.015209965400567328
GRN,0.055215813096306646,-0.0300170840584249,0.05906462711948296,-0.03600021530004789,0.006727595632845096,0.051741935146990006,0.052978398392951695,-0.018483064439708572,0.10108353130387675,-0.03692462349784493,-0.03605282154453594,-0.005637320289342097,-0.01377966092275215
