,UKF296,UKF304,UKF334,ZH8812bulk,ZH916bulk
IGFL3,,,,0.028546065610859792,
BMP1,0.004112602240273434,-0.06835984527139446,-0.060256816625569753,0.0008528986238428081,0.015899902241405497
NDP,0.0023092771614238337,-0.043841536928124196,0.02477319031488147,-0.00032879274270898915,0.06724081223414725
TNFSF18,,,,0.0017083750387729677,0.011554512520524798
IL36G,,,0.00914691780455232,,
RTN4,0.06802934384951989,0.13991744802868855,0.06513407965983206,-0.018489415780590684,0.0839676242853026
HEBP1,-0.0589675467188929,-0.11921719677861357,0.009068495966440505,-0.00332645807662462,-0.036415568774701805
WNT7B,-0.01621440790963992,,-0.015758313707128387,0.025994240724987416,0.029970284094405077
PTMA,-0.054835656043845965,-0.17655233501958764,-0.016300283631783697,-0.01378553333909046,-0.015619670475669131
CEACAM1,,,,-0.030993696062367827,
PDAP1,-0.02150128577629836,0.0031005669096792056,-0.08460928456508773,0.014247278195335035,-0.0020774453035159596
QDPR,0.013116130197129585,-0.13953965014950465,0.0580769236418091,0.01161617286939655,0.036990333160444505
POMC,-0.043610323725146914,-0.05322012865002933,0.062180116719693056,-0.03253864377716752,-0.014696295053667874
CCL18,,-0.014109979745205795,,,
CCL17,-0.020068891640274603,,-0.01309750461790201,-0.027576025851653623,
VEGFD,-0.014720774719788204,0.021096711639115844,0.010162409556359595,0.04168662617951836,
TNFSF13,,,,-0.029571721508464224,-0.02901803992416568
WNT5A,-0.0010550884635033555,0.09661711808674808,-0.015271532771489604,-0.005510067642835123,-0.039655291233873596
CXCL8,-0.013708625499631246,-0.05351205522963486,-0.042203892064326384,0.01396106267686689,-0.08515080196134123
GRN,0.011949912794184595,-0.07891316746948544,-0.005691608498219537,0.02175853133655042,0.032411548209588144
MIA,-0.016741781077469584,,-0.019224316661064694,0.026694606033078036,-0.053156656241391806
COL4A4,-0.028124860780467203,,-0.01864830036604838,-0.016523990834678117,-0.03243205346439306
TAC1,0.06061830226928491,0.06850245023546665,0.05393988044960981,,0.0738858535243241
RARRES2,0.026409587944651012,-0.04304661004424236,-0.019373650941915267,-0.006858650120310601,-0.0885076586826384
FGF7,0.04010643640031627,-0.024522163016096093,-0.017212664362658173,0.07013242628109034,-0.003218786370680034
HBEGF,-0.037804360946677204,-0.07447347698974323,-0.02852343455769931,-0.025958282171817178,-0.03653821714902841
CSF3,,,,,-0.03411480950242348
PI3,,,,-0.023430331509187725,-0.06655591130641243
PCSK1N,0.03748776093442239,0.16882839774669348,0.04140575942895956,-0.04738112411746604,0.08744136944193544
NTS,-0.03394710175573559,-0.021143092957663263,,,
SFRP1,0.05169545310222048,-0.03795949216918479,0.03882990785109823,0.06385349176198414,0.005518911750659393
CXCL13,,,,,-0.027671744625435486
MICA,-0.053152145318793004,0.10752728089122143,-0.03675422799884529,0.04547525177021731,-0.017338633901701414
TG,-0.014523769728473863,,-0.019674300032481228,,0.02022579719227004
ADA,0.02555131778510434,-0.06530246745980164,-0.028573571125164593,-0.022958278536595458,-0.018718317635964123
LAMC3,-0.025622814642495113,0.04520837049875898,0.028758037785921876,-0.00734024021827872,0.08402961611022224
CCL7,,,,,-0.057767487766648126
NGF,,0.004160587867132857,,,0.07310378756218053
TNFSF15,,,,,0.07348302963915852
HMGB1,0.005671574431187288,-0.06781629235866483,-0.006083653554363737,0.0021998829295011057,0.07798716507838925
ITGB3BP,-0.04562160046477961,-0.01930968274055791,-0.02521399450230258,0.019162083358713836,-0.007644099506811003
AANAT,-0.016741782008690195,-0.019877629902559774,-0.017569049655067153,0.028750977290237095,0.1769115886688534
RELN,0.027880573770852984,0.03340038605016449,-0.019450454415028937,0.1261179728744311,-0.0283461765231766
IL15,-0.03598357614668637,-0.015276642290928722,-0.016294481526809085,-0.04247863333254404,0.014530962610340108
BSG,0.01742750840109389,0.08212599445120425,-0.04907439774234393,0.06602530880430127,0.014363951086440983
ADAMTS3,0.0014912247600996455,-0.014231004731355334,0.1571562537592755,-0.010694256278960866,0.004319565955073774
CD34,0.006937309549621242,-0.02663050225292505,0.07145585079683171,-0.04427660231767886,0.0412452044342646
PLAT,-0.030475600258425998,-0.0448056253951018,-0.0355835735579372,0.029266145340648992,0.043818577867396076
NTF3,-0.027025229989842005,,,,
LTA,,,-0.016294483538207487,,
CKLF,-0.0579022560474767,-0.056144040419845456,-0.037655900453341405,0.003594396306890512,0.031004306381892492
CD24,-0.08623953730827207,0.03611537403712232,-0.002117135248025884,0.040907672320886095,-0.03474236075190174
HSP90AA1,0.043644573697809184,0.14072749216095148,0.04828890465438821,0.0250281819045374,0.06976209055725226
BMP4,0.0032668369310296696,0.01976727297097891,-0.013884582940923358,-0.024658113967229105,-0.00721913206508766
SCGB3A1,-0.014121856870501116,-0.03499019134347082,-0.011370075127428578,,0.09967775190730616
IGFBP4,-0.021207329659803584,-0.027239434483755137,-0.05449775243055726,0.012108153804107576,0.06362793346220012
RSPO4,0.06466920796194603,,0.00890279699466747,,-0.026266385784858785
LEFTY2,0.022123686736013764,-0.021143106878987156,-0.02011535795708328,0.07058076448802945,0.049494254873150366
PF4,,,,,-0.020575946260549316
ANGPTL2,-0.030862880628462753,-0.0787436787614135,-0.06194412214520088,-0.0056767666903447915,0.07208211772328348
LRIG2,-0.03499494652662865,0.02805744961576277,-0.0183416235477569,0.07720596902188008,-0.03187646096275095
ICOSLG,-0.02680064327759813,-0.09040956958858067,-0.039581006947977934,-0.0033987509040550473,0.011292947823081443
WIF1,-0.004532350978486429,0.2733402887169873,0.08043490534154839,,-0.03775642176912984
NPPC,-0.019625922260958186,0.033664917523724934,0.007857787382028206,-0.03236106767458288,0.06245036202200812
LYZ,0.010110122306357454,-0.0933476523806699,-0.037196510712976194,-0.07667863882302495,-0.0011676475568917313
EREG,,-0.021750078151542302,,,-0.023689009415859958
SPTAN1,-0.030932569069568937,0.15236198801867246,0.10320496001312479,-0.02858831219722375,0.049366423276154384
LIPC,,-0.03895399354891743,-0.02559710986594887,0.010990559236387386,0.06461112473127618
COL8A1,-0.05224120575081142,-0.07716764420471602,-0.031571380874992644,0.07566356335208688,-4.042475443658739e-05
GSTM2,-0.03413730291601439,0.025589467714125846,-0.0056042361864492496,-0.03746056235377306,0.03407988115721197
SPX,-0.058254259401771064,-0.0197083089394899,0.0639963315677328,0.020550281805641696,0.05356411585877844
MFGE8,-0.05962344774643531,0.12265008936971095,-0.01067158809905094,0.0017813361197732914,0.054302133893197504
TGFA,-0.013244574225949471,-0.06772237255148088,-0.025907577071377513,-0.017688722655207274,0.03893062465014248
SLIT2,-0.0020956294707223893,0.14826561073469804,0.06439751446981262,-0.04811296112976027,-0.029242577160322136
PLTP,-0.04008983500343725,-0.1265799013279416,0.013955535846028592,0.015812264462273292,0.10643099115700322
APOD,-0.00821684106848212,-0.10260252732003652,0.07839129373698568,0.032461627767954034,0.020192660143865483
B2M,-0.053032915164231566,-0.1763869173361272,-0.07844753534284668,0.03356358082954225,-0.0266352638729557
OMG,0.06802375092068354,0.0014636460550770394,0.08638875280920782,-0.002776371881027464,0.13423944412226302
CXCL3,0.09912171417715135,-0.03061855936085624,-0.011734978856698006,0.06300072732869728,-0.0848738099757867
CXCL10,-0.010196074771476785,-0.06075722395280138,-0.018648301544161777,0.0005122597993526574,-0.024685192023652595
RSPO3,0.08137910241551134,0.08860585746500556,0.09809490650147625,,0.0788070470777188
CORT,0.033895067611737946,-0.04291515986332384,0.115964788717076,,
NCAN,0.014519526002308703,0.12107553680160854,-0.02972970711879055,0.06981124817696883,0.13550840062233294
PRG4,,,-0.01433727157405586,,0.04504860992004075
ZG16B,,,,,-0.017553392425422348
TGM2,-0.027549347606716026,0.008860087541808113,-0.008051896056924752,-0.015598853865519922,-0.06386503233487505
VEGFC,-0.04422344688627228,0.12616942497475153,-0.014631757123009443,-0.015892905725242944,-0.06163644498606289
WNT6,,,-0.012769858758200131,,-0.018137920773205432
NRG4,-0.007633164168132886,-0.007737289884834445,0.022355486947962952,-0.025441597970412944,-0.027276650868039973
PMCH,,,,,0.03904106524665401
COL9A1,-0.020490701810957915,0.028390542455549218,-0.019450461875514673,0.0543743088703386,-0.069248355234175
GDF11,-0.05932164998696777,0.0482422448953911,-0.0230158417512844,-0.011255399311975414,0.005062634861437836
IL24,,,,,-0.03049438826608218
SORBS1,-0.0037613079229553027,-0.004650996890591737,0.005805774410497278,-0.0003924350834732336,0.05643580462472903
DLL1,0.024857634332435253,-0.01704329985938284,-0.0043521196729293075,0.019455937919324623,0.001006387148552069
