,UKF260,UKF266,UKF296,UKF304,UKF334,ZH916bulk
BMP1,-0.029352024962136427,0.06122551541671279,0.036421504727831705,-0.06402434245779803,-0.11293615079887086,0.0003630902560840836
NDP,0.10452899177077651,-0.014149391687608523,-0.0011584290354364293,-0.06886491864443894,-0.03680549988920801,0.044086624451169364
TNFSF18,,-0.013966646357950011,,,,0.012367493279353835
IL36G,,,,,-0.014899814329179244,
RTN4,0.1324926006049782,-0.003412622063007667,0.03683172634548859,0.1646854685802876,0.13900232415513894,0.050490866145406245
HEBP1,-0.04808766227781866,-0.013389896812382588,-0.03344204654475847,-0.07242358526342692,-0.043904661674164576,7.376367514630898e-05
WNT7B,0.015005257438681929,0.06001404215108806,-0.01574878515689995,,0.004324916771089159,0.049323579377121
PTMA,-0.10313923772853882,0.01090188559070714,-0.022315659439301475,-0.20293923676615477,-0.16054055008687743,-0.0664527811965785
CEACAM1,-0.01296056418153284,,,,,
PDAP1,-0.05359637149418578,0.02804530637035557,-0.027035725180998414,0.0011574710050925852,-0.12223121093459703,-0.016373552237986595
QDPR,0.11627166164988927,0.026674338309456636,0.02122386451087181,-0.16468402759053907,0.05846056505564314,0.06825433849905926
POMC,0.11607424688030529,0.0490629136022087,0.008645631183524098,-0.04012010433112557,0.03601626396334221,0.028563521432712225
CCL18,,,,-0.06014293464139662,,
CCL17,,,-0.019492581199457997,,0.03695387149806872,
VEGFD,-0.012399934005613022,,-0.014298044041881815,0.1105235240020067,-0.014587762609314102,
TNFSF13,,0.04049795051202147,,,,0.04516936257212044
WNT5A,-0.10454538593611558,0.024538832290777114,-0.04722579074204387,0.07025071072386431,-0.06451051804846938,-0.05243746481412702
CXCL8,-0.017144784101071227,-0.01926650470523556,-0.013314960311423861,-0.05333613325556463,-0.04385982036254999,-0.07348981020764489
GRN,-0.036313853679832496,-0.05058532572952678,-0.019737993761885012,-0.12296963175050554,0.030259818028037108,-0.012462689288577678
MIA,-0.01831626475342126,0.03500440433607301,-0.01626101395760289,,-0.019978609415025578,-0.031961449643319095
COL4A4,-0.06329147660627645,-0.01288721538049153,0.01636884612498874,,-0.019379992320971543,-0.03243205346439306
TAC1,0.1608690867295298,0.03988711142963388,0.07656885357898989,0.11756567334919747,0.11263464783731257,0.03020262193682511
RARRES2,-0.10657555540067327,0.015475287092447765,0.036464611781506145,-0.07065305482498631,-0.1029113866711844,-0.012324189502171679
FGF7,0.06869025485802299,-0.027102726392640532,0.04659284089964399,0.023117338113907204,-0.020244448057155896,0.08713612040616153
HBEGF,-0.06780876741805698,0.04790005461180903,-0.03671874803329403,-0.08587356478455645,-0.013448420960269297,0.03231954874327512
CSF3,0.022816512943326053,,,,,-0.03411480950242348
PI3,-0.03803800111040275,,,,,-0.06456040156756646
