,MGH258,UKF259,UKF260,UKF296,ZH1019inf,ZH8811Bbulk,ZH8812bulk,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,0.023208934675684117,,0.060095574997743685,,
BMP1,0.04887799693388942,-0.07429545599858958,0.0718363287879311,-0.012529483278508015,0.07285785085657676,-0.04003947711213071,0.04849096719397806,-0.03014226821620757,-0.027709680516209385,0.04720551767569528,0.027882598595070213
NDP,0.04235362613595486,-0.008724274654904402,-0.01600475564343885,0.019657884573598464,0.07746123912683057,-0.011424908951798736,0.05660935698191462,-0.011102205168775527,0.13539331347046638,0.05212604806522462,-0.06083963067484343
TNFSF18,-0.022885152519951636,,,,,,-0.038771600428271664,0.04818823977116976,-0.049157853526263014,-0.024461931285370195,
RTN4,-0.001964087150364421,-0.009619964293851958,0.05957970052193571,-0.029310164931813872,-0.08561085837399592,0.015769930481438175,-0.08792281585485927,-0.15657119373098413,-0.008969926671763573,-0.11497473823304244,-0.02884517997132466
HEBP1,-0.04467906471316006,-0.01629734301056501,0.08649144144436284,0.015993212124151376,0.07148725375858202,-0.025722104027112728,0.06473170976963184,0.13479361900031708,0.06715098738266277,0.02814747932678074,-0.1299389864454552
WNT7B,-0.020161102587168217,0.1198187828594871,-0.009300559016011787,-0.012031755140178402,0.038665973621155036,-0.04722608165607682,-0.009143208282443945,-0.0364266611309212,-0.0345955897911894,0.002147187375117097,-0.0023039440307244642
PTMA,-0.0018118115220404876,-0.023524959590034155,-0.01191516835787366,-0.025474032757016513,-0.10019657003418594,0.008244617222392496,-0.12207705058447524,-0.008394090342014819,-0.11383811649915845,0.03667240224807275,-0.02705435736469359
FASLG,-0.020161108286660272,,,,,,,,0.09741809207396365,,
CEACAM1,-0.027993875299741268,0.048717583972570755,0.013571996681051671,,-0.038456127582729066,0.014864869815615285,0.07975012548973526,,0.03994619212770059,,
PDAP1,0.030219505517286697,-0.0019182011926915917,0.08515398620208996,0.030877690976194982,-0.06092463775629111,0.04350576094515064,-0.04040212328418017,0.06672970653886197,0.006788902154494346,-0.016644788593055973,-0.03278571112966001
QDPR,-0.07396904965768848,-0.017570205230384838,0.0046979462607785885,-0.028948090246257104,-0.1398203123745728,0.04775436521956392,-0.0801975268638867,-0.07229736355195142,0.031912253129063324,-0.07863307772385622,0.08908166190471213
POMC,0.03080111384511819,-0.008486360932699513,-0.027038022188018658,0.01704505011161583,-0.01698291923120245,0.020701507948669866,-0.010837133205704471,,0.025266151338072345,0.022002567681384432,-0.013304207354266916
CCL18,,,,,-0.027266026735544523,0.012320651058399785,,,,,
CCL17,,0.015084068618447948,,-0.014891940026191161,,-0.03302703881939089,-0.03862410449411476,,-0.022909047114582935,,
VEGFD,,-0.020115019850601143,-0.012855570975227716,-0.010923418103779116,,-0.022878837893245466,-0.02340138453277174,,,,
TNFSF13,,-0.012453783875794319,,,,0.0937357685281057,-0.0023665967271563836,,-0.03732838013274439,0.030274158876908826,
WNT5A,0.04996077611345516,0.05444140284966992,0.0006778101930744833,0.014492771247661754,0.046234482353989935,-0.03139528374599673,0.06404071761470809,-0.03721577294493003,-0.024573419660462933,0.11849214031781458,-0.001364681054735866
CXCL8,,0.010660750078222266,-0.013810065297892728,0.1010450429453916,0.06453580905942545,-0.06810837465492585,-0.01862005250859183,-0.03585913280342691,-0.0006598767047648009,-0.03538650828934918,0.04595964900694612
GRN,-0.04722093340558088,0.014609518292921625,0.01566330721584793,0.009784536619630297,0.03287911030217099,0.004455581812107249,0.10826350760811086,-0.043895455875881235,-0.06569066310487362,-0.037080802840756134,-0.05901208611863427
MIA,0.04695501936353617,-0.029277441082904164,-0.039008244317624834,-0.01242308764261621,0.03722621640798318,-0.006163191802733361,0.05420894033229075,,0.0741481214212132,0.08375433739030388,
COL4A4,-0.023349020013911842,0.03698548450761882,0.08001843568973914,-0.020869799264209028,0.005051654166470791,0.06065445973910367,-0.010103759277892272,,-0.00011330544660924423,0.011267283121976723,
TAC1,-0.020161097317830803,0.027886434669115875,-0.03330374978730094,0.01618279864351078,,,,-0.015426193168779646,0.01027247962494748,-0.08502646005643309,0.062295141090195134
RARRES2,0.09960845374705288,0.04756258416921181,0.030162314000430332,0.02234792341412936,0.02554259022681107,-0.018885760441916963,-0.0003909591841459972,0.10871010721646747,0.06890971730074154,-0.05491951044231105,0.14331075020938722
FGF7,0.032583056353413846,-0.014183352714241815,-0.024614679657911157,0.07547477566780332,0.09552631938524257,-0.026180196473038223,-0.039460363866374804,-0.04179538872682072,0.09467385028576154,0.020408048659213217,-0.053647100886538956
EFNA2,,,,,,-0.021744804295295756,,,,,
HBEGF,-0.018226252660197378,-0.03189477394515666,0.007901367085695958,0.012011109192836206,0.037127263824768095,-0.015272650985697049,0.06662655435198947,0.04227533821524055,-0.05652141800465282,0.09988284237479178,0.060698044385221354
CSF3,,-0.021519724735235394,-0.025353760450017183,,,-0.0661812646682204,,0.11926615921087053,-0.02411969247400841,-0.005022749180174923,
PI3,,0.0256632301718714,-0.016542776000166726,,,0.006454453770784387,0.09848408200331223,,-0.05240407876374178,-0.05163591909469524,
PCSK1N,0.00421965854630833,-0.0018581283342738095,-0.004995716425398303,-0.01647026881181649,-0.014694830697526954,0.07405127868768896,0.008726199156189107,0.0795348087080983,0.09298015534778034,-0.02716138066824456,0.037934990535698945
NTS,,,-0.03291995429706242,0.009661704805693491,,-0.026491917665304336,,,-0.011430700837502257,,
SFRP1,-0.029334905862466648,0.021949739707917672,-0.014665980195732169,-0.01489194017616523,0.03978882277506196,-0.006082558158312794,0.03213786712252662,0.03398448744631079,-0.034887980300697556,0.005877189409025075,0.05395639836680509
CXCL13,,,-0.01453417366709335,,,-0.04725394968071819,,,,-0.026269885006696008,
