,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,,,,,,,0.015955731498100312,,,,,,,,,,0.02608935626419891,,0.044835815697958095
BMP1,0.041537323695451434,-0.012833056183741316,0.032867297321962426,0.0413271251878733,0.037114108307775236,-0.01511772460633884,0.04490676828834425,0.16395400917647082,0.1252043937464011,0.05260324451901207,0.07677123360437023,-0.009584814390104474,0.15852811835719852,0.0476823769889844,0.1058034624124948,0.027949002633475217,0.058180415811593236,-0.024438601827592093,0.011856967137049236,-0.016527364489063116,0.10337835622375688
NDP,-0.03949994508394696,-0.0517897082599258,0.03093532195052156,0.0671464938774488,0.12607168042553213,-0.06852832795449895,-0.0021464082002397543,0.05201708819027211,0.03772496014725536,-0.03539303725668955,0.016969426004118927,0.013980749168426052,0.029077943918069827,0.06423711382777907,0.11141771209864634,0.09205873567503461,0.08606978175880935,0.05775230024398961,0.012030842263707318,-0.036703539787113604,0.047386998009507485
TNFSF18,-0.021153822696101936,-0.018985867822073912,0.07579138702045549,-0.038221125593489585,,,,0.013566870478575582,0.06547124808898529,-0.017588835864202883,,,,,-0.03644539637324152,,,,-0.022556788232574364,,0.07480444333985609
IL36G,,,,,,,,,,,,,,-0.010218104612282173,,,,,,,
RTN4,-0.038015452467487,-0.00648417678946169,0.029471491817521435,-0.012504371348222383,-0.04386893538008159,-0.02594838162162296,0.0018148296831115428,-0.15763831399890735,-0.17075983086452576,0.05797223365709817,-0.03721032372154016,0.12303452608870036,-0.03749749716845159,-0.06879271894926217,-0.0012385138607951662,0.06300602179170843,-0.04461001016613152,-0.04282703010902006,0.06531520292306901,0.04100495135125392,-0.008176861215483618
HEBP1,-0.011253997601060774,-0.029717546666407395,0.06582324645893799,0.002758451624528681,-0.012848991040589045,0.005814722058620736,0.04480135578856938,0.08563266065295286,0.027883738797090357,-0.010427496474032072,0.041264131565427076,0.03796152365423181,-0.008272305943891748,0.018179033874462427,-0.028010080933286302,0.08351790055310995,0.0498379138108582,0.06400757733335852,0.01370884577263303,0.013508973106077383,0.05406602970472176
WNT7B,0.0848709157194235,-0.02916302556414039,-0.008701639959087834,0.12116564230798725,0.06463161380828943,0.03245072961845582,0.004816957063112753,0.03790397284629556,-0.020758884469031964,0.06255158826389977,-0.012031752827074652,,0.10900070497131069,-0.02713168833874351,-0.003103400125330442,-0.04434876361575468,-0.012121487951272778,-0.04457251452516614,0.03145781994654892,0.06314204665725458,0.02984364664074416
PTMA,0.0443182598860466,0.05824668990445571,0.032002683663521575,0.027406746007451434,-0.01780937699888754,0.014515394117592905,-0.01629323943076569,0.17805942073878117,-0.054004421848964645,-0.029147366398105213,0.013920962738937477,-0.10860637629165139,0.19951945076222177,0.08955011184780612,0.10635334715883357,-0.11737458990489576,-0.12930362436985715,-0.022530193265884808,0.03228966987071223,0.008761099145523202,0.051347279249121906
FASLG,-0.018635860507423184,,,,,,,,,,,,,,,,,,,,-4.7729872089199625e-06
