,MGH258,UKF248,UKF251,UKF255,UKF259,UKF260,UKF269,UKF275,UKF304,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.016649264633614855,,,,,,,,,-0.04373678021186634,,,-0.01665337021602365,,
BMP1,-0.043162048593702707,0.05195570130571736,0.00602733300562226,0.06132823623679925,0.06676750538807025,-0.043469250881877,0.031698503217121206,0.037549031959205795,0.11943236229370473,0.10260066673171284,0.006029531925669906,-0.055336259151011084,0.05899466892414161,0.04646692910492745,-0.013363131707383456,-0.015407096868652624,0.025517067977916613,0.006389960480777485,-0.0224625908129982,-0.026672881566321225,0.028928677330191575
NDP,0.051145516215162695,-0.010133971251078244,0.007869546288657856,-0.06030201423202983,0.017439369117140224,0.059055565334245295,0.018275807761819488,0.004838681853384534,0.09934357978081525,0.09212530593968109,-0.0456872188146322,0.04080040930997709,0.021422396350171614,0.021260814870416127,-0.006002517601897267,0.005497147189815775,0.026332842735457242,-0.06616131181501447,0.026662354587401377,-0.015859380580091186,0.069530003631362
TNFSF18,0.01731717207809022,-0.043536902336996655,-0.011197518192171529,,,,0.036129486952698193,0.000346475444915362,,,-0.04347724700164679,0.07821185012021979,,,,-0.023506014499898413,,0.03669020836669112,0.0024235836703728414,-0.02568531240947159,
IL36G,,,,,,,,,,-0.0038748809084650448,,,,,,,,,,,
RTN4,0.020445182592929042,0.004634305394122387,-0.02357997904521099,-0.0032400956232307406,0.030409374954465693,-0.02268474320187995,-0.07299033827455786,-0.011950516575763997,-0.18266431605969946,-0.1112162254185392,0.001516166777020037,-0.07135346580902313,-0.06246217519620092,-0.002965646010844622,-0.005615599259667778,0.06726450694026147,0.028892992395682725,-0.07620978691519875,-0.00013549227872462348,-0.00908760212726336,-0.006117027962642386
HEBP1,0.08161948871247637,0.027003603232677573,-0.0062773719221849884,0.025668200303683452,-0.014366777917305881,-0.008403888756318813,-0.023417243816707692,-0.011282101945968811,0.08925024290860845,0.03844661303459435,-0.01977962835914768,-0.060161179911753446,0.039605468721466815,0.01271110796640118,0.0387523046529938,-0.05352645209090102,-0.0018451218243420043,0.0769259609308837,0.004414513743580077,-0.04354322897824343,0.007912775358961333
WNT7B,0.04731721019644593,-0.017413672777223856,-0.03146655082608234,-0.03572386541025049,0.017536618447039725,-0.03710610661365819,-0.013753755164869643,0.019912388573590147,,-0.03474060272489071,-0.04786420533429978,,-0.03205227690391998,0.02575107273286453,0.035092486656629465,0.008240643776728961,-0.018838793796912463,-0.04694149733060348,-0.010047795193116235,0.07652772662421875,0.10811461625642653
PTMA,0.1193758401063815,-0.009153937050581573,0.0017346450087739962,0.01520333943370872,0.015829278122400887,0.025806932440174433,-0.02732807889255576,-0.047313243004985156,0.20862130080240798,0.1247367895074576,-0.054010064589097816,0.02926557762473707,-0.08241498202284707,-0.09433784820737405,0.00138138618631942,0.031836213907866104,0.052498476030576974,0.07072767075096828,-0.041522461789835256,0.08205933333848785,0.003323903725269253
FASLG,-0.007815460366888816,,,,,,,,,,,,,,,,,,-0.014443462306977966,,
CEACAM1,-0.036023222850297465,0.010851791786387082,-0.024148685173426523,,0.05259757141465357,-0.0037779181508708734,0.014409379346679428,-0.026114893045149447,,,,-0.03236422884447665,0.08156962892877717,0.015514614530839216,-0.02225083938032609,-0.0272777930508826,-0.012503581428784567,,-0.02009595644168105,,
PDAP1,0.0612937444037933,0.07130368568383182,0.0934980993502909,-0.020731248429748803,-0.029205796430339114,0.001681580747884596,-0.011704045916723861,0.017108819780791904,0.02295784176775604,0.11672176127181273,-0.05312594319531804,0.08763963778466645,0.00894108940535968,-0.023975686126723333,-0.005481981587655889,0.046361628399624294,-0.031126001039701433,0.021820392359765052,-0.030768036361176095,0.025070370749006105,-0.07480185737730916
