,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.04551258788111644,,,,,,,,,,-0.022793762388833936,,,-0.038711608880026754,,
BMP1,-0.06698551874416066,0.01791704157936027,0.04517740097992664,0.006563324566628739,-0.04802780432206905,-0.0286419008229056,-0.012632630799688488,-0.25064576993845433,-0.10719488308424875,0.021153752849624816,-0.15063939141287838,0.09408833657945062,-0.255542557959291,-0.07802982811995836,0.0636278729853474,-0.013422863595306122,-0.04750291352577288,0.0057164373168254795,0.0067765863907727365,-0.03900646491202459,0.03375531076463199,-0.03304336612031783,-0.10074813341475063
NDP,-0.006866126012388502,0.05772479524947664,0.05909757869209549,0.015252746056411557,0.027605656346406524,0.226267256773635,0.008919391716900467,-0.06627486594906408,-0.005002384863991471,0.04035383314136961,-0.08971074193361141,0.04995586505871317,-0.010878487676159291,-0.008322241764393988,-0.0765143075094252,0.03479743841119636,0.09180314020338447,0.028924859505181727,-0.04860461054863519,0.1657168792136721,0.0764543596665551,-0.007747962919504645,0.19167005241102925
TNFSF18,-0.027995566446497054,-0.061312654107308726,0.08168282550779557,,,,-0.03795364734589314,-0.05563657274071045,-0.008895434847973602,,,,,0.028965942133827558,0.09254307952545358,,,-0.023506804818071225,,0.08875086648975028,0.01330277584590607,-0.013121686785161731,
IL36G,,,,,,,,,,,,,-0.04661586514025452,,,,,,,,,,
RTN4,0.22915528854727596,0.055191406999491884,0.07441663543902541,0.02074412122187108,0.08081389190065093,0.21816376690510442,0.14958643713081937,0.3116538500506628,0.09840276360192551,0.0371543279606255,0.3492433615930683,-0.05481163281241403,0.3750925608219189,-0.036418306122082245,0.032611470074282944,0.0007686756032905332,-0.007243467573179195,-0.03281966074479806,0.08798334698734425,0.09431668422838517,-0.035858582200595096,0.2259849168096573,-0.0006297484597407201
HEBP1,-0.036680346519989325,0.027642799776158113,0.01112329610297171,-0.008277390399563432,-0.015264852654484557,-0.018025821606199956,-0.05488227711995311,-0.11226323810270426,0.02013856388547893,0.03366905249447552,-0.12100417484949862,-0.005652539546639138,-0.00238179690674494,0.05755001268176567,0.009398104804076976,0.013501095294924168,0.08523897395550523,0.007992342387002646,0.01578877934480559,0.018364779953647842,0.0479978945982795,0.008279763517527978,0.09663353175230215
WNT7B,0.17511227087165493,0.02689223544366808,-0.02464706684730835,-0.04470075919525412,-0.0023741764686578673,0.012495597614765534,0.07538451361576919,0.2232416081953881,0.054970181637568304,0.0627899707125626,,-0.0038726625168826905,0.14893762910499167,-0.030537170051605046,,0.04108055941894537,0.019903888940191388,-0.049154630525615105,0.024630001032496733,0.1244046657614146,0.02202279946323997,-0.02504598098504017,0.05167668961038425
PTMA,-0.00013634621888640957,0.02235359780885124,-0.042097760139300826,-0.01102824146337638,-0.006970082214755608,-0.1987212504832416,-0.16265570379104427,0.09117660342182178,0.10599173748699024,-0.05170178460235748,-0.4336265248701048,0.13064810644269814,-0.36182677134070657,-0.11069262861389487,0.1511867292698733,-0.13873755141299884,-0.02996286691661869,-0.12446255019761485,0.006392747044816274,0.0013848937620194218,-0.09332307770275518,-0.1432029150291631,-0.09294947122616948
FASLG,,,,,,,,,,,,,,,,,,,,,-0.033574565174990995,,
