,MGH258,UKF243,UKF248,UKF260,UKF266,UKF269,UKF304,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,-0.01841751091220137,,,,,,,,0.009654523469192785,,,0.007892727079184956,,
BMP1,0.008597265121615,0.012709135887416961,0.01508269566072527,-0.009959422162535016,-0.044262273106442346,0.11695918069788816,-0.027623833908539196,0.02572439276925806,0.1440681322082877,0.03333804721586077,0.09619342688809887,0.030227534331994148,0.006677079764672868,0.037821318988074316,0.05169084908105894,0.05652844206387021,0.1071047764050461,0.0653814244122241,0.031873011503299666
NDP,0.0007574947827293558,0.01760579616509389,0.03245346567991963,0.04231947230265894,0.012131099603832645,0.020682138261808283,0.005414331014905567,0.024308912581149207,-0.0007762084862057536,0.05816239157411137,0.024539795924484385,0.09351874669061683,0.15541556045905594,0.009316239308597325,-0.0286222214765659,0.01796788926542631,0.02805631413490898,-0.018633865461976377,0.08438213547186385
TNFSF18,0.01757031322060154,-0.023357420067075543,0.09154528450200002,,-0.015383944307870828,0.08702437734805318,,0.03798764292797577,,0.14554777336994193,,,,0.020478724654626197,,-0.007047316791121722,0.03976289232711928,0.10531432952775402,
RTN4,0.004463955069337203,-0.04306646263756603,-0.022469067812341554,0.05653083004578449,0.05756452608474156,-0.1434185344894904,0.08063745185042004,-0.0821402901523908,0.03308874312351071,-0.025797072886854264,-0.049620397964207696,0.048954620899601904,-0.04393773583748873,-0.06602945411186936,0.053061642674865885,0.02111641754928937,-0.027773631937456786,-0.058489628837936763,0.023718585967772814
HEBP1,-0.025918193896237385,-0.09586623812539533,0.00756709352939996,0.03467745689853468,-0.044529329262239466,0.0632548347514265,0.018047493974815493,-0.012583214378774297,0.09413364271680211,0.015613867722855015,-0.02536929097437947,0.04279516450578301,-0.0009781254235573448,0.008861009682739287,-0.06621149978592518,-0.0019551251931763376,0.04813829595156581,0.02021760578368982,0.043706612106672864
WNT7B,0.07298686932274244,0.06182084366653736,0.012295790008925016,-0.02429625666322658,0.02991785808746718,-0.049900516105380724,,-0.04187507027238954,-0.00023077883149041312,,0.023614817369840495,0.0328161121496616,0.1589548844088952,-0.038312435221691775,-0.01106858114784786,0.04746021057490783,0.022662277673794095,-0.013414077344051494,0.08154187547111497
PTMA,0.021860466598498475,0.03835440757106305,0.0412660490338145,-0.06118100259044874,-0.03755328076219519,-0.041375166252962024,-0.04224654685265298,-0.0077037577146743365,-0.058770776177618334,0.019779587891274212,-0.00895244348519064,0.015714176340214183,0.042614027804050734,-0.05833650703933675,-0.051276835063801075,-0.011560208506439249,0.07403362434206678,-0.0009798244178796257,-0.024725988048265216
FASLG,-0.03220827811811973,,,,,,,,,,,,,,,,0.03950245930902115,,
CEACAM1,-0.033610823432144936,,-0.0029862149761383703,0.043468158270456705,,-0.0015215684920110437,,,-0.04938362676211998,0.027121132316168813,-0.04491639362277424,-0.004481751387679562,0.03875476052428105,0.012178509976150753,-0.006329870101954435,,0.060651130172392785,,
PDAP1,-0.03262961588440979,0.0009808368154603944,0.06573230904292265,0.02519303731669331,0.05950343265325454,0.0906167096711875,-0.01108098743642436,0.04895793972787391,-0.00146231761332614,0.028175933401857367,-0.039559245076894435,0.018572283051676065,-0.016668063616114188,0.010559484663068126,-0.08175195823891937,-0.02196613690263103,-0.03927069344344765,0.006869487693222266,0.103776199647196
QDPR,-0.010362947973071999,-0.005369787225831055,0.05716056437998675,0.014654192259161975,-0.04659476240919004,-0.1064648100248801,-0.030186529373056326,0.03846815808097799,0.005802267232224377,0.010599587201460646,-0.08413231622596627,-0.025191669420877624,0.025539012204496607,0.0025422565100632266,-0.00986096126942309,0.018083310469240704,0.0005300518086414124,-0.06299511496674484,-0.05116388395100362
POMC,0.0006649373730190337,-0.02988412179461836,-0.03264570987918789,0.07803595262600768,0.0958760126163116,0.029389950192548593,0.047842579188104126,0.008513458772600223,0.00618726216096889,-0.0546274574864261,-0.04837679902059294,0.11883424313306894,0.07497901596827806,0.0030287205493690107,-0.017364176089986662,,0.026932521697128377,-0.011664563284984303,-0.0006110914012651242
CCL18,,-0.031324220855747924,-0.011398539542363601,,,,-0.047233103308347846,,-0.015145218398415896,,0.06341433808048613,-0.01275699602244212,-0.07424523722770308,,-0.06222908993255235,,,,
CCL17,,,,,,,,,,,,-0.032421302937166975,-0.0013636958538004742,-0.02705679268788183,,,-0.04199007237035098,,
VEGFD,,-0.0005934672603374741,0.07148324855475335,0.00482563874317326,,0.154851359022736,-0.021012483217426832,,0.001555180299983176,-0.052711637690048205,,,-0.004508451981468649,0.00306494866996987,,,,,
TNFSF13,,,-0.018718662968139947,,-0.014919216706817022,,,,,,,0.008712392224246144,-0.02335508818705396,-0.010951057870563772,-0.031918097352986584,,0.06684502683012411,-0.03307829860077922,
WNT5A,-0.01230702290326609,0.04643070236495252,-0.0292682176555794,0.0752180230925498,-0.03218959051384423,0.054137141214242256,-0.000643676333971307,-0.022177288245022346,-0.0218428031446867,0.008571684898028452,-0.04151687322100857,0.010983946472235242,0.06330650990068323,0.018535989156018867,0.011866256979684839,0.0739327563685773,0.10041641768383065,0.08044076651216443,0.021934431865596807
CXCL8,,-0.0481519561358461,-0.06502899136294665,-0.026834570151599475,0.04882195498843919,0.052495530055235044,-0.047880423302845115,,0.01586313246968537,0.011620100164782734,-0.016676574348790336,-0.07536472674134853,-0.15941982000798557,-0.038390870698461955,0.03477552525892234,0.00010182168312245507,0.01354208837554304,0.025795235703579385,0.043542808203611234
GRN,0.03797327802447041,-0.04143239418252999,0.024214661390068313,0.006630563797033731,-0.04161656595439847,0.08489438206831283,-0.01942772003016304,-0.005572265910157976,0.01163191832200468,0.03361896111960459,0.05500186869509477,0.03563602437050424,-0.022635149579530334,0.03206222657048631,0.01604430500937426,0.14756106755877763,0.027663358787199426,0.014569227597050207,0.054931871475143834
MIA,-0.03113867543050457,0.0017808801127371238,0.011973973737149032,-0.0012144705732323,-0.026976821144150512,-0.0379062000404689,,-0.07122369411964101,0.02556672110859205,0.01980061597682954,-0.05598750619176108,0.04999199654197422,0.1253418157767216,0.06572346125422633,0.06816618612618967,,0.036639321532970684,0.05686301766768977,
COL4A4,0.03997488810736039,-0.00219227525295101,0.01765016228270533,0.01610411606728486,-0.014194975559338045,-0.01814908996114885,,,,-0.05325395700421069,0.06920317524448448,0.12193868839027167,0.036811951566747984,-0.042069310264649565,0.0020453987017006923,,0.044458903787408126,-0.0028870466583778,
TAC1,-0.03220826059492085,0.014619508224151185,0.002167035031248911,-0.008442546916956777,0.08782509011728855,-0.09907153195855856,0.05588674321670849,,,,,,,,0.01613172882772769,0.03781224636572235,0.06021777667356517,-0.056642073659618236,0.07332396071128525
RARRES2,-0.0042204386879143565,0.04019909178226763,-0.0034071505466332927,0.0008509169871376564,-0.01455729148307516,0.12493057306859386,-0.05173520524153692,0.050181785318070125,-0.07093777712324109,0.021942499882175046,0.00010722997774640036,-0.057360607572491264,-0.035600010819821094,-0.0013491424304779105,-0.0018864295006474408,0.013876026659682409,-0.010691079487206056,-0.025841279199758174,0.029130302379840243
FGF7,-0.002194441604912542,-0.04807007266260468,,-0.04002807685097474,-0.021928912620861718,0.05771639237951473,0.09573168267592225,0.0620096435166429,-0.07140277904581487,0.00801502095488768,0.05795806485800453,-0.013515208166206188,0.10000908942847886,0.019897544645599133,-0.0371881980822952,0.10949670593439786,0.04182619277324636,0.05132816574711375,-0.06424494928695378
EFNA2,,,,,,,,,,,,,0.04940895946078407,,,,,,
HBEGF,0.01560224910783077,0.0029652618547920677,0.06401500399687307,-0.03931439571455973,-0.04031014858862662,0.04370438454111488,-0.06454478761503107,-0.0721670289680136,0.09058935624280716,0.06479816868717196,0.06897083168230106,0.03895907220905179,-0.00777561257464196,0.0366213809927,0.05309268637429167,-0.024496853737390682,-0.03818927292226394,0.009953513458598594,0.05775963044354773
CSF3,,-0.03552877866299963,,-0.06521429523498448,,-0.019201387852292133,,,,,,-0.0009428785086851163,-0.07431784509202626,,0.019984640570701612,-0.07588854151562352,-0.05358693936255282,-0.026036324428707968,
PI3,,-0.04208913641273348,-0.026095917025832863,-0.05556110264801716,,-0.021621016152569086,,,-0.024815004635325474,,,-0.053352072006471456,-0.12149604521326252,-0.0282764115267396,-0.005424977378220784,,0.021306439784625864,0.005719044156780097,
PCSK1N,0.010571038568587907,-0.005510934516079828,0.02889448427136031,-0.006234048054785425,0.011052970000134034,-0.06388814556372363,0.04104361481059756,-0.029282460613563176,0.005584992859696442,-0.042440556983583094,0.04960428950715994,-0.04520908447719916,0.044743846008549144,0.0242092215239753,0.051792321956996776,0.054104907400564374,-0.03318716030877672,-0.08563978365074423,-0.07389490289016808
NTS,,,,-0.002072210779250142,-0.017328839943421583,-0.023600815431617763,0.00872464096407229,,,,,-0.06260933814179567,0.03688385931865968,,0.004213876825531925,,-0.005014538286211771,,
SFRP1,0.07852800176692463,-0.043800521087514636,-0.06804247205617055,-0.028705657558526918,-0.0018443083255508445,0.023224155258898368,0.04725419523251372,-0.05230579112294499,-0.03217802632573942,0.05903335428653566,0.05792947312756616,0.008943717424438181,0.019814267816218773,0.028312105968568556,0.026417408314442135,0.06172821383445982,0.03630590905443031,0.06870017325360576,0.15554745694792982
CXCL13,,,,0.050523025680205384,,,,,,,,-0.02860832717013444,-0.03567264153276367,,0.06097801788072726,,,-0.04975056430009776,
MICA,-1.7758408310893077e-05,-0.06218697617999625,-0.00034783885619119146,0.05256378197308144,-0.03678103117586855,0.11942810469893954,-0.021124898353539607,-0.04122249306857297,0.08218107694859347,0.04670372366788078,0.003322643521681018,0.007375945681997278,0.05960218409754611,-0.021396117753977494,-0.021271123675500464,0.09568846768878357,0.006302819148329145,0.0005365209011910855,-0.026269092304053256
TG,-0.010297394328694268,-0.02832210740607974,0.05170664125548168,-0.017968937258663734,-0.0016246895610374918,-0.00629512390383978,,0.013710643972895205,-0.05107619106530363,-0.017944075846991307,0.036603645112178715,-0.002418290954988146,0.016242726714083514,,0.0011019182816906288,,-0.01603779402173759,0.06390086917745186,
ADA,-0.019503668407837776,0.017589389002697162,0.03450300883991838,-0.02400839784789012,-0.039075968288304196,0.09317048881493824,-0.032579005098542585,0.03494805605366233,0.15088915929672966,0.004902620627473012,0.0528273016581024,-0.029534574666126943,0.03516500106878479,0.01254292956837972,0.04257263312481691,-0.03864500931003967,0.1863569574950329,0.010878067812249221,-0.004381850621152466
LAMC3,-0.019145452604054963,-0.021518791814709157,0.05805990272827294,-0.004270450515931647,-0.011305256887635994,0.07215655655273341,0.04935741827171493,-0.041356736311695945,0.10549828224412433,0.13265544736390933,0.089040861171958,0.02287047053353367,0.03771350178931931,0.014288751961570244,0.05757218506699086,0.09627914875623006,0.11529360053189833,0.024489754715941277,0.1711771875735426
