,UKF251,UKF259,UKF269,UKF275,UKF296
IGFL3,,,0.11186952097475479,,
BMP1,0.013948507042790463,0.017433764644128817,0.16977681835942815,0.03389400381555187,0.0011751936759487368
NDP,0.019415862817238755,0.005392150880357559,-0.008559396939345109,-0.008780036520072518,0.05353234674209986
TNFSF18,-0.03209565260505967,,0.04860270575986236,0.043224615421303965,
RTN4,0.05092931886187592,0.04883880336610126,-0.11976484270865485,-0.03620051571104793,-0.05603779804920135
HEBP1,0.023081197796263733,-0.006257484080468313,0.0983527246545451,-0.05605133679424607,0.01888007521888056
WNT7B,0.04540569782731989,0.018151816053519124,-0.019038347749308706,-0.009537601570198409,-0.020266843754904316
PTMA,0.031974722905841496,-0.013740125129298373,-0.09094070997407079,-0.042417326832237534,0.008770516662505678
CEACAM1,-0.015300313663736805,-0.021441172262410702,0.000803863182597814,-0.016256122113339978,
PDAP1,-0.02542182748771773,-0.019258061920936483,0.08827128343919591,0.026787642295683263,-0.045250792333772175
QDPR,-0.0021769803209519918,-0.05399665712326965,-0.13668620471175946,-0.02784834832569043,-0.015569708905393623
POMC,-0.0030160841595566015,0.014297593239593271,-0.034799387128595746,-0.011993118732079285,0.03925639961199466
CCL17,,-0.018054781738749,,-0.012891049161972996,-0.01781577054328543
VEGFD,-0.021914629631071242,-0.02011502064146697,-0.029407139423512134,-0.01373432254214285,0.0013436168413568945
TNFSF13,,-0.012453784365441962,,,
WNT5A,0.03530240137884614,0.035630209584990975,0.05640833568216327,0.03201058214385733,-0.010083014547228826
CXCL8,-0.020519560265011907,0.009455267924477947,-0.0015760761562372675,-0.04274747474253363,0.013562160477870597
GRN,-0.024780120626179795,0.05575728627039929,0.12559466816890424,0.014657949505611357,-0.01400213610341114
MIA,-0.0029945925400681425,-0.004963653105806973,0.0904968402273367,-0.02533752764948001,0.032604652975326776
COL4A4,-0.03277526343646496,0.028815322070481507,0.07101164433729489,-0.013458654157035087,0.047783251602143695
TAC1,-0.055933760032712866,0.028151574097173334,-0.09442486384009918,-0.034919400584050145,-0.04869795101459951
RARRES2,0.0002680621625795551,0.023803269385851554,0.11106100423198516,-0.03867992836390542,0.01582757378828263
FGF7,0.08033588429464604,-0.022857214064449054,0.02234193959431293,0.06928402195762529,0.025863720702558962
HBEGF,0.030300305446271925,0.0149613093250527,0.13565929823501316,-0.006587289024112237,0.04219103235185893
CSF3,,-0.021519725581330255,-0.018300801427518363,,
PI3,,-0.03713654934604256,-0.02060694395181961,,
PCSK1N,0.03735637365764778,0.017403804920168662,0.03225173017494077,0.01863988049492367,-0.04051917874792019
NTS,,,0.04490220370790256,-0.015374947906092498,0.0151718035107503
SFRP1,-0.02053726481389526,-0.0157534949491982,-0.0026030350765540544,0.015127407135021097,0.00753797717848575
CXCL13,-0.03699747110201794,,,,
MICA,0.000877703542918144,-0.005578043863326524,0.06290104853338147,-0.012320057955554903,0.022756815718014706
TG,-0.020805343809614338,-0.01700051694324047,0.09676183879046199,-0.012987244188354697,0.0017491844924224693
ADA,0.08987400955357158,-0.036679914152630964,0.03744935792943325,0.010934764844673964,-0.006032948086998074
LAMC3,-0.01911190180479368,-0.015857235942574002,0.1288690766165169,0.0633049174471559,0.014022775128882815
CCL7,,-0.012291346587738722,,,
NGF,,-0.0281626143898253,,,
TNFSF15,,-0.01368701558750789,,,
HMGB1,0.059522075946586143,0.08427867080519302,0.09567813945023398,-0.0176891914124638,0.007664414870701751
ITGB3BP,-0.027752314199206037,-0.015104709981438454,0.08696114456406996,0.02654878060062842,0.018379523798766877
AANAT,,0.010694224136502407,0.030734845448635886,0.03506422166147068,0.027737560025946018
RELN,-0.032979666846553395,0.005405748819652537,-0.0484391179237491,0.04752441685476548,0.03418775452521995
IL15,-0.026505689710243568,-0.008157641136032066,0.037894116149570584,0.05818034852305015,-0.01510449893315939
UTS2,,,0.11444684939523708,,
BSG,0.0635930886782168,-0.028124060008682134,0.033433404364595534,-0.006919562372753257,-0.012865170043696687
ADAMTS3,0.0653284338037086,0.02399099968076112,0.11734476832869055,0.029363022742901375,0.005298360099137538
CD34,0.03606347561403969,-0.0314984317131631,0.1058528064854905,-0.018338222474341668,-0.007944445553266039
CCL23,,,0.08296584075575847,,
PLAT,0.004713713705786771,0.023601353490296705,0.10894296340356248,0.03417046602934366,-0.03258496079461393
NTF3,,,,,0.04845979973554646
LTA,0.06800430689094421,-0.015753494212224942,,0.03776220197721759,
CKLF,-0.010250154274986616,0.058100820060941756,0.06588360910713247,0.016214768054717485,0.004752696162453825
CD24,0.009948935796202953,0.023119783165119125,0.015435688348567102,-0.0011643953368389733,0.07390089171131803
HSP90AA1,-0.0011222048042456218,0.03938640011438079,-0.11668689227858821,0.03343785585559863,0.0248934114711184
BMP4,0.06236489643298504,0.022124359520991514,0.07699229616172508,-0.03226419434862193,0.025502717593058357
SCGB3A1,,,,,0.036060687687230385
IGFBP4,-0.030262800839733622,-0.04426314563061643,0.13053589404635066,0.04888354102103997,-0.014292961254504145
RSPO4,0.0012920294277549232,-0.024113482910332718,,-0.01308278347679781,0.031967055276722216
LEFTY2,-0.015488226383916288,0.0010225259994576757,0.14274202019523824,0.06112579535074347,-0.008834651206265282
PF4,-0.013917716235501778,-0.010723957743835166,,,
