,UKF243,UKF259,UKF269,UKF275,UKF296,UKF334,ZH1007inf,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,-0.018835949199234727,,,,,0.02972595895404886,0.04427897184190043,
BMP1,0.017849581072411143,0.012190758705876532,-0.025218792990449646,-0.02274092348138565,-0.005025205568687989,-0.01838094802483712,-0.10628512699480325,0.023128734537999674,0.03434053705328367,0.08406197178729595
NDP,-0.07722185570820427,-0.012019155831807828,0.0608855772135477,0.04479634655514436,-0.037167019531887856,-0.008019528074974759,0.008617038925262045,-0.008479294346558279,0.09289958108083161,0.03497973623244885
TNFSF18,-0.019872599663920746,,-0.027970819090173,-0.017968899214456987,,,-0.03278540816679621,0.10139079576194589,-0.03340315699832082,0.050917127591643165
IL36G,,,,,,-0.016140239517483276,,,,
RTN4,-0.036286861368001924,0.007028876396495343,0.07326415098516068,-0.019177563954757063,-0.007428029151005361,-0.011061745156662623,-0.08464861066552169,-0.0023975275525336195,-0.03508529018786024,-0.11305628418522191
HEBP1,0.019658310347228255,0.02359510900228122,0.020681452213542874,0.03178665480811272,-0.00024184988481877704,0.06109250610563046,-0.0374527204463839,0.07614497005669608,0.07625595141991239,0.01720098855227244
WNT7B,-0.0219826093431829,0.035036884680938796,-0.02535803098322949,-0.002823211367261575,-0.011246854873331763,0.03961298380253253,-0.03609353435844097,-0.031893781526720934,0.025729739691196088,0.004349739216906788
PTMA,0.08923189953686161,0.04748217682793534,-0.03062034638122695,0.015784513645140455,-0.025976977294523987,0.010783191772229483,-0.09162501780112169,-1.6451652635859105e-05,-0.04479324359830811,-0.011728043260962872
FASLG,,,,,,,,,0.03153228920648483,
CEACAM1,,0.002004089311172397,0.06339426712842297,-0.007349412874384585,,,,-0.03011431496490797,0.029340038870778993,
PDAP1,0.013251257705474214,0.02854686280668345,-0.006999198530042425,0.031869929987726454,-0.007591967079095743,-0.04201506362393277,0.007858613071976201,0.011373715244573339,0.006227939268095553,0.01777251391052053
QDPR,0.03108563378497948,-0.025031730169924504,0.02019252392952101,0.03823074631622943,0.01533541359331626,-0.023847780050508912,0.01648787631726406,-0.03384222253732211,0.06485906406491113,-0.06585132300342264
