,UKF243,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.019515423424341958,,,,,,,,,,,0.0206987985459208,
BMP1,0.0031018977887658354,-0.010884268454525106,0.014165778396906864,-0.035847715955203134,0.03685510954758037,0.07629701965658958,0.0014530830839842685,-0.015050556415129349,-0.08481985738162029,0.01972801989275686,0.05742331712220803,-0.061615143574532835,0.01072610650852035,-0.017076066610138052,-0.03756541148005951,0.026734808367204942,0.07143872086756954,-0.006277695911982373
NDP,-0.0282127299285056,0.017113246330220065,-0.010477125637524214,-0.025517022779580508,-0.027792440501059147,0.06410745713464783,-0.017326488138830375,-0.030126613885153142,-0.017609521893307344,0.08667642380075467,-0.0029371861058984238,0.05728744452128971,0.10800038451739769,0.015754842534785908,0.03027167582463235,-0.005640168583386298,0.08445963654815879,-0.024422575352001173
TNFSF18,0.011239160006964299,0.010331194785720206,-0.026363840538259666,,,-0.015552031805403715,-0.01870819634072971,,,,,-0.04352269688758497,,,,,-0.03437403956795601,-0.028861135432526466
IL36G,,,,,,,,,,-0.01853672698302405,,,,,,,,
RTN4,-0.045104410108647026,-0.05906264341561221,-0.0061875590818484425,-0.04251906625547738,-0.04014215481101826,-0.10441868089614412,0.020383902205370126,-0.015566021115796668,0.021047278412813477,-0.018833969024160787,0.08548178470358683,-0.012491439262512725,-0.07727659485544043,-0.025859271995802808,0.0689491995719541,0.019284633489023165,0.01863745865858957,0.000795621138686116
HEBP1,0.016232850225123076,-0.03492241845600626,-0.00772121406271603,0.011409535671468672,0.011015540278828251,0.03804125862787012,-0.008076648291689642,0.04154459561344726,-0.012179966013167032,0.02034905798985062,0.03711724808347128,-0.10129557802937082,0.02437954021034442,0.011615953340780765,0.009059145274052318,0.058611428912969464,0.0807140911975975,-0.04179693806909393
WNT7B,-0.044313213435248626,-0.04220454566925493,-0.0163764004960938,-0.021747767071133222,-0.030894262338863214,-0.0192150039804472,0.059691806156922614,-0.012913395961599827,0.011272208531991902,-0.02037399915270283,-0.01637483146792811,,-0.03139835290445194,-0.03890238417450454,0.06091790946438164,0.04780742588209438,0.016866273818194066,0.008283548836084294
PTMA,-0.0697380322483693,0.035291609221990025,-0.0018851885411381186,-0.02268206248810558,0.09427070237792755,-0.048875044100372224,-0.014525513349773377,-0.0452896613990624,0.00024354843353381747,0.046647729818409055,-0.13037034530205036,-0.06480837943770366,-0.12797055489202291,-0.06056334088383163,0.026802508017938566,-0.038585688490085895,0.02372254983189807,0.006548852668341049
FASLG,,,,,,,,,,,,,,,,,-0.017673830792542495,
CEACAM1,,-0.02130226010418618,-0.012567902406587088,-0.02511243597811036,-0.01697435025923198,0.03532666949880131,0.02987659859311961,,,,0.008588249787414022,-0.030603842339149787,0.020640369126562773,-0.021798924591187936,-0.01562129578863634,-0.014092736675365003,-0.02459053973457481,
PDAP1,-0.005040719315134719,0.03771643415138119,0.05885711720057316,0.026659849904928402,-0.02557875808264488,0.08559697238007626,0.013258164578146875,0.000642288543639377,0.01011031626483163,-0.026206452666701553,-0.07427817624466744,-0.024768211870829938,0.07770019447380011,-0.03583458811871038,0.009719801093910862,0.024743231479328952,-0.02047224286172387,-0.05858928662975083
QDPR,-0.027344433018441573,0.05234633711042336,-0.009866665148286696,0.03562327216427468,0.008537686356097234,-0.09391954357562364,-0.07783961612322798,0.03427153400615696,-0.010488124667584533,-0.021212291667612508,0.04894236004968314,-0.03770683903401998,-0.19160366700435105,-0.0027653507498296395,0.059981808000545915,0.008356379005680835,0.029462927479747734,-0.04419028198658338
POMC,0.04312348878122066,-0.009511551364177499,0.06630667280793306,0.013024056884227713,-0.0003465337568760462,0.016523885301301854,-0.02170751162446463,-0.026533150191111316,-0.025151067829702375,-0.039715136240242005,-0.060744665192971614,0.024760499023920638,-0.023531003900243878,0.0006199788398074806,0.011089760780942091,0.04020524023975537,-0.027610953642695488,0.00120946226522349
CCL18,-0.02546160231402083,0.0001103647308609218,,,,,,,-0.007319752458331473,,-0.03700513323830863,,-0.019964871945277,-0.028930002445550922,0.0090628232126682,-0.010394785389105281,,
CCL17,,,,-0.01455547849410423,,,-0.023332763210838197,0.0017476612513789627,,-0.016933826356493088,,,,-0.015465281899839577,-0.022550321167002837,,0.03524397329658534,
