,MGH258,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf
IGFL3,,,,,,,,0.10618181062628101,,,,,,,,,-0.005933474274961832,,
BMP1,-0.033731661375407784,0.010563084492527616,0.02739789270868186,0.006895420658836379,0.07465532948786267,0.0639373796854763,0.20859445085014502,0.028885646168986572,-0.05626267101937394,0.019962748492949784,-0.01590576497750393,0.03313703737202383,0.06474773903024988,0.07310028930610689,-0.04159414296306382,-0.09641365408393657,-0.02477348933943328,-0.05991123330457373,-0.06575233405289273
NDP,0.04392780850188578,0.04397856233671448,-0.04554799780378487,0.06246863846714058,0.0031578861869724162,-0.04314285492952841,0.03896069023683149,0.04875429518819058,0.004209517230293513,0.00016188454331747025,0.06456547368464857,0.060448969575446175,0.0034956215895582897,0.025798388439397545,-0.012200146754730745,0.11997853616359394,0.01378240738544414,0.09211064613362933,-0.020585773694951844
TNFSF18,0.02226631832297851,-0.03992694191481243,0.02192606753924448,,,,-0.02655298830201967,-0.01877727967711996,-0.020536090826462607,,,,0.022871011827378798,,,,-0.009022299604385843,,0.024585054705447508
IL36G,,,,,,,,,,,-0.02798750006200022,,,,,,,,
RTN4,0.05006850293057339,0.04059388735496037,-0.041486982601958135,0.07336333116578223,0.020558119494910657,0.0008636800477870858,-0.3171731515874143,-0.07831476558105849,0.0741550697589035,0.031208765249208688,-0.03292951382260485,-0.04286048219097393,-0.014733442037307734,-0.028404131896159434,-0.07051177481145965,-0.10088654252594915,-0.04199625351300252,0.09248761503481606,-0.035079743821882135
HEBP1,-0.0271405279937096,-0.012977625656224186,-0.03368325060319053,-0.05727245660896815,0.03841549114463103,0.012906366259517542,0.13528182009874212,0.08989640343571866,0.028908306987787215,-0.015590582254945884,0.043489341047702905,0.030085017646391196,-0.12067183007374581,-0.0577779599874747,0.07585164630854643,0.057123817689925,0.029622233209401085,0.04810245615163198,0.029548122143858734
WNT7B,-0.024743157636018007,-0.005467497477292735,0.007159183202833448,0.10821224482014609,-0.03797670335453031,0.07239916868010611,-0.013679182703263156,0.0024784621952641003,0.0016575265627718847,0.024188510988012668,0.047505278442994105,-0.006195998576729331,,0.10222080720529188,-0.03132401299742034,0.040988431085310216,0.02570420072812553,0.036539674069449815,-0.006185517608196913
PTMA,0.13769773896381354,0.06919404702651863,-0.009935216355611563,0.25969895226770096,0.006584819102821734,-0.0009991039184024041,0.379379673396837,-0.006752994306506418,-0.0314350499890707,0.0011380827762814585,-0.013432009937481254,-0.02278200999793738,-0.021610088083701202,-0.029194898462438876,-0.08034467206457155,-0.06336394280380729,-0.0014231232877676258,-0.011076061521926342,-0.07073508756274462
FASLG,-0.005675197226533885,,,,,,,,,,,,,,,,,,
CEACAM1,0.07485231692302302,0.016624490226041753,-0.017144211895230986,,0.033179294675707786,0.026818082120864003,,0.006529330793167354,-0.032298378474195276,,,0.08615536861864738,0.02880693504657595,0.03216883898567542,0.02658291604363716,0.014982695709843395,-0.002021486078498357,0.04076829807848177,
PDAP1,0.05123099331496336,0.023765850069336243,-0.059942743500693216,0.06336838490478669,0.011857252517390858,-0.029677693106310674,0.16997549112449553,0.12167197690925538,-0.04415962518250937,-0.002862457259063648,0.04073644648749551,-0.07843616386350254,0.011144685253420154,-0.04396532258815296,-0.07758348831395473,-0.0710221260765488,-0.053729394352890474,-0.004482974355765971,0.08392463869950106
QDPR,0.07150819575597966,0.03283966382232273,-0.10585214848702103,0.10576745898521428,0.011566539974648187,0.05309726870176673,-0.10075718973637601,-0.06448346450372545,0.03955077104808483,0.013222876061925952,-0.01970139380033668,-0.005619466174600909,0.018495035492432414,-0.00866706311345461,0.10384736405347482,0.21041836722183685,-0.0073440005086969715,0.00507809758266458,0.042696136245565945
