,UKF243,UKF248,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.022286127395344447,,,,,,,,,-0.022372714397537827,,
BMP1,-0.05556019639738825,0.02982366370053021,0.05835370615014867,-0.009523973601312536,-0.08600480388469789,-0.03793036129831212,-0.13408666963482993,-0.08828974707968258,-0.006302785908317814,-0.04426898086121884,-0.18711187484771818,0.11570079302356007,0.05474698820975347,0.020463781777453973,-0.03185510030983636,0.12608074767169236,-0.0451713130418436,-0.04580789493366052
NDP,-0.002393742615439524,0.02049751913028816,0.09298748897987288,0.026786928886512268,0.16432759253843374,0.09172084641250702,0.02079127566061055,0.05019851230083149,0.02362739166254376,-0.1108060803660347,-0.016989525272171364,0.04540033794710734,0.021817286748265285,0.030172839098846646,0.030335310788094007,-0.02483471967480024,-0.03177906010635839,-0.06540389005903781
TNFSF18,-0.02233791870991294,0.04593420964131091,,,,0.027521750835884397,-0.033094230134208154,-0.029085969649970615,,,,-0.027050315734735864,,,,0.04488811288215109,-0.06916236352843069,
IL36G,,,,,,,,,,,-0.007646076146675182,,,,,,,
RTN4,0.08102393323419922,0.0446411568955819,0.0004361455223531618,0.10356784836659617,0.19680404967088763,0.13859607050135894,0.14110592895169702,0.13708067788992218,0.09478852822292624,0.2348337357180768,0.2993857892412607,-0.07487334098691235,-0.0020700469804982163,-0.01369171994159897,-0.07265805263879709,-0.05680721255416168,0.42096853768926423,-0.03881728346858495
HEBP1,0.0059951087982948155,0.02728013656574139,-0.021608071124324817,0.004156772724088378,-0.06063133135525743,-0.04737284096712723,-0.061993544988675875,-0.01977558211696365,-0.04063472621584082,-0.06830749286145935,-0.011666458267370556,0.05217731736048392,0.010297037613605108,0.029512098056494303,0.027469613584161872,0.05248569057931492,-0.0010743068560787748,-0.04348976453552787
WNT7B,0.22320199305393748,0.017053066284733857,0.030750089496431533,-0.025987185720911084,0.00039902974059331055,0.05318664627330997,0.04781087065330865,-0.08104206482438209,-0.028868419677220564,,0.16695740013278873,0.07101452668160141,0.00265288298552195,-0.019197574884283287,0.041705990571958035,0.034280965195175914,0.04655220977793652,-0.00758347468079569
PTMA,0.02500916974237733,0.07726109832845278,0.0745452902808894,-0.047272180999487455,-0.20959873403570664,-0.15095728669777,-0.03296271218622231,0.13702423598134603,-0.06570512409320037,-0.3218597162313963,-0.2985397695970153,0.057341289388566606,0.034670019635607244,-0.00013794340312721744,-0.017651303435310448,0.1319413318961379,-0.10802487754443661,-0.14607150150243842
FASLG,,,,,,,,,,,,,,,,-0.01940384756442275,,
CEACAM1,,0.015948807205498832,,0.012714861968265498,-0.03745214781322663,,-0.04355012195020903,0.003676869274553258,,,,,-0.034751561338435315,-0.027844020884143988,0.04232820217081362,0.03582462670265825,,
PDAP1,-0.05026866718699098,0.025513123568276157,-0.011173199598079681,0.09979734306243308,-0.037587516079232615,0.004000863535536194,-0.07590872934594584,-0.012210943183737104,0.001722959822606701,0.0595902288477339,-0.1438366902816634,0.038882945462493955,0.03179254077480552,-0.011444184107955125,-0.06382856866930109,-0.041630066646864396,-0.035447379488453584,-0.049658880809924456
QDPR,0.03572732932855774,0.02414430006018904,0.11228634733531408,0.043400837900854514,0.1880044740867816,0.06379441403481491,0.04690360307401922,0.12691605097696454,0.02104186215575185,-0.3353961623960449,0.11474919268059411,-0.05191604222578944,0.02821243822915747,0.0027646088865690816,0.012003006629738844,-0.05531130300383994,0.18276788223752805,0.003579079778446326
POMC,0.01267037345568087,-0.0002314473154987581,,0.011709858654292965,0.1424372587308858,0.04569439729488287,0.013337005056681495,0.0017975930570369601,-0.0033042958584796624,-0.04670643689088447,0.12324168696017813,0.06935296450056452,0.03995285274064396,-0.023175469753467424,0.05364033600549768,0.028259637410057638,-0.01848265286681663,-0.03626321666422687
CCL18,-0.029956985708082296,-0.027325654290396444,,,,,,,,-0.12327085515610073,,,0.034417739810274794,-0.008697769180604506,0.03260468597815903,,,
CCL17,,,,-0.04684021259791571,,,,0.005722734847461982,-0.01043291456350944,,-0.0007098397754014632,,-0.024654550746770608,-0.040194592178130255,,-0.01758740838438517,,
VEGFD,0.05465885118271232,0.021925436018995045,,0.0863482491883202,-0.03583209455605269,,-0.0373352415019141,0.004634011006938728,-0.026209128631333553,0.0668988509491189,-0.017511271769793023,,,-0.013498672994700383,,,,
TNFSF13,,0.06149853392528738,,-0.03508619169858969,,0.06592172726825075,,,,,,,0.007237250400200277,0.08297021106280802,0.003149362896626023,-0.028657214001024042,0.01945197655388522,
WNT5A,-0.01081541465442352,0.020341487654693867,0.007736537382340418,0.14398782743892535,-0.09589366630948816,-0.06871889248524475,-0.12753422606297998,-5.543819248607029e-05,-0.0765086667556496,0.026274626527803872,-0.09799052620083708,0.07596052909252929,0.0032945831089456847,0.055847748764256314,-0.06050474895263058,0.0855577714018727,-0.04550947492814148,-0.07010628317049729
CXCL8,0.026784958086263078,-0.06901003200403746,-0.05680513583149031,-0.07825199585747473,-0.10660383292094346,0.008736728923634493,0.006410797650978687,-0.09745463923271623,0.03835905913355038,-0.047197260088988925,-0.06169842214927315,,-0.039279494554745574,-0.13928859317617692,-1.1837348347946497e-05,0.016201733669422052,-0.2101700617843484,-0.011868176452759314
GRN,-0.023323040813505315,0.010922284019277664,0.11396082429557171,-0.042989967510337096,-0.07011411229499949,-0.083917404044611,-0.11270126725205233,0.0624542197144828,-0.05816671388417278,-0.19369044463052923,0.02490207711731323,0.05889914300374236,0.06666830774386276,0.0742148232911702,0.00926173815684809,0.08684074494892731,0.14667877246448738,-0.12002964105941644
MIA,-0.027725423011040938,0.03103485484244909,-0.03998868706911404,-0.025028029076954617,-0.051172322824220705,0.02796836278166501,-0.02544800568592126,-0.05874456596966048,-0.02980736422704657,,0.012420201919119692,0.19775494980667604,0.015608760523834057,0.03098692945814666,0.025108601580951847,-0.05411322775681019,-0.055969233993462306,
COL4A4,-0.033978050473225184,0.022924772235416644,0.005016438065600712,0.06478722122883646,-0.08975714982580799,-0.05093873226010931,-0.004168970303681736,0.003877913761246344,0.05399710072897898,,-0.030857293893189145,,-0.0011061066492394618,0.0825254252157402,-0.04611137303208861,0.024573682141758108,-0.09627579862876859,
TAC1,0.13954315923491947,0.29601579173592624,0.2709193599356954,0.39365363009268056,0.33111464908637483,0.3217153871227098,0.2748332638222533,0.39496191181394225,0.20524691319754282,0.2859128554921839,0.33975119836862666,,,,0.11542428739098415,-0.023120436684231176,0.5605515775878863,0.2010431965036267
RARRES2,0.00030950628136397625,0.04452398928674382,-0.08312677750845632,0.09355965978047448,-0.1897952145266874,-0.11152195901331448,-0.16884934169202295,0.13017604537603997,0.021906202779873755,0.0017935467637422594,-0.11483560742891787,0.005419051829013966,-0.005447947418112723,-0.014309295963447186,0.05829822646857572,-0.08167074005177373,-0.12440179985110549,-0.011269260991952957
FGF7,0.04790945216897769,,-0.004102553853000082,0.03239115987589939,0.209818632747483,0.06608599247207134,-0.04819378111344468,-0.017245865308308562,0.04315618658641432,0.051155504265470414,-0.0018461007116537813,0.05658434450787826,0.06721033660096548,0.027239807215243227,0.07308037870304103,-0.03811259231388716,0.10243790262918862,0.019739667019023546
EFNA2,,,,,,,,,,,,,,-0.010236157134196067,,,,
HBEGF,-0.0047541206832357645,-0.018930850206177914,-0.04077312294363561,0.0050192237226501235,-0.11416500778171684,-0.06249365381268546,-0.02555406530831224,-0.14338082337213265,0.012800935293672995,-0.08092483270392027,3.7131576275537734e-05,0.149913278252295,-0.012322365029626864,-0.007209283566612003,-0.08870184526345413,0.0494427617714812,-0.1658658137279438,-0.06481767597576002
CSF3,-0.03397802357270112,,-0.041951191988689504,-0.04431115133001967,0.01867453287938255,,0.009993059027626965,,,,,,0.015691884458714427,-0.045307601044386414,-0.009223953749398129,-0.01851682785078117,-0.05900260101249108,
PI3,-0.04025203575815094,-0.051396354536757685,-0.06813048185897039,-0.08168893821272917,0.0003712781655391789,,0.003080529294868303,,,,,,-0.03594289933788496,-0.07119546333919015,0.0046337525993752175,-0.04023091530676228,-0.03811205528543386,
PCSK1N,0.03895173841277903,0.03474716792612132,0.05505463781845546,0.05716502320504665,0.039214992765093076,0.042964380589801045,0.14878747417397067,-0.05365812143708608,0.10662500983995979,0.3089934959617152,0.27202425254879625,-0.026751018534279938,-0.03599759496950328,0.039506024673897605,0.021807829428347865,-0.047878903590996606,0.37708475349349463,0.16816060746934292
NTS,,,,,-0.07825397701700333,0.04410984018752689,-0.028558190183810096,0.00680275007550427,-0.06395808323934869,0.01148158830672732,,,-0.014146023060905026,-0.03224121400639546,-0.0758422953146551,-0.027420897069817204,,
SFRP1,0.08719303665609107,0.011279096287122503,,0.005178394313677428,0.15531086125444202,-0.02444924623319271,-0.035508060512022765,-0.01993432757580037,-0.0015271261397635822,-0.033131482923117454,0.0791255490084964,-0.032565904351202,0.021937910243837278,0.03898839825524963,-0.022457839212223718,0.004606783882498826,0.024410750388356956,-0.0710273859730832
CXCL13,,,-0.030461529165962564,,0.09402869869444432,,,,,,,,0.00540455446135605,0.001248070495465304,-0.00909802190119178,,-0.041035822274633836,
MICA,0.034989431858755124,-0.00037927835128524523,0.016845162197906938,-0.02640496649177348,0.016307937532480263,0.021682255469982276,-0.05476432517480406,-0.0040975435888943685,-0.023698950594484555,-0.008512650005381558,-0.09715796572376267,0.23952927733940454,-0.02723324650422367,0.10514757143931851,-0.04578406579217979,0.027397369889986648,-0.03556624901233617,0.005712360400559069
TG,-0.027085908080328666,0.04282319282143833,,0.014580235345535358,0.035581510376627386,0.0016481418877055385,-0.028042154010923526,-0.015448797125120848,-0.025858377447604646,,-0.0045551085922761626,0.049393182945834016,0.021344598593663337,0.027685873881267007,-0.02699638040487193,0.060371032687920635,0.03108824431873211,
ADA,0.039989447830767424,0.027066373451255458,0.01413592145228778,-0.008164373462605559,-0.04459336836505682,0.03327905275932321,-0.06294413956637918,-0.015024346528266638,-0.03501738229930498,-0.11424948105903525,-0.08776798620628004,0.03559465054923072,0.07247480489060305,0.09072091407934796,-0.009717179553518036,0.10794171198618047,0.017236348184553378,0.013930852758683604
LAMC3,-0.04313101842937659,0.0730095254149168,0.11951985335616803,0.0019516754309491253,0.04853642652338807,0.052504066589583516,-0.0448171181613502,-0.05528218994789497,-0.007107865470166715,-0.07705137107117868,0.041619061254448655,0.16920650367453755,0.0822615642016911,0.08217846458128955,-0.06927658885274329,0.11004809580636364,0.056157043589763436,0.04847184394814889
CCL7,,0.011682159423401756,,-0.04285934880295681,-0.046501155917268465,,,,,,,,0.04560486945181641,,,-0.019403840664646163,-0.10584128740872824,
NGF,-0.019575705256468266,-0.003926727669375232,,-0.035210920655592025,0.0983943997570376,0.05625594500524227,,,,0.07897530141444056,,,-0.031568057564975306,-0.009897733399764278,0.018379711623966996,0.10319406863289654,-0.022876405712690194,
TNFSF15,-0.024217590516948332,,,0.050303382978867606,0.0893317461012069,0.0385926499473615,,,,,,0.014721676859933903,0.03801411809763985,,-0.02036935085477928,0.12826604739234895,-0.04879158699624809,
HMGB1,0.009873989647296104,-0.03189685041534404,0.03959900830009994,0.08685864783028786,0.017871167137276493,-0.015426550983101524,-0.16850162282588738,0.12627724254553835,-0.05447898882191677,-0.1293407023125446,0.019757869594971198,-0.06796933562823865,0.052818851689502025,0.026869936457592548,-0.0222960216880797,-0.028897701167905018,0.07479776034136067,0.024326879890839707
ITGB3BP,-0.04899882133805892,0.04938711238285653,0.06803648733967217,-0.014742406352592746,-0.03009501078346536,-0.016873220323151892,-0.10787098013518136,-0.013970004742225636,-0.02101760180796956,-0.004222588968489334,-0.14641015302715105,0.1063787363080583,0.041834518715513073,0.024425073216755223,-0.009902276608532927,-0.007921422352357259,-0.03370950421641341,0.019458005030757664
AANAT,0.02980354148313237,0.03271515436184121,,-0.043425766346467484,0.0197842796491954,,-0.020958290711047614,-0.042459206630580164,-0.020484146682409728,-0.04450646758906798,-0.027793281244685566,,-0.018014173946647553,0.023536829704036363,,-0.020530072605616734,0.04894241332166458,
RELN,0.10725022488937298,-0.07833223263029743,0.03405491978147418,0.017307882154845404,0.06530011344047494,0.06350581280904696,0.09045469903556261,0.030707727814200312,-0.01048473110912789,0.07358228735768153,0.044116368114738125,,,,0.020159866125546988,,0.07685705175851809,-0.024285424622156496
IL15,0.08254396408049254,0.012148465202777091,,0.008644757674194039,-0.051088204116752814,0.09753747230696665,-0.038429939304968776,0.0220745541919548,-0.054250499314219554,-0.06978440483895715,-0.034341715767997355,0.015352724960941743,0.06980966514921978,0.15974323837095195,0.05647639103119029,0.1090550219023831,-0.10649633482238738,
UTS2,,,,,,,-0.033055277611215676,,,,,-0.04549540957650204,0.11425959990187756,,,,,
BSG,-0.07894692829139154,0.06837540819360367,0.0874286034975842,-0.03033212872446109,-0.04503659799471381,0.03916630262323427,0.06523488007854683,-0.1422698848290501,0.01096453923232088,0.20741311424988385,-0.18866007890648695,0.06999871483247384,0.01888964169192473,-0.022090898784427042,0.010474646463495248,-0.005866723510980949,0.013087241559427358,0.07052610560586761
