,MGH258,UKF243,UKF248,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.06861938814278856,,,,,,,,,,,-0.02806603298341858,,,-0.016725215200978007,
BMP1,-0.02186765352629696,0.08696140312678151,-0.011436548261686576,0.020734280182214876,-0.0004203324898546566,-0.0013627271479864215,0.015173420652487897,0.07404355994650252,-0.07151829679852141,0.05861966237948377,0.10387832879602778,-0.013028860880562716,-0.02140854998359072,-0.05929947136703885,0.016307364297351516,0.09052098168571664,-0.010004104738066177,-0.013280547823124546,-0.05854848549800267,-0.029019665299458416,-0.054507991180593705,0.0722522248336461,0.0718456819460875
NDP,-0.05475032866837141,-0.0023101590746222793,0.0072089764820314345,0.084207295327592,-0.004179625077729196,-0.0006860943015129078,0.010821745717458744,-0.006881209812034757,-0.062261686020825206,-0.027221005571306064,-0.003046363283701784,-0.021530443274846475,0.02870588470024814,0.008220047453956063,0.09830517206315806,0.1170627143508914,0.0026863863115482054,0.07756562591487452,0.008378414698651736,7.237906906930159e-06,0.05375456299130651,0.0644557889530639,0.08523771651084222
TNFSF18,-0.020634609304409194,-0.011157871771019522,0.03185719620978128,,,,-0.02061179804195537,0.06103142412419355,-0.010647507910834665,,,,,,-0.01969855807532471,,,,0.006583491236636873,,-0.03214814320866291,0.05559468638373637,0.07168387115442673
IL36G,,,,,,,,,,,,,-0.013143809998015983,,,,,,,,,,
RTN4,-0.048101783210249695,0.049980073358949155,-0.020401566638505942,-0.054751687741372825,-0.05302804876836805,0.007894305750837011,-0.028829450031265167,-0.06813684890033471,0.03630294324387845,-0.008443228112318783,-0.03415501567279474,-0.01065821598396468,0.07363288911837508,0.02655934116938985,-0.1273022918575841,-0.004660417856037289,0.013670768324820807,-0.04171098846766681,0.0649094284705134,0.061974482615603704,-0.017460541995072926,-0.008867941401042339,-0.10498293560505036
HEBP1,0.07266814019228274,0.03693587645978281,-0.018210752717764653,0.053994981351679634,-0.007830981277553977,0.030435697278483734,0.011131477633196874,0.0004296681101364368,-0.0414108960962534,0.031075559918966572,-0.04195860200920298,0.030056843082579537,-0.05908618480028586,0.13623295242316183,-0.11959227308376161,0.00276455901589181,0.005552681943734376,-0.020498149826112904,-0.0988467434399156,0.0487265854332095,-0.046257148985865706,0.05061044647428573,0.020709197553620336
WNT7B,-0.018178444503248986,0.15633827993100835,-0.01765366680260754,0.046619702485819224,0.010070230774084655,0.009586862853138584,0.0023420700607683725,-0.02403159439921826,-0.030520090274769953,-0.01908491779650477,,-0.014438597153090933,0.05681040370107071,-0.026414509212890003,,-0.04659518854585838,0.0349753397181702,0.003713084679205052,0.05122411811973472,0.022793105806050967,-0.03214810987345336,-0.0019467959002052804,0.007556999248613374
PTMA,-0.01882998271043623,-0.028324380719178987,0.04318480387599619,0.07654910613188311,-0.02761215401536262,0.014902071682167835,0.04520828497615031,-0.026842233370163206,0.009095438664244343,-0.006162980991807288,0.009992315674513514,0.012498246287710239,-0.07882999621248181,-0.06526052419221304,-0.11215917186233533,-0.17352239127677035,-0.035084295068725666,0.011908012305868822,0.06031934412924999,0.0259659765814622,-0.010289956244559098,-0.01535020350995479,-0.04452533065365308
FASLG,0.007819063916633888,,,,,,,,,,,,,,,,,,,,,0.08333235840715404,
