,UKF243,UKF248,UKF259,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,-0.014688236505178347,,,,,,,,,,-0.006244462796271331,,
BMP1,0.028685783243322705,0.021996384121551936,-0.07174647085439567,0.023038086205809466,-0.050425997427004765,0.024045226901528657,-0.0045298669997638034,-0.048479335213483514,0.06621005533797493,0.04852188478040013,0.09605164159524301,-0.0047065055873318756,-0.03596227874798231,-0.011873385112463112,-0.044297729532128016,0.04714091348444068,0.039450518913035075
NDP,0.0067674618462440885,0.002135203553761851,-0.029935527380792824,0.04341932948082391,0.0353226653651076,0.0018055831327566418,-0.05346150201376804,-0.03801122102341894,0.01924016961317854,0.014112018114022093,0.03433498511822202,0.03883183244360339,0.05631703342785839,-0.009164388331001444,0.03889734602052003,0.038424249946070445,0.020010222852269187
TNFSF18,-0.005212608044757076,-0.02573148343612654,,-0.019906584786028365,-0.02181159025724651,-0.013506325325882383,,,,,-0.04957572202613068,,,,0.01521006667109272,0.04398029978804059,
IL36G,,,,,,,,,,0.04739799734095261,,,,,,,
RTN4,-0.02599861352012702,0.03213236063880162,-0.047167971391324996,0.05594883044315989,0.1058874396517474,0.005070378784224765,0.010585593982414458,0.12286886476776772,-0.07526695931403336,-0.012320400854392543,0.13814551322089336,-0.00849341757623285,-0.049983628502836316,0.02601781303283492,-0.06845993918238345,8.675576640629424e-05,0.04150782724614338
HEBP1,0.01212250750903426,-0.000638593129754933,0.03739367151305814,-0.03237111327638414,-0.042184960895675576,-0.021744051709470004,-0.040728613517359166,-0.1003821038205289,-0.020770742538181286,-0.02087148761215977,0.05537734343279517,-0.0017186618695808926,0.07072738473112737,-0.02190083716747456,-0.009447653660054544,-0.0461453887871055,-0.06339630670409524
WNT7B,-0.013779384467368663,0.0405539026104617,0.04820604273203995,-0.030301549365709887,0.11065792005879639,0.037926764633648816,0.05775156343772099,,0.08176156062493635,-0.021967668415084147,,-0.061171963684673925,0.03775993921502422,-0.031360186843213796,-0.03279394299044428,0.08271536093366344,0.06678426973417377
PTMA,-0.0627489545778002,0.023539130257479134,0.07811670182356749,-0.010011923376600663,0.019169277108857557,-0.029736338822999656,-0.05111908374311321,-0.15196560446456994,0.10438295812604391,0.0462410682553717,-0.02883386709712768,-0.015118157712451554,-0.007143932322136208,0.015220031694857463,0.005489217531054917,0.004729374822020558,-0.17777770930139325
FASLG,,,,,,,,,,,,,,,-4.50642337030765e-05,,
CEACAM1,,-0.022968952414630907,0.04404600684379265,,0.02728846439609902,0.07232581160938498,,,,,-0.03486014629690856,-0.015265084409104221,0.014101870454701923,-0.016989314214989025,-0.014108605207393628,,
